Fielding_Percentage,Scoring,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings,Conf__ACC,Conf__ASUN,Conf__America East,Conf__Atlantic 10,Conf__Big 12,Conf__Big East,Conf__Big Sky,Conf__Big South,Conf__Big Ten,Conf__Big West,Conf__C-USA,Conf__CAA,Conf__Horizon,Conf__IVY,Conf__Ivy,Conf__MAAC,Conf__MAC,Conf__MEAC,Conf__MVC,Conf__MWC,Conf__NEC,Conf__OVC,Conf__Pac-12,Conf__Patriot,Conf__SEC,Conf__SWAC,Conf__SoCon,Conf__Southland,Conf__Summit,Conf__Sun Belt,Conf__WAC,Conf__WCC
0.972,4.62,19.4,2.27,0.12,0.75,0.422,0.21,0.3606,1.0,2.162,0.279,1.33,10.2,7.340000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.968,3.73,18.0,2.92,0.05,0.81,0.411,0.27,0.3416,0.41,2.022,0.262,1.27,8.4,7.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.962,3.66,25.4,2.53,0.2,0.52,0.371,0.38,0.337,0.84,2.286,0.257,0.91,10.8,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.967,4.8,11.0,3.78,0.11,0.84,0.432,0.29,0.3992,0.62,2.082,0.288,1.31,10.2,6.6659999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.952,6.36,24.0,3.29,0.29,0.91,0.488,0.45,0.388,1.2,1.9780000000000002,0.318,1.51,10.6,7.316,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,5.14,31.6,3.06,0.08,1.32,0.483,0.32,0.37039999999999995,1.15,2.472,0.274,1.27,9.8,6.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.962,3.63,19.2,2.58,0.14,0.57,0.365,0.21,0.343,0.5,2.05,0.254,0.95,9.4,7.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.965,4.02,34.0,3.24,0.16,0.57,0.404,0.3,0.35080000000000006,2.07,1.81,0.286,1.02,8.6,6.816000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.949,6.77,22.8,3.16,0.16,1.0,0.532,0.3,0.415,1.29,1.6960000000000002,0.354,1.7,10.4,6.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.96,4.17,15.2,3.27,0.15,0.65,0.399,0.3,0.3424,1.0,1.9759999999999998,0.268,1.35,8.4,6.959999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.963,4.53,16.2,3.78,0.32,0.85,0.461,0.39,0.358,1.22,1.348,0.294,1.39,5.8,6.846000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
