Rank,College,G,HR,PG
217,Green Bay ,35,14,0.40
217,Saint Peter's ,40,16,0.40
217,SFA ,50,20,0.40
217,Yale ,45,18,0.40
221,Delaware St. ,48,19,0.40
222,Eastern Mich. ,51,20,0.39
223,Rhode Island ,44,17,0.39
224,North Florida ,58,22,0.38
225,St. Bonaventure ,49,18,0.37
226,Weber St. ,60,22,0.37
227,Boston U. ,52,19,0.37
228,Wagner ,47,17,0.36
229,Dayton ,56,20,0.36
229,Lehigh ,56,20,0.36
231,CSU Bakersfield ,45,16,0.36
231,Niagara ,45,16,0.36
233,Detroit Mercy ,52,18,0.35
234,Ark.-Pine Bluff ,44,15,0.34
235,Elon ,53,18,0.34
236,La.-Monroe ,63,21,0.33
236,Purdue Fort Wayne ,48,16,0.33
236,Sacred Heart ,51,17,0.33
236,Nicholls St. ,57,19,0.33
240,Central Mich. ,52,17,0.33
241,Missouri St. ,49,16,0.33
242,Central Ark. ,60,19,0.32
242,FGCU ,60,19,0.32
244,Wright St. ,52,16,0.31
244,Cleveland St. ,52,16,0.31
244,UCF ,52,16,0.31
247,Loyola Chicago ,53,16,0.30
248,Presbyterian ,50,15,0.30
249,Fairfield ,54,16,0.30
250,Maryland ,51,15,0.29
251,Long Beach St. ,52,15,0.29
252,Cal Poly ,59,17,0.29
253,Bowling Green ,56,16,0.29
254,Oakland ,46,13,0.28
255,N.C. A&T ,50,14,0.28
255,Gardner-Webb ,50,14,0.28
257,N.C. Central ,43,12,0.28
258,UC Davis ,54,15,0.28
259,Alabama A&M ,48,13,0.27
260,Army West Point ,57,15,0.26
261,Holy Cross ,43,11,0.26
262,Indiana St. ,53,13,0.25
263,Grambling ,45,11,0.24
264,South Carolina St. ,41,10,0.24
265,Rider ,50,12,0.24
266,Fairleigh Dickinson ,42,10,0.24
267,Bucknell ,43,10,0.23
268,California ,56,13,0.23
268,Purdue ,56,13,0.23
270,Coppin St. ,52,12,0.23
271,Massachusetts ,53,12,0.23
272,Northwestern ,54,12,0.22
273,Iowa ,51,11,0.22
274,Lamar University ,65,14,0.22
275,UMES ,38,8,0.21
276,Jackson St. ,48,10,0.21
276,Bryant ,48,10,0.21
278,Southeastern La. ,55,11,0.20
279,Texas Southern ,46,9,0.20
279,Morgan St. ,46,9,0.20
281,Lafayette ,41,8,0.20
282,A&M-Corpus Christi ,48,9,0.19
283,Buffalo ,55,10,0.18
284,George Mason ,56,10,0.18
284,Memphis ,56,10,0.18
286,Saint Mary's ,48,8,0.17
287,UC Riverside ,52,8,0.15
288,Savannah St. ,40,6,0.15
289,Tennessee St. ,49,6,0.12
290,Santa Clara ,49,5,0.10
291,Portland St. ,45,4,0.09
