Rank,College,G,AB,H,BA
216,Toledo ,58,"1,481",382,0.258
217,Monmouth ,56,"1,478",381,0.258
218,Northwestern ,54,"1,350",348,0.258
219,Coppin St. ,52,"1,297",334,0.258
220,Florida A&M ,56,"1,476",380,0.257
221,Southern Ill. ,57,"1,449",372,0.257
222,Middle Tenn. ,49,"1,274",327,0.257
223,FGCU ,60,"1,543",396,0.257
224,Saint Louis ,50,"1,314",337,0.256
225,Penn St. ,56,"1,417",363,0.256
226,Siena ,51,"1,252",320,0.256
227,Georgia Tech ,53,"1,444",369,0.256
228,Iowa St. ,58,"1,480",378,0.255
229,Ball St. ,58,"1,484",379,0.255
230,N.C. A&T ,50,"1,340",342,0.255
231,CSU Bakersfield ,45,"1,145",292,0.255
232,Portland St. ,45,"1,082",275,0.254
233,UNC Greensboro ,55,"1,285",326,0.254
234,Troy ,54,"1,374",348,0.253
235,La.-Monroe ,63,"1,659",420,0.253
235,Northwestern St. ,57,"1,501",380,0.253
237,Purdue Fort Wayne ,48,"1,211",305,0.252
238,Charleston So. ,62,"1,547",389,0.251
239,Houston Baptist ,43,"1,126",283,0.251
240,Northern Ky. ,52,"1,350",338,0.250
241,La Salle ,47,"1,148",287,0.250
242,Mississippi Val. ,46,"1,149",287,0.250
243,Saint Peter's ,40,945,236,0.250
244,Norfolk St. ,36,911,227,0.249
245,North Texas ,56,"1,414",352,0.249
246,Drake ,55,"1,354",337,0.249
247,East Carolina ,56,"1,412",351,0.249
248,UMES ,38,987,244,0.247
249,Fairleigh Dickinson ,42,"1,051",259,0.246
250,Rhode Island ,44,"1,108",273,0.246
251,North Dakota St. ,62,"1,548",379,0.245
252,Gardner-Webb ,50,"1,276",312,0.245
253,Radford ,55,"1,359",332,0.244
254,Evansville ,53,"1,319",322,0.244
255,Savannah St. ,40,939,229,0.244
256,Texas Tech ,55,"1,430",348,0.243
257,Santa Clara ,49,"1,230",299,0.243
258,North Dakota ,55,"1,378",330,0.239
259,Northern Colo. ,55,"1,373",328,0.239
260,George Mason ,56,"1,449",345,0.238
261,Texas St. ,59,"1,466",348,0.237
262,Long Beach St. ,52,"1,357",322,0.237
263,Tennessee Tech ,46,"1,206",285,0.236
264,Buffalo ,55,"1,411",333,0.236
265,Sacred Heart ,51,"1,335",315,0.236
266,Morgan St. ,46,"1,137",268,0.236
267,UConn ,48,"1,189",280,0.235
268,Central Conn. St. ,39,996,233,0.234
269,Kent St. ,63,"1,514",353,0.233
270,SFA ,50,"1,279",298,0.233
271,Presbyterian ,50,"1,251",290,0.232
272,Saint Mary's ,48,"1,164",269,0.231
273,Longwood ,61,"1,459",337,0.231
274,Central Ark. ,60,"1,507",346,0.230
275,Western Ky. ,62,"1,582",362,0.229
276,Austin Peay ,48,"1,194",273,0.229
277,Cleveland St. ,52,"1,291",294,0.228
278,St. Bonaventure ,49,"1,239",282,0.228
279,UAB ,54,"1,444",325,0.225
280,Appalachian St. ,48,"1,208",270,0.224
281,Loyola Chicago ,53,"1,345",300,0.223
282,Tennessee St. ,49,"1,193",266,0.223
283,Iowa ,51,"1,246",268,0.215
284,A&M-Corpus Christi ,48,"1,201",258,0.215
285,Lafayette ,41,983,211,0.215
286,Howard ,38,896,192,0.214
287,South Carolina St. ,41,930,199,0.214
288,Rider ,50,"1,195",251,0.210
289,N.C. Central ,43,970,203,0.209
290,Bryant ,48,"1,126",235,0.209
291,Hartford ,49,"1,147",237,0.207
