Rank,College,G,SB,CS,PG
106,Coppin St. ,43,43,15,1.00
106,Tennessee Tech ,50,50,7,1.00
106,Fla. Atlantic ,57,57,21,1.00
106,Fairleigh Dickinson ,44,44,26,1.00
106,North Florida ,57,57,12,1.00
113,Ohio St. ,56,55,10,0.98
113,Arkansas ,56,55,9,0.98
113,Texas Tech ,56,55,15,0.98
113,Radford ,56,55,20,0.98
117,Savannah St. ,50,49,9,0.98
118,Cleveland St. ,49,48,23,0.98
119,Southeast Mo. St. ,48,47,11,0.98
120,South Carolina St. ,43,42,14,0.98
121,Towson ,59,57,8,0.97
122,Temple ,58,56,7,0.97
123,Iowa ,54,52,9,0.96
123,Ball St. ,54,52,7,0.96
125,Wichita St. ,52,50,12,0.96
126,Bowling Green ,51,49,9,0.96
127,Grambling ,45,43,20,0.96
128,Michigan ,64,61,13,0.95
129,South Alabama ,57,54,9,0.95
130,New Mexico ,56,53,17,0.95
131,FIU ,55,52,10,0.95
132,McNeese ,53,50,15,0.94
133,Quinnipiac ,52,49,14,0.94
134,SIUE ,48,45,20,0.94
135,North Dakota ,40,37,3,0.93
136,DePaul ,53,49,21,0.92
137,Bradley ,52,48,11,0.92
138,Penn St. ,50,46,12,0.92
139,Northwestern St. ,55,50,7,0.91
140,Central Ark. ,58,52,7,0.90
141,UNI ,53,47,12,0.89
142,Boise St. ,52,46,11,0.88
143,Memphis ,60,53,20,0.88
144,Bucknell ,51,45,16,0.88
145,UAB ,58,51,20,0.88
146,Morehead St. ,49,43,10,0.88
147,Columbia ,48,42,13,0.88
147,SFA ,48,42,14,0.88
149,Murray St. ,53,46,20,0.87
150,Oregon St. ,58,50,17,0.86
151,New Mexico St. ,57,49,16,0.86
152,Canisius ,47,40,9,0.85
153,UNCW ,53,45,19,0.85
154,Mount St. Mary's ,46,39,22,0.85
155,East Carolina ,52,44,16,0.85
156,Rider ,49,41,8,0.84
157,Houston ,61,51,21,0.84
157,North Carolina ,61,51,14,0.84
159,Lehigh ,54,45,5,0.83
160,Southern U. ,48,39,11,0.81
161,Northwestern ,53,43,11,0.81
162,Butler ,46,37,11,0.80
163,Colgate ,48,38,11,0.79
163,Nicholls St. ,48,38,12,0.79
165,CSUN ,56,44,9,0.79
166,Washington ,62,48,15,0.77
167,Presbyterian ,53,41,13,0.77
168,Col. of Charleston ,57,44,8,0.77
169,St. Bonaventure ,52,40,11,0.77
170,San Diego St. ,56,43,20,0.77
171,Mississippi Val. ,55,42,13,0.76
172,Green Bay ,37,28,6,0.76
173,Stetson ,53,40,16,0.75
174,Robert Morris ,48,36,16,0.75
175,Virginia Tech ,59,44,12,0.75
175,Lamar University ,59,44,29,0.75
177,Northern Ill. ,58,43,14,0.74
178,Delaware St. ,54,40,11,0.74
179,Belmont ,50,37,8,0.74
180,South Dakota St. ,46,34,7,0.74
181,Seattle U ,53,39,8,0.74
182,Nebraska ,61,44,15,0.72
183,Kansas ,50,36,5,0.72
184,Dayton ,46,33,10,0.72
185,Jacksonville ,52,37,20,0.71
186,Utah Valley ,55,39,10,0.71
187,Eastern Ill. ,50,35,11,0.70
188,Tulsa ,59,41,10,0.69
189,CSU Bakersfield ,49,34,8,0.69
190,Illinois St. ,48,33,7,0.69
190,UTEP ,48,33,11,0.69
192,Yale ,47,32,7,0.68
193,Providence ,52,35,6,0.67
194,UC Santa Barbara ,55,37,12,0.67
195,Central Conn. St. ,51,34,8,0.67
196,Western Caro. ,56,37,11,0.66
197,UTSA ,53,35,12,0.66
198,Brown ,38,25,4,0.66
199,UNLV ,52,34,11,0.65
200,Furman ,54,35,17,0.65
201,Villanova ,52,33,11,0.63
202,UCLA ,60,38,11,0.63
203,Niagara ,46,29,12,0.63
204,Georgetown ,54,34,10,0.63
204,Miami ,54,34,15,0.63
206,Arizona St. ,62,39,6,0.63
207,Appalachian St. ,53,33,14,0.62
208,Hawaii ,58,36,6,0.62
209,Utah ,55,34,17,0.62
210,Creighton ,47,29,7,0.62
211,California ,57,35,10,0.61
212,Gardner-Webb ,44,27,7,0.61
213,Cal Poly ,54,33,10,0.61
214,UConn ,53,32,11,0.60
215,Charlotte ,50,30,10,0.60
215,George Mason ,55,33,7,0.60
217,Louisiana ,62,37,5,0.60
218,La Salle ,47,28,10,0.60
219,Arizona ,59,35,8,0.59
220,N.C. A&T ,44,26,5,0.59
221,Saint Mary's ,51,30,8,0.59
222,Chattanooga ,53,31,4,0.58
222,Nevada ,53,31,10,0.58
224,Jacksonville St. ,57,33,4,0.58
225,Hofstra ,59,34,15,0.58
226,Monmouth ,47,27,8,0.57
227,Wright St. ,56,32,12,0.57
228,Stony Brook ,60,34,11,0.57
229,San Diego ,53,30,12,0.57
230,Charleston So. ,55,31,12,0.56
231,Princeton ,45,25,9,0.56
232,Siena ,47,26,5,0.55
233,Pacific ,56,30,8,0.54
233,Oklahoma St. ,56,30,11,0.54
235,St. John's ,53,28,15,0.53
235,Lafayette ,53,28,20,0.53
237,Southern Ill. ,52,27,8,0.52
238,Colorado St. ,49,25,8,0.51
239,Eastern Mich. ,51,26,14,0.51
240,Detroit Mercy ,50,25,14,0.50
240,Samford ,52,26,9,0.50
240,Howard ,36,18,9,0.50
240,Louisville ,60,30,6,0.50
240,Cornell ,50,25,8,0.50
245,Long Beach St. ,57,28,4,0.49
246,ETSU ,47,23,5,0.49
247,UIC ,45,22,10,0.49
248,Kennesaw St. ,54,26,4,0.48
249,Weber St. ,48,23,8,0.48
250,Fordham ,59,28,8,0.47
251,Hartford ,55,26,9,0.47
252,Michigan St. ,49,23,10,0.47
253,Winthrop ,57,26,12,0.46
254,Kent St. ,49,22,10,0.45
254,N.C. Central ,49,22,16,0.45
256,Maine ,47,21,7,0.45
257,LIU ,57,25,7,0.44
258,Houston Baptist ,42,18,2,0.43
259,Utah St. ,54,23,12,0.43
259,Sacred Heart ,54,23,4,0.43
261,Loyola Chicago ,47,20,3,0.43
262,Drexel ,50,21,9,0.42
262,A&M-Corpus Christi ,50,21,9,0.42
264,Southern Miss. ,55,23,15,0.42
265,Santa Clara ,54,22,12,0.41
266,UMBC ,52,21,5,0.40
267,UT Arlington ,53,21,15,0.40
268,Manhattan ,46,18,8,0.39
269,Pittsburgh ,48,18,6,0.38
270,Morgan St. ,43,16,9,0.37
271,Middle Tenn. ,54,20,15,0.37
272,Southern Utah ,52,19,5,0.37
273,Ark.-Pine Bluff ,42,15,1,0.36
273,LMU ,56,20,11,0.36
275,Austin Peay ,44,15,2,0.34
276,Saint Peter's ,54,18,11,0.33
277,NC State ,56,18,10,0.32
278,Dartmouth ,46,14,9,0.30
279,Wagner ,49,14,3,0.29
280,Southeastern La. ,54,15,2,0.28
281,Valparaiso ,62,15,12,0.24
282,Ga. Southern ,63,15,6,0.24
283,Bryant ,43,10,13,0.23
284,Sacramento St. ,44,10,10,0.23
285,Youngstown St. ,46,10,5,0.22
286,Indiana ,54,11,8,0.20
287,Iona ,50,9,5,0.18
288,Portland St. ,56,10,6,0.18
289,Western Mich. ,49,6,4,0.12
