Rank,College,W,L,T,PCT
57,McNeese ,36,20,0,0.643
57,South Fla. ,36,20,0,0.643
59,Stony Brook ,30,17,0,0.638
60,Bucknell ,35,20,0,0.636
61,Georgia St. ,38,22,0,0.633
61,NC State ,38,22,0,0.633
61,South Carolina ,38,22,0,0.633
64,Mississippi St. ,36,21,0,0.632
65,UAB ,32,19,0,0.627
65,Kennesaw St. ,32,19,0,0.627
67,Mercer ,37,22,0,0.627
67,Pittsburgh ,37,22,0,0.627
69,Central Ark. ,35,21,0,0.625
69,Albany ,30,18,0,0.625
71,Arizona St. ,36,22,0,0.621
72,Saint Francis ,31,19,0,0.620
72,Louisiana Tech ,31,19,0,0.620
74,Towson ,35,22,0,0.614
75,Louisville ,30,19,0,0.612
76,Cal St. Fullerton ,34,22,0,0.607
77,Drake ,32,21,0,0.604
77,Texas St. ,32,21,0,0.604
79,Nebraska ,35,23,0,0.603
80,Samford ,33,22,0,0.600
80,Stetson ,30,20,0,0.600
82,Virginia Tech ,34,23,0,0.596
82,Wichita St. ,34,23,0,0.596
84,St. John's ,28,19,0,0.596
85,Hawaii ,32,22,0,0.593
86,Rutgers ,29,20,0,0.592
87,Elon ,31,22,0,0.585
88,Troy ,32,23,0,0.582
89,Dartmouth ,25,18,0,0.581
89,Texas Southern ,25,18,0,0.581
91,Coastal Carolina ,33,24,0,0.579
92,Canisius ,26,19,0,0.578
93,La.-Monroe ,30,22,0,0.577
93,Ohio St. ,30,22,0,0.577
95,Ball St. ,34,25,0,0.576
95,Longwood ,34,25,0,0.576
97,Miami ,32,24,0,0.571
98,Delaware ,30,23,0,0.566
99,Manhattan ,26,20,0,0.565
100,Savannah St. ,22,17,0,0.564
101,Saint Joseph's ,23,18,0,0.561
102,San Diego ,29,23,0,0.558
103,FIU ,30,24,0,0.556
104,Furman ,31,25,0,0.554
104,Lipscomb ,31,25,0,0.554
104,Purdue ,31,25,0,0.554
107,Kentucky ,32,26,0,0.552
108,Northwestern ,28,23,0,0.549
109,Ole Miss ,30,25,0,0.545
109,Missouri St. ,30,25,0,0.545
111,Nicholls St. ,26,22,0,0.542
111,Robert Morris ,26,22,0,0.542
113,Tennessee Tech ,33,28,0,0.541
114,Central Mich. ,27,23,0,0.540
115,Long Beach St. ,28,24,0,0.538
116,New Mexico ,29,25,0,0.537
117,Binghamton ,24,21,0,0.533
117,Southern U. ,16,14,0,0.533
119,UNC Greensboro ,25,22,0,0.532
120,Boston College ,27,24,0,0.529
120,Oakland ,27,24,0,0.529
122,Northern Ill. ,28,25,0,0.528
123,South Dakota ,28,25,1,0.528
124,Charleston So. ,31,28,0,0.525
124,North Florida ,31,28,0,0.525
126,Penn ,22,20,0,0.524
127,Harvard ,23,21,0,0.523
128,UIC ,24,22,0,0.522
129,George Washington ,25,23,0,0.521
130,Sacramento St. ,28,26,0,0.519
130,Marist ,28,26,0,0.519
132,Creighton ,22,21,0,0.512
133,Fairfield ,25,24,0,0.510
134,Winthrop ,26,25,0,0.510
135,Campbell ,28,27,0,0.509
135,Houston ,28,27,0,0.509
137,Penn St. ,29,28,0,0.509
138,Jacksonville ,28,28,0,0.500
138,Maryland ,27,27,0,0.500
138,Oregon St. ,26,26,0,0.500
138,Presbyterian ,25,25,0,0.500
138,Maine ,22,22,0,0.500
143,Liberty ,29,30,0,0.492
144,UT Arlington ,27,28,0,0.491
144,Kansas City ,27,28,0,0.491
146,Illinois ,26,27,0,0.491
147,Western Mich. ,25,26,0,0.490
147,Akron ,25,26,0,0.490
147,Texas Tech ,25,26,0,0.490
150,Colorado St. ,27,29,0,0.482
151,LMU ,26,28,0,0.481
151,Iowa St. ,26,28,0,0.481
151,Lamar University ,26,28,0,0.481
154,UT Martin ,24,26,0,0.480
154,Jackson St. ,24,26,0,0.480
156,Morehead St. ,22,24,0,0.478
156,DePaul ,22,24,0,0.478
158,Delaware St. ,21,23,0,0.477
159,Seton Hall ,25,28,0,0.472
160,Butler ,24,27,0,0.471
160,Charlotte ,24,27,0,0.471
162,Indiana St. ,27,31,0,0.466
163,Eastern Ky. ,24,28,0,0.462
164,Army West Point ,23,27,1,0.461
165,Hampton ,22,26,0,0.458
166,CSU Bakersfield ,21,25,0,0.457
167,UNLV ,25,30,0,0.455
168,Col. of Charleston ,24,29,0,0.453
169,Drexel ,19,23,0,0.452
170,UMBC ,22,27,0,0.449
171,Southern Ill. ,21,26,1,0.448
172,Colgate ,17,21,0,0.447
173,Illinois St. ,25,31,0,0.446
174,Villanova ,24,30,0,0.444
174,Fairleigh Dickinson ,16,20,0,0.444
176,Cleveland St. ,23,29,0,0.442
176,South Dakota St. ,23,29,0,0.442
176,George Mason ,23,29,0,0.442
179,UNI ,22,28,0,0.440
180,Western Ill. ,18,23,0,0.439
181,Siena ,21,27,1,0.439
182,Eastern Ill. ,21,27,0,0.438
183,Syracuse ,20,26,0,0.435
184,LIU ,23,30,0,0.434
184,FGCU ,23,30,0,0.434
186,Monmouth ,19,25,0,0.432
187,Bethune-Cookman ,22,29,0,0.431
187,Middle Tenn. ,22,29,0,0.431
189,Toledo ,24,32,0,0.429
189,Princeton ,18,24,0,0.429
191,Southeastern La. ,22,30,0,0.423
192,Alabama A&M ,18,25,0,0.419
193,A&M-Corpus Christi ,20,28,1,0.418
194,Bowling Green ,20,28,0,0.417
195,Western Caro. ,22,31,0,0.415
196,Cornell ,17,24,0,0.415
197,UNCW ,19,27,0,0.413
197,Southeast Mo. St. ,19,27,0,0.413
199,Wright St. ,23,33,0,0.411
200,Providence ,16,23,0,0.410
201,Bradley ,22,32,0,0.407
202,Northern Colo. ,17,25,1,0.407
203,La Salle ,15,22,0,0.405
204,Sam Houston St. ,19,28,0,0.404
205,Wisconsin ,21,31,0,0.404
205,Oklahoma St. ,21,31,0,0.404
207,Cal Poly ,22,33,0,0.400
207,Southern Utah ,20,30,0,0.400
207,N.C. Central ,18,27,0,0.400
210,Saint Mary's ,21,32,0,0.396
211,Holy Cross ,11,17,0,0.393
212,Green Bay ,18,28,0,0.391
213,Alabama St. ,21,33,0,0.389
214,Boston U. ,17,27,0,0.386
215,St. Bonaventure ,15,24,0,0.385
216,Brown ,13,21,0,0.382
217,North Texas ,19,31,0,0.380
218,SFA ,19,32,0,0.373
219,UC Davis ,18,31,0,0.367
220,Columbia ,16,28,0,0.364
220,Iona ,16,28,0,0.364
222,Eastern Mich. ,18,32,0,0.360
223,Memphis ,19,34,0,0.358
224,Youngstown St. ,17,31,0,0.354
225,UC Santa Barbara ,19,35,0,0.352
226,Massachusetts ,15,28,0,0.349
227,Bryant ,17,32,0,0.347
228,Southern Miss. ,18,34,0,0.346
229,Michigan St. ,19,36,0,0.345
229,Utah St. ,19,36,0,0.345
229,Pacific ,19,36,0,0.345
232,Norfolk St. ,14,27,0,0.341
233,Quinnipiac ,17,33,0,0.340
234,UConn ,18,35,0,0.340
235,N.C. A&T ,15,31,0,0.326
236,Howard ,14,29,0,0.326
237,Yale ,11,23,0,0.324
238,Iowa ,19,40,0,0.322
239,Georgia Tech ,16,34,0,0.320
239,Montana ,16,34,0,0.320
241,Ohio ,15,32,0,0.319
241,Georgetown ,15,32,0,0.319
243,Sacred Heart ,14,30,0,0.318
244,Florida A&M ,18,39,0,0.316
245,Stanford ,17,37,0,0.315
246,Valparaiso ,16,35,0,0.314
246,Portland St. ,16,35,0,0.314
248,ETSU ,15,33,0,0.313
249,Seattle U ,16,36,0,0.308
250,Mississippi Val. ,15,34,0,0.306
251,Utah Valley ,18,41,0,0.305
252,Indiana ,17,39,0,0.304
253,Nevada ,16,37,0,0.302
253,East Carolina ,16,37,0,0.302
253,Arkansas ,16,37,0,0.302
256,Gardner-Webb ,15,35,0,0.300
256,Santa Clara ,15,35,0,0.300
256,Loyola Chicago ,15,35,0,0.300
259,Houston Baptist ,13,32,0,0.289
259,Belmont ,13,32,0,0.289
261,Virginia ,16,40,0,0.286
261,Appalachian St. ,14,35,0,0.286
263,Wagner ,9,25,0,0.265
264,UTEP ,14,39,0,0.264
265,Buffalo ,13,37,0,0.260
266,Rider ,12,35,0,0.255
267,Mount St. Mary's ,11,33,0,0.250
267,Prairie View ,9,27,0,0.250
269,Radford ,12,37,0,0.245
270,Grambling ,9,29,0,0.237
271,Ga. Southern ,12,39,0,0.235
272,Tennessee St. ,11,37,0,0.229
273,Boise St. ,12,42,0,0.222
273,South Carolina St. ,8,28,0,0.222
275,North Dakota ,12,43,0,0.218
276,Morgan St. ,8,30,0,0.211
277,Detroit Mercy ,10,40,0,0.200
278,Austin Peay ,9,37,0,0.196
279,Evansville ,10,45,0,0.182
280,UMES ,7,32,0,0.179
281,Ark.-Pine Bluff ,6,34,0,0.150
282,Coppin St. ,5,31,0,0.139
283,Lafayette ,4,37,0,0.098
284,Niagara ,4,40,0,0.091
285,Rhode Island ,3,41,0,0.068
286,Hartford ,3,43,0,0.065
287,Purdue Fort Wayne ,3,45,0,0.063
288,Alcorn ,2,31,0,0.061
289,Saint Peter's ,2,40,0,0.048
