Rank,College,G,W-L,3B,PG
79,CSUN ,57,31-26,11,0.19
80,Gardner-Webb ,52,16-36,10,0.19
80,UNCW ,52,18-34,10,0.19
80,Nevada ,52,27-25,10,0.19
83,San Diego ,47,26-21,9,0.19
84,Fairfield ,42,20-22,8,0.19
85,Tennessee ,58,46-12,11,0.19
86,Southern Miss. ,53,22-31,10,0.19
87,Delaware ,48,23-25,9,0.19
87,Georgia ,64,49-15,12,0.19
87,UNI ,48,28-20,9,0.19
90,Virginia Tech ,59,36-23,11,0.19
90,Texas A&M ,59,37-22,11,0.19
92,San Jose St. ,54,30-24,10,0.19
92,Towson ,54,29-25,10,0.19
94,UCLA ,60,52-8,11,0.18
94,South Fla. ,60,43-17,11,0.18
96,Memphis ,56,23-33,10,0.18
96,Longwood ,56,40-16,10,0.18
98,Michigan ,62,47-15,11,0.18
99,Jackson St. ,57,28-29,10,0.18
100,Presbyterian ,52,26-26,9,0.17
101,Western Ky. ,58,33-24-1,10,0.17
102,Oklahoma ,64,51-13,11,0.17
103,Toledo ,53,19-34,9,0.17
103,SFA ,53,26-27,9,0.17
105,Saint Joseph's ,42,22-20,7,0.17
105,Western Ill. ,48,19-28-1,8,0.17
105,Bryant ,54,32-22,9,0.17
105,Southern U. ,48,11-37,8,0.17
105,Mississippi St. ,60,39-21,10,0.17
110,Furman ,55,29-26,9,0.16
110,Cal St. Fullerton ,55,33-21-1,9,0.16
110,Wichita St. ,55,34-21,9,0.16
113,Charlotte ,49,20-29,8,0.16
114,Nebraska ,62,44-18,10,0.16
115,Loyola Chicago ,56,25-31,9,0.16
115,Houston ,56,33-23,9,0.16
115,Central Mich. ,56,34-22,9,0.16
115,Lipscomb ,56,41-15,9,0.16
119,Harvard ,44,28-15-1,7,0.16
120,Evansville ,51,19-32,8,0.16
121,Central Conn. St. ,45,29-16,7,0.16
121,Temple ,45,15-30,7,0.16
123,Austin Peay ,52,20-32,8,0.15
123,A&M-Corpus Christi ,52,16-36,8,0.15
125,Marshall ,59,28-31,9,0.15
125,Tennessee Tech ,59,25-34,9,0.15
127,Nicholls St. ,53,19-34,8,0.15
127,Illinois St. ,53,25-28,8,0.15
127,Kennesaw St. ,53,24-29,8,0.15
127,Western Caro. ,53,19-34,8,0.15
127,Ole Miss ,53,22-31,8,0.15
132,James Madison ,60,45-15,9,0.15
133,South Dakota St. ,47,11-36,7,0.15
134,UNLV ,54,26-28,8,0.15
134,UC Davis ,54,21-33,8,0.15
136,Missouri ,61,43-18,9,0.15
137,Canisius ,48,18-30,7,0.15
137,IUPUI ,48,24-24,7,0.15
139,Ohio St. ,55,30-25,8,0.15
140,Fairleigh Dickinson ,42,21-21,6,0.14
140,Bethune-Cookman ,56,25-31,8,0.14
140,Lafayette ,42,10-32,6,0.14
140,Wisconsin ,56,36-20,8,0.14
140,Texas St. ,56,26-30,8,0.14
145,Indiana ,57,17-39-1,8,0.14
146,George Washington ,50,18-31-1,7,0.14
147,UTEP ,51,17-34,7,0.14
147,Texas Southern ,51,31-20,7,0.14
147,Appalachian St. ,51,19-32,7,0.14
150,Maine ,37,18-19,5,0.14
151,Northwestern St. ,52,30-22,7,0.13
151,Delaware St. ,52,35-17,7,0.13
151,ETSU ,52,20-32,7,0.13
151,Morehead St. ,52,15-36-1,7,0.13
155,Louisiana ,60,49-10-1,8,0.13
155,North Dakota ,45,6-39,6,0.13
155,Arizona ,60,44-16,8,0.13
158,Winthrop ,53,27-26,7,0.13
158,Stetson ,53,39-14,7,0.13
160,Kentucky ,69,50-19,9,0.13
160,Ark.-Pine Bluff ,46,9-37,6,0.13
162,North Dakota St. ,54,36-18,7,0.13
163,Iowa St. ,55,23-31-1,7,0.13
163,USC Upstate ,55,46-9,7,0.13
165,Georgetown ,48,26-22,6,0.13
165,Iona ,48,24-24,6,0.13
165,Purdue ,56,27-28-1,7,0.13
168,BYU ,57,34-23,7,0.12
168,UNC Greensboro ,57,31-26,7,0.12
170,Syracuse ,49,24-25,6,0.12
171,Louisville ,58,36-22,7,0.12
172,Lamar University ,50,20-30,6,0.12
172,North Carolina ,50,24-26,6,0.12
174,La Salle ,42,18-24,5,0.12
175,Bradley ,59,27-32,7,0.12
176,Virginia ,51,8-43,6,0.12
177,Utah Valley ,60,18-42,7,0.12
178,Akron ,43,27-16,5,0.12
178,Colgate ,43,13-30,5,0.12
180,Southern Ill. ,52,28-24,6,0.12
181,Columbia ,44,22-22,5,0.11
181,Cleveland St. ,44,24-20,5,0.11
181,N.C. Central ,44,9-35,5,0.11
181,Santa Clara ,44,10-34,5,0.11
185,Florida A&M ,53,24-29,6,0.11
186,Sam Houston St. ,54,27-27,6,0.11
186,UT Arlington ,54,21-33,6,0.11
186,Northern Colo. ,54,20-34,6,0.11
186,Youngstown St. ,54,30-24,6,0.11
190,Mercer ,56,37-19,6,0.11
190,Samford ,56,38-18,6,0.11
190,Ga. Southern ,56,35-21,6,0.11
193,Hartford ,38,8-30,4,0.11
193,Kansas ,57,34-23,6,0.11
195,Campbell ,58,31-27,6,0.10
195,Ohio ,58,32-26,6,0.10
197,Eastern Mich. ,50,13-37,5,0.10
197,St. Bonaventure ,40,7-33,4,0.10
197,Hawaii ,50,22-28,5,0.10
200,Marist ,51,27-24,5,0.10
200,UConn ,51,13-38,5,0.10
202,California ,52,23-29,5,0.10
203,Indiana St. ,53,27-26,5,0.09
203,UMBC ,53,31-22,5,0.09
205,UTSA ,54,24-30,5,0.09
205,New Mexico St. ,54,31-23,5,0.09
205,UC Riverside ,54,23-31,5,0.09
208,Baylor ,65,49-16,6,0.09
209,UT Martin ,55,27-27-1,5,0.09
209,Mount St. Mary's ,44,19-24-1,4,0.09
209,Drexel ,44,17-27,4,0.09
212,Coastal Caro. ,56,41-15,5,0.09
212,CSU Bakersfield ,56,15-40-1,5,0.09
212,Fordham ,56,36-20,5,0.09
215,Charleston So. ,61,27-33-1,5,0.08
216,Seton Hall ,49,15-34,4,0.08
216,Robert Morris ,49,24-25,4,0.08
216,Jacksonville ,49,20-29,4,0.08
216,North Florida ,49,26-23,4,0.08
216,Bucknell ,49,23-26,4,0.08
216,Detroit Mercy ,49,7-42,4,0.08
222,Holy Cross ,38,12-26,3,0.08
223,Saint Louis ,51,30-21,4,0.08
224,Boise St. ,52,30-22,4,0.08
224,Bowling Green ,52,23-28-1,4,0.08
224,Seattle U ,52,18-34,4,0.08
224,Saint Peter's ,52,10-42,4,0.08
224,Radford ,52,22-30,4,0.08
224,Louisiana Tech ,52,19-33,4,0.08
230,Troy ,54,22-30-2,4,0.07
230,Southern Utah ,54,23-31,4,0.07
230,Elon ,54,24-29-1,4,0.07
233,Howard ,41,4-37,3,0.07
233,Yale ,41,8-33,3,0.07
235,Siena ,55,29-26,4,0.07
236,LIU Brooklyn ,56,22-34,4,0.07
236,Dayton ,56,27-29,4,0.07
236,Kansas City ,56,20-36,4,0.07
236,Sacred Heart ,42,12-30,3,0.07
236,Tennessee St. ,56,18-38,4,0.07
241,Portland St. ,44,8-36,3,0.07
241,Pittsburgh ,44,15-29,3,0.07
241,N.C. A&T ,44,16-28,3,0.07
244,UAB ,59,32-27,4,0.07
245,Wagner ,45,21-24,3,0.07
