Rank,College,G,W-L,IP,R,ER,ERA
54,Dartmouth ,50,31-19,333.1,149,126,2.65
55,Mercer ,56,37-19,362.2,179,138,2.66
56,Mississippi St. ,60,39-21,398.0,175,152,2.67
57,North Florida ,49,26-23,326.2,188,125,2.68
58,Albany ,47,34-13,318.2,147,122,2.68
59,Charleston So. ,61,27-33-1,401.2,224,154,2.68
60,Villanova ,52,18-34,361.1,192,140,2.71
61,Missouri ,61,43-18,407.1,210,158,2.72
62,SIUE ,53,30-23,357.1,187,139,2.72
63,Stony Brook ,52,34-18,342.0,161,134,2.74
64,Jacksonville St. ,55,40-15,344.1,153,135,2.74
65,Louisiana ,60,49-10-1,413.0,207,162,2.75
66,Oklahoma ,64,51-13,398.2,173,158,2.77
67,Boston U. ,57,36-21,382.0,209,152,2.79
68,Green Bay ,41,27-14,268.0,137,107,2.79
69,George Mason ,43,22-21,282.2,163,113,2.80
70,Texas ,58,35-23,372.0,185,149,2.80
71,Sacred Heart ,42,12-30,281.0,146,113,2.81
72,Sacramento St. ,46,25-21,297.0,153,120,2.83
73,North Dakota St. ,54,36-18,359.2,172,146,2.84
74,South Dakota ,51,29-22,336.0,182,137,2.85
75,Central Mich. ,56,34-22,374.2,193,155,2.90
76,Campbell ,58,31-27,394.1,209,164,2.91
77,UT Martin ,55,27-27-1,372.1,204,155,2.91
78,Ohio ,58,32-26,396.0,236,165,2.92
79,Cleveland St. ,44,24-20,290.1,162,121,2.92
80,Buffalo ,52,30-22,357.1,179,149,2.92
81,Fairfield ,42,20-22,270.0,149,113,2.93
82,Saint Francis ,49,26-23,322.1,178,135,2.93
83,Siena ,55,29-26,364.1,207,154,2.96
84,Oklahoma St. ,54,26-28,353.2,194,150,2.97
85,Akron ,43,27-16,291.1,156,124,2.98
86,Purdue ,56,27-28-1,361.1,206,156,3.02
87,Troy ,54,22-30-2,364.2,208,158,3.03
88,NC State ,54,36-18,353.0,180,153,3.03
89,Youngstown St. ,54,30-24,362.2,207,158,3.05
90,FGCU ,60,33-26-1,398.2,212,174,3.06
91,Louisville ,58,36-22,380.0,200,167,3.08
92,Bucknell ,49,23-26,329.2,181,146,3.10
93,Georgetown ,48,26-22,316.2,179,141,3.12
94,FIU ,53,33-20,346.1,193,156,3.15
95,South Carolina ,58,36-22,371.2,224,168,3.16
96,Norfolk St. ,46,20-26,300.0,214,136,3.17
97,Texas Tech ,54,35-19,355.0,211,161,3.17
98,CSUN ,57,31-26,381.1,254,174,3.19
99,Murray St. ,55,32-23,369.1,220,169,3.20
100,Penn ,42,19-22-1,270.2,172,124,3.21
101,Western Ky. ,58,33-24-1,395.0,202,181,3.21
102,LSU ,62,38-24,400.1,220,185,3.23
103,Houston ,56,33-23,378.2,219,175,3.24
104,UMBC ,53,31-22,349.0,218,162,3.25
105,Auburn ,62,42-19-1,391.1,201,182,3.26
106,Wisconsin ,56,36-20,365.1,200,171,3.28
107,Maine ,37,18-19,241.0,136,113,3.28
108,UNI ,48,28-20,320.1,185,151,3.30
109,Radford ,52,22-30,332.2,209,158,3.32
110,Miami ,50,22-28,340.1,203,162,3.33
111,Furman ,55,29-26,366.2,210,175,3.34
112,Fordham ,56,36-20,362.0,214,174,3.36
113,Saint Joseph's ,42,22-20,274.1,168,132,3.37
114,Tennessee St. ,56,18-38,381.1,263,184,3.38
115,Memphis ,56,23-33,362.2,232,175,3.38
116,Arizona ,60,44-16,368.2,203,178,3.38
117,Oakland ,39,16-23,264.2,180,130,3.44
118,Virginia Tech ,59,36-23,383.1,240,191,3.49
119,Rutgers ,47,28-19,311.1,191,156,3.51
120,Sam Houston St. ,54,27-27,365.0,239,183,3.51
121,Colorado St. ,49,32-17,327.0,203,164,3.51
122,Kennesaw St. ,53,24-29,356.2,227,179,3.51
123,Boston College ,53,30-23,343.0,202,173,3.53
124,Northwestern St. ,52,30-22,334.1,208,169,3.54
125,Bethune-Cookman ,56,25-31,373.2,235,189,3.54
126,Marist ,51,27-24,317.2,209,161,3.55
127,Cal St. Fullerton ,55,33-21-1,362.2,228,184,3.55
128,Illinois ,50,24-26,331.0,213,168,3.55
129,Winthrop ,53,27-26,338.2,234,172,3.56
130,Butler ,52,24-28,355.0,213,181,3.57
131,Saint Louis ,51,30-21,339.1,211,174,3.59
132,BYU ,57,34-23,372.1,236,191,3.59
133,Texas St. ,56,26-30,356.2,224,183,3.59
134,East Carolina ,48,28-20,319.0,211,164,3.60
135,Presbyterian ,52,26-26,341.2,215,176,3.61
