Rank,College,G,IP,SO,BB,K/BB
224,Utah St. ,47,289.0,154,138,1.12
225,Lafayette ,49,309.2,146,131,1.11
226,San Diego St. ,51,343.2,188,171,1.10
227,Tennessee St. ,42,278.1,104,95,1.09
228,Saint Mary's ,51,332.2,216,198,1.09
229,Drexel ,60,388.2,184,170,1.08
230,Central Conn. St. ,41,279.1,187,176,1.06
231,Valparaiso ,47,296.0,241,227,1.06
232,Indiana St. ,54,350.1,161,153,1.05
233,Col. of Charleston ,56,371.2,166,158,1.05
234,UC Riverside ,53,347.1,187,178,1.05
235,Robert Morris ,51,319.2,136,130,1.05
235,Morgan St. ,46,288.0,136,130,1.05
237,Stetson ,47,318.0,119,114,1.04
238,Weber St. ,48,306.0,138,134,1.03
239,Coppin St. ,41,246.0,147,143,1.03
240,IUPUI ,56,360.2,134,131,1.02
241,Memphis ,55,351.1,234,230,1.02
242,Boston College ,53,336.2,248,244,1.02
243,Rider ,54,334.0,182,181,1.01
244,Ga. Southern ,51,341.1,160,160,1.00
245,Saint Louis ,52,325.1,171,172,0.99
245,Fla. Atlantic ,50,329.0,171,172,0.99
247,St. Bonaventure ,45,274.2,151,152,0.99
248,Michigan St. ,50,315.0,144,145,0.99
249,Illinois ,58,380.2,207,209,0.99
250,Saint Peter's ,56,343.1,180,183,0.98
251,UIC ,55,339.2,179,182,0.98
252,South Alabama ,49,320.1,210,214,0.98
253,Canisius ,45,289.1,149,152,0.98
254,New Mexico ,53,317.1,197,205,0.96
255,Eastern Ill. ,55,355.0,164,174,0.94
256,Cal Poly ,51,332.0,120,128,0.94
257,Hartford ,51,323.1,116,125,0.93
258,Saint Francis ,60,391.2,154,168,0.92
259,ETSU ,51,327.2,178,195,0.91
260,Samford ,54,359.2,170,187,0.91
261,Alabama St. ,49,318.2,169,187,0.90
262,Abilene Christian ,44,284.0,84,94,0.89
263,Utah Valley ,46,285.0,109,122,0.89
264,Western Caro. ,53,342.1,173,194,0.89
265,Dartmouth ,40,251.2,124,140,0.89
266,Georgetown ,49,313.1,170,193,0.88
267,Quinnipiac ,50,328.1,165,188,0.88
268,Delaware St. ,42,261.2,68,78,0.87
269,CSU Bakersfield ,47,311.2,137,159,0.86
270,Elon ,54,354.0,151,178,0.85
271,A&M-Corpus Christi ,51,307.2,132,160,0.83
272,Kansas ,51,333.2,190,231,0.82
273,Charlotte ,50,308.2,155,189,0.82
274,Furman ,51,325.2,120,148,0.81
275,Savannah St. ,36,236.1,91,113,0.81
276,UIW ,48,299.2,117,149,0.79
277,UMES ,39,222.0,93,122,0.76
278,Georgia St. ,54,341.1,147,205,0.72
279,Cornell ,46,275.2,129,186,0.69
280,La.-Monroe ,56,353.1,146,212,0.69
281,Colgate ,52,336.2,109,162,0.67
282,Hofstra ,47,302.2,156,239,0.65
283,Utah ,54,332.2,135,214,0.63
284,Omaha ,47,295.1,132,215,0.61
285,UTEP ,50,300.0,191,313,0.61
286,Pittsburgh ,54,345.1,135,231,0.58
287,Presbyterian ,53,331.0,114,197,0.58
288,Morehead St. ,45,256.0,85,151,0.56
289,Maryland ,51,324.2,128,232,0.55
290,Mississippi Val. ,39,243.0,96,182,0.53
291,Grambling ,39,238.2,90,172,0.52
292,Purdue Fort Wayne ,49,315.2,133,262,0.51
293,Santa Clara ,50,330.1,91,181,0.50
294,Southern Utah ,40,255.0,66,136,0.49
295,South Carolina St. ,36,182.1,48,247,0.19
