Rank,College,G,AB,TB,SLG PCT
97,Ohio St. ,56,"1,538",648,0.421
98,Houston Baptist ,42,"1,105",464,0.420
99,Stetson ,53,"1,377",576,0.418
100,Georgia St. ,55,"1,467",609,0.415
101,Seton Hall ,51,"1,358",562,0.414
102,Central Mich. ,53,"1,419",587,0.414
103,Siena ,47,"1,291",534,0.414
104,LSU ,58,"1,505",622,0.413
105,Penn St. ,50,"1,295",534,0.412
106,Western Ill. ,37,941,387,0.411
107,Baylor ,59,"1,570",645,0.411
108,Lamar University ,59,"1,464",601,0.411
109,Austin Peay ,44,"1,191",488,0.410
110,Portland St. ,56,"1,462",599,0.410
111,Virginia Tech ,59,"1,567",641,0.409
112,Providence ,52,"1,413",578,0.409
113,Loyola Chicago ,47,"1,267",518,0.409
114,Purdue Fort Wayne ,50,"1,358",555,0.409
115,Louisiana Tech ,53,"1,340",547,0.408
116,Ole Miss ,56,"1,389",565,0.407
117,Auburn ,53,"1,350",549,0.407
118,Saint Joseph's ,48,"1,252",509,0.407
119,Dayton ,46,"1,203",489,0.406
120,Liberty ,57,"1,525",619,0.406
121,McNeese ,53,"1,367",553,0.405
122,Harvard ,44,"1,157",467,0.404
123,Radford ,56,"1,403",566,0.403
124,Southeast Mo. St. ,48,"1,255",506,0.403
125,Southern Ill. ,52,"1,432",576,0.402
126,Eastern Ill. ,50,"1,304",524,0.402
127,North Texas ,53,"1,379",553,0.401
128,Jacksonville St. ,57,"1,595",639,0.401
129,Jackson St. ,57,"1,458",584,0.401
130,Hampton ,60,"1,632",652,0.400
131,Delaware St. ,54,"1,433",572,0.399
132,Syracuse ,52,"1,339",533,0.398
133,San Jose St. ,59,"1,570",624,0.397
134,Marshall ,58,"1,481",588,0.397
135,Toledo ,53,"1,484",589,0.397
136,Iowa ,54,"1,452",576,0.397
137,Col. of Charleston ,57,"1,495",592,0.396
138,LMU ,56,"1,485",586,0.395
139,Delaware ,57,"1,495",589,0.394
140,Missouri St. ,52,"1,358",535,0.394
141,Albany ,52,"1,364",534,0.391
142,Troy ,53,"1,341",524,0.391
143,Elon ,52,"1,347",526,0.390
144,Canisius ,47,"1,272",496,0.390
145,North Dakota St. ,49,"1,230",479,0.389
146,Northern Ill. ,58,"1,552",604,0.389
147,East Carolina ,52,"1,324",515,0.389
148,Charleston So. ,55,"1,338",519,0.388
149,Iona ,50,"1,359",527,0.388
150,Eastern Mich. ,51,"1,289",499,0.387
151,Penn ,50,"1,301",503,0.387
152,UNLV ,52,"1,326",511,0.385
153,Appalachian St. ,53,"1,413",544,0.385
154,Manhattan ,46,"1,255",483,0.385
155,Lehigh ,54,"1,431",550,0.384
156,Saint Francis ,55,"1,491",573,0.384
157,Kansas City ,45,"1,183",454,0.384
158,UAB ,58,"1,527",586,0.384
159,Bradley ,52,"1,418",544,0.384
160,Monmouth ,47,"1,315",502,0.382
161,Valparaiso ,62,"1,685",643,0.382
162,Murray St. ,53,"1,432",544,0.380
163,UC Santa Barbara ,55,"1,430",543,0.380
164,Green Bay ,37,985,374,0.380
165,Columbia ,48,"1,321",501,0.379
166,BYU ,58,"1,570",595,0.379
167,Mississippi Val. ,55,"1,436",544,0.379
168,Northern Colo. ,47,"1,189",450,0.378
169,Rutgers ,56,"1,491",564,0.378
170,UNI ,53,"1,336",504,0.377
171,South Fla. ,61,"1,546",583,0.377
172,Fresno St. ,54,"1,443",544,0.377
173,Fairleigh Dickinson ,44,"1,167",439,0.376
174,Kennesaw St. ,54,"1,413",531,0.376
175,Seattle U ,53,"1,364",512,0.375
176,Chattanooga ,53,"1,467",549,0.374
