Rank,College,G,PO,A,E,PCT
55,Rutgers ,57,"1,099",474,53,0.967
56,Missouri ,58,"1,126",473,54,0.967
57,Nicholls St. ,56,"1,146",482,55,0.967
58,Texas ,54,"1,078",371,49,0.967
59,Ohio ,60,"1,279",316,54,0.967
60,Monmouth ,50,"1,000",470,50,0.967
61,UT Arlington ,49,962,414,47,0.967
62,Coastal Carolina ,59,"1,147",424,54,0.967
63,Lipscomb ,55,"1,103",349,50,0.967
64,Southern Ill. ,52,"1,029",362,48,0.967
65,UIC ,51,"1,048",457,52,0.967
66,Eastern Ky. ,54,"1,096",408,52,0.967
67,Longwood ,60,"1,201",354,54,0.966
68,Southern Miss. ,58,"1,155",483,57,0.966
69,Fordham ,60,"1,179",396,55,0.966
70,Charleston So. ,56,"1,113",449,55,0.966
71,DePaul ,52,"1,001",389,49,0.966
72,South Fla. ,61,"1,184",454,58,0.966
73,LMU ,53,"1,054",440,53,0.966
74,Illinois ,59,"1,163",496,59,0.966
75,UCLA ,57,"1,119",507,58,0.966
76,Eastern Ill. ,53,"1,043",413,52,0.966
77,Dartmouth ,42,833,257,39,0.965
78,Indiana St. ,51,973,448,51,0.965
79,Troy ,56,"1,112",442,56,0.965
80,Boston College ,53,"1,067",451,55,0.965
81,Long Beach St. ,55,"1,106",270,50,0.965
82,Oklahoma St. ,58,"1,122",524,60,0.965
83,Saint Mary's ,48,963,408,50,0.965
84,Jacksonville St. ,60,"1,206",543,64,0.965
85,Florida St. ,65,"1,269",449,63,0.965
86,Texas A&M ,59,"1,116",463,58,0.965
87,Georgia ,66,"1,251",355,59,0.965
88,Yale ,50,"1,035",448,55,0.964
89,Idaho St. ,51,"1,005",476,55,0.964
90,Central Ark. ,57,"1,138",635,66,0.964
91,Arizona ,61,"1,180",466,62,0.964
92,Montana ,56,"1,097",359,55,0.964
93,Bryant ,48,917,379,49,0.964
94,Cal Poly ,50,"1,002",372,52,0.964
95,Dayton ,49,"1,030",387,54,0.963
96,Iona ,46,878,355,47,0.963
97,Georgia Tech ,55,"1,127",520,63,0.963
98,Valparaiso ,52,974,302,49,0.963
99,Mississippi St. ,57,"1,184",506,65,0.963
100,Siena ,47,917,434,52,0.963
101,IUPUI ,55,"1,121",462,61,0.963
102,CSUN ,56,"1,160",493,64,0.963
103,Green Bay ,54,981,387,53,0.963
104,Radford ,61,"1,237",612,72,0.963
105,Presbyterian ,53,"1,037",375,55,0.963
106,LIU ,56,"1,089",554,64,0.963
107,California ,58,"1,154",360,59,0.962
108,McNeese ,57,"1,157",356,59,0.962
109,Central Mich. ,52,997,357,53,0.962
110,Charlotte ,55,"1,100",328,56,0.962
111,UTEP ,55,"1,021",533,61,0.962
112,Tennessee Tech ,56,"1,086",387,58,0.962
113,Butler ,52,"1,031",340,54,0.962
114,Oregon St. ,51,"1,019",374,55,0.962
115,South Alabama ,51,"1,008",256,50,0.962
116,North Florida ,49,952,413,54,0.962
117,Morehead St. ,53,"1,047",515,62,0.962
118,San Diego ,51,"1,007",392,56,0.962
119,Creighton ,47,924,274,48,0.961
120,A&M-Corpus Christi ,48,938,384,53,0.961
121,Saint Louis ,52,"1,010",486,60,0.961
122,Minnesota ,57,"1,096",339,58,0.961
123,Wisconsin ,53,"1,061",398,59,0.961
124,Akron ,56,"1,125",551,68,0.961
125,BYU ,57,"1,135",368,61,0.961
126,Columbia ,48,969,357,54,0.961
127,Nebraska ,56,"1,133",535,68,0.961
127,Hofstra ,46,897,354,51,0.961
129,Louisiana Tech ,54,"1,085",526,66,0.961
130,Kent St. ,59,"1,156",478,67,0.961
131,Pittsburgh ,52,991,514,62,0.960
132,Army West Point ,59,"1,190",635,76,0.960
133,Georgia St. ,61,"1,182",471,69,0.960
134,Bethune-Cookman ,53,"1,009",379,58,0.960
135,SIUE ,54,"1,118",412,64,0.960
136,Sacred Heart ,49,984,259,52,0.960
137,Furman ,61,"1,234",439,70,0.960
137,Princeton ,51,"1,036",398,60,0.960
139,Middle Tenn. ,54,"1,067",486,65,0.960
140,Tulsa ,56,"1,080",377,61,0.960
141,Virginia Tech ,57,"1,075",501,66,0.960
142,Manhattan ,51,"1,010",446,61,0.960
143,South Dakota ,53,"1,012",393,59,0.960
144,UNC Greensboro ,59,"1,132",510,69,0.960
145,Stony Brook ,52,992,453,61,0.959
146,Loyola Chicago ,49,936,460,59,0.959
147,Louisville ,52,"1,014",452,62,0.959
148,Utah St. ,51,"1,004",386,59,0.959
149,Tennessee ,59,"1,094",413,64,0.959
150,Fresno St. ,55,"1,100",406,64,0.959
151,South Dakota St. ,57,"1,092",530,69,0.959
152,St. Bonaventure ,47,924,387,56,0.959
153,Belmont ,54,"1,023",342,59,0.959
154,Jacksonville ,58,"1,155",623,77,0.958
155,Indiana ,54,"1,075",397,64,0.958
156,George Mason ,47,937,366,57,0.958
157,LSU ,70,"1,388",529,84,0.958
158,East Carolina ,54,"1,060",392,64,0.958
159,Illinois St. ,53,"1,024",494,67,0.958
160,ETSU ,42,834,271,49,0.958
161,Ball St. ,54,"1,007",458,65,0.958
162,Wagner ,49,965,432,62,0.958
163,Northwestern ,55,"1,094",437,68,0.957
164,Houston ,56,"1,097",544,73,0.957
165,New Mexico ,50,989,466,65,0.957
166,Maine ,49,947,351,58,0.957
167,FIU ,56,"1,092",438,69,0.957
168,NC State ,56,"1,092",436,69,0.957
169,Wright St. ,60,"1,223",525,79,0.957
170,Detroit Mercy ,56,"1,065",528,72,0.957
171,Campbell ,59,"1,148",511,75,0.957
172,UNI ,57,"1,130",414,70,0.957
173,Texas Southern ,44,869,341,55,0.957
174,Massachusetts ,50,988,524,69,0.956
175,Arkansas ,56,"1,037",518,71,0.956
176,Albany ,52,985,323,60,0.956
177,San Jose St. ,52,989,405,64,0.956
178,Brown ,41,811,403,56,0.956
179,Delaware ,51,"1,020",388,65,0.956
180,Bowling Green ,54,"1,046",399,67,0.956
181,Bradley ,48,930,364,60,0.956
182,New Mexico St. ,59,"1,091",440,71,0.956
183,Omaha ,59,"1,095",521,75,0.956
184,Chattanooga ,59,"1,170",517,79,0.955
185,La.-Monroe ,58,"1,109",334,68,0.955
186,UC Davis ,50,967,390,64,0.955
187,Saint Joseph's ,52,"1,050",455,71,0.955
188,Evansville ,50,"1,015",383,66,0.955
189,Marshall ,56,"1,095",365,69,0.955
190,North Carolina ,57,"1,135",466,76,0.955
191,Georgetown ,44,815,359,56,0.954
192,Binghamton ,49,920,440,65,0.954
193,Providence ,49,946,450,67,0.954
194,North Dakota ,54,"1,032",509,74,0.954
195,Hampton ,48,911,359,61,0.954
196,Toledo ,54,"1,051",427,71,0.954
197,UMBC ,56,"1,074",498,76,0.954
198,Elon ,51,"1,085",382,71,0.954
199,Youngstown St. ,51,"1,004",480,72,0.954
200,Northwestern St. ,52,"1,041",398,70,0.954
201,Fairleigh Dickinson ,46,846,342,58,0.953
202,Michigan St. ,55,"1,082",430,74,0.953
203,Purdue ,55,"1,105",325,70,0.953
204,Colorado St. ,46,924,443,67,0.953
205,George Washington ,52,"1,026",380,69,0.953
206,Western Ill. ,48,914,267,58,0.953
207,Texas Tech ,55,"1,034",472,74,0.953
208,Saint Francis ,58,"1,109",431,76,0.953
209,CSU Bakersfield ,50,978,414,69,0.953
210,Northern Ill. ,55,"1,082",510,79,0.953
211,Gardner-Webb ,54,"1,053",438,74,0.953
212,Winthrop ,58,"1,080",401,74,0.952
213,UTSA ,53,"1,075",466,77,0.952
214,SFA ,57,"1,144",455,80,0.952
215,Memphis ,57,"1,108",403,76,0.952
216,Seton Hall ,54,"1,090",439,77,0.952
217,Drake ,54,"1,041",329,69,0.952
218,Kansas City ,50,996,387,70,0.952
219,Kennesaw St. ,58,"1,149",509,84,0.952
220,N.C. A&T ,49,932,389,67,0.952
221,UC Santa Barbara ,56,"1,119",377,76,0.952
222,Mercer ,58,"1,127",388,77,0.952
223,Western Mich. ,50,968,483,74,0.951
224,Alabama St. ,55,"1,072",473,79,0.951
225,Buffalo ,54,"1,051",434,76,0.951
226,Canisius ,55,"1,080",459,79,0.951
227,Maryland ,52,952,448,72,0.951
228,Iowa St. ,55,"1,041",371,73,0.951
229,Sam Houston St. ,54,"1,006",404,73,0.951
230,Houston Baptist ,44,822,352,61,0.951
231,Holy Cross ,44,865,289,60,0.951
232,Boise St. ,52,974,429,73,0.951
233,Prairie View ,38,674,303,51,0.950
234,Hawaii ,54,"1,097",511,84,0.950
235,Nevada ,47,943,319,66,0.950
236,Cleveland St. ,53,"1,068",485,82,0.950
237,Appalachian St. ,56,"1,021",433,77,0.950
238,Stanford ,48,901,458,72,0.950
239,Northern Colo. ,42,783,434,65,0.949
240,UNLV ,55,"1,076",558,88,0.949
241,Ga. Southern ,57,"1,108",394,81,0.949
242,Liberty ,59,"1,168",363,83,0.949
243,Robert Morris ,56,"1,106",544,90,0.948
244,Delaware St. ,48,901,331,68,0.948
245,Austin Peay ,47,911,392,72,0.948
246,Penn ,44,860,297,64,0.948
247,Iowa ,52,998,421,79,0.947
248,Eastern Mich. ,51,989,412,78,0.947
249,Seattle U ,52,"1,019",452,82,0.947
250,Mount St. Mary's ,50,884,388,71,0.947
251,Quinnipiac ,57,"1,154",514,94,0.947
252,Southeast Mo. St. ,49,941,368,74,0.946
253,Niagara ,48,901,375,73,0.946
254,La Salle ,45,852,366,70,0.946
255,Colgate ,41,802,374,68,0.945
256,Cornell ,41,744,281,60,0.945
257,FGCU ,59,"1,180",510,100,0.944
258,Oakland ,44,885,398,76,0.944
259,Towson ,54,"1,056",407,87,0.944
260,Portland St. ,49,897,292,71,0.944
261,Tennessee St. ,55,991,402,84,0.943
262,Southeastern La. ,55,"1,083",418,92,0.942
263,UMES ,41,770,225,61,0.942
264,Florida A&M ,57,"1,077",384,90,0.942
265,Western Ky. ,47,949,393,83,0.942
266,Alabama A&M ,47,854,326,73,0.942
267,Lamar University ,57,"1,132",612,109,0.941
268,Alcorn ,46,840,250,71,0.939
269,Rider ,50,932,396,87,0.939
270,Santa Clara ,51,976,374,89,0.938
271,Drexel ,55,"1,026",371,93,0.938
272,Rhode Island ,44,840,327,79,0.937
273,Southern Utah ,52,956,417,93,0.937
274,Coppin St. ,36,635,247,60,0.936
275,Morgan St. ,41,787,291,76,0.934
276,Virginia ,51,"1,006",468,104,0.934
277,Savannah St. ,49,960,397,96,0.934
278,Howard ,41,738,372,79,0.934
279,Purdue Fort Wayne ,51,940,394,95,0.934
280,N.C. Central ,49,886,376,90,0.933
281,Southern U. ,32,560,258,59,0.933
282,Norfolk St. ,43,826,332,86,0.931
283,Hartford ,51,953,391,100,0.931
284,Saint Peter's ,43,723,265,77,0.928
285,Utah Valley ,52,978,550,122,0.926
286,Ark.-Pine Bluff ,51,894,361,109,0.920
287,Mississippi Val. ,44,823,397,106,0.920
288,Jackson St. ,36,698,280,85,0.920
289,South Carolina St. ,30,479,208,72,0.905
290,Grambling ,37,623,219,95,0.899
