Rank,College,G,HR,PG
218,Idaho St. ,51,21,0.41
219,Georgetown ,44,18,0.41
220,Middle Tenn. ,54,22,0.41
220,SIUE ,54,22,0.41
222,Wright St. ,60,24,0.40
222,UCF ,60,24,0.40
224,Hampton ,48,19,0.40
225,N.C. A&T ,49,19,0.39
226,Niagara ,48,18,0.38
227,Santa Clara ,51,19,0.37
228,Colgate ,41,15,0.37
229,Murray St. ,55,20,0.36
229,Oakland ,44,16,0.36
231,Winthrop ,58,21,0.36
232,Western Ill. ,48,17,0.35
233,Memphis ,57,20,0.35
234,Saint Peter's ,43,15,0.35
235,Portland St. ,49,17,0.35
236,Butler ,52,18,0.35
236,Maryland ,52,18,0.35
238,UC Riverside ,55,19,0.35
239,UNCW ,50,17,0.34
240,Akron ,56,19,0.34
241,FGCU ,59,20,0.34
242,Ark.-Pine Bluff ,51,17,0.33
242,Purdue Fort Wayne ,51,17,0.33
244,Charlotte ,55,18,0.33
245,Sacred Heart ,49,16,0.33
246,Nicholls St. ,56,18,0.32
247,Brown ,41,13,0.32
247,Morgan St. ,41,13,0.32
249,Mississippi St. ,57,18,0.32
250,UIC ,51,16,0.31
251,Kennesaw St. ,58,18,0.31
252,N.C. Central ,49,15,0.31
253,Coppin St. ,36,11,0.31
254,Alcorn ,46,14,0.30
255,Detroit Mercy ,56,17,0.30
256,Sacramento St. ,50,15,0.30
257,Bryant ,48,14,0.29
257,Saint Mary's ,48,14,0.29
259,Tennessee St. ,55,16,0.29
260,Seattle U ,52,15,0.29
261,Lamar University ,57,16,0.28
262,Bucknell ,50,14,0.28
263,South Alabama ,51,14,0.27
264,Texas Southern ,44,12,0.27
265,Dayton ,49,13,0.27
266,Stetson ,54,14,0.26
267,Lehigh ,52,13,0.25
268,Quinnipiac ,57,14,0.25
269,Southeastern La. ,55,13,0.24
270,Indiana St. ,51,12,0.24
271,George Washington ,52,12,0.23
272,Holy Cross ,44,10,0.23
273,Bethune-Cookman ,53,12,0.23
274,North Florida ,49,11,0.22
274,UT Arlington ,49,11,0.22
276,Lafayette ,45,10,0.22
277,UC Davis ,50,11,0.22
278,Army West Point ,59,12,0.20
279,Jackson St. ,36,7,0.19
280,Boston U. ,52,10,0.19
281,Drexel ,55,10,0.18
282,Cal Poly ,50,9,0.18
283,A&M-Corpus Christi ,48,8,0.17
284,CSU Bakersfield ,50,7,0.14
285,George Mason ,47,6,0.13
286,UMES ,41,5,0.12
287,Hartford ,51,6,0.12
288,South Carolina St. ,30,3,0.10
289,Yale ,50,3,0.06
290,Grambling ,37,2,0.05
