Rank,College,G,AB,H,BA
224,Lipscomb ,55,"1,423",367,0.258
225,Valparaiso ,52,"1,346",347,0.258
226,Middle Tenn. ,54,"1,462",376,0.257
227,Fairleigh Dickinson ,46,"1,159",298,0.257
228,Purdue Fort Wayne ,51,"1,253",321,0.256
229,Texas St. ,62,"1,499",384,0.256
230,Robert Morris ,56,"1,484",380,0.256
231,UCF ,60,"1,497",383,0.256
232,Creighton ,47,"1,167",298,0.255
233,Virginia Tech ,57,"1,405",358,0.255
234,Radford ,61,"1,610",410,0.255
235,Butler ,52,"1,340",340,0.254
236,Bowling Green ,54,"1,426",361,0.253
237,North Dakota ,54,"1,405",355,0.253
238,Ohio ,60,"1,619",408,0.252
239,Western Ky. ,47,"1,200",301,0.251
240,UConn ,52,"1,320",331,0.251
241,Saint Mary's ,48,"1,239",310,0.250
242,Eastern Ill. ,53,"1,341",335,0.250
243,Iowa ,52,"1,375",343,0.249
244,Syracuse ,53,"1,413",352,0.249
245,Austin Peay ,47,"1,238",308,0.249
246,SFA ,57,"1,460",363,0.249
247,UTSA ,53,"1,391",345,0.248
248,Mississippi St. ,57,"1,476",365,0.247
249,Gardner-Webb ,54,"1,363",337,0.247
250,Utah Valley ,52,"1,335",330,0.247
251,Niagara ,48,"1,230",303,0.246
252,Evansville ,50,"1,301",320,0.246
253,Detroit Mercy ,56,"1,403",345,0.246
254,UNCW ,50,"1,347",331,0.246
255,Lafayette ,45,"1,194",293,0.245
256,Tennessee Tech ,56,"1,410",343,0.243
257,CSU Bakersfield ,50,"1,275",310,0.243
258,Central Ark. ,57,"1,411",343,0.243
259,Oakland ,44,"1,169",284,0.243
260,Kennesaw St. ,58,"1,464",354,0.242
261,UC Davis ,50,"1,266",306,0.242
262,Purdue ,55,"1,416",342,0.242
263,Tennessee St. ,55,"1,322",319,0.241
264,Alabama A&M ,47,"1,173",283,0.241
265,Winthrop ,58,"1,456",351,0.241
266,Quinnipiac ,57,"1,506",362,0.240
267,Jacksonville ,58,"1,465",351,0.240
268,Santa Clara ,51,"1,237",294,0.238
269,Rider ,50,"1,283",304,0.237
270,Hawaii ,54,"1,394",330,0.237
271,Presbyterian ,53,"1,353",320,0.237
272,Morgan St. ,41,"1,003",237,0.236
273,Stanford ,48,"1,212",285,0.235
274,Yale ,50,"1,354",317,0.234
275,La Salle ,45,"1,115",261,0.234
276,Toledo ,54,"1,332",310,0.233
277,Dayton ,49,"1,278",297,0.232
278,SIUE ,54,"1,363",316,0.232
279,Rhode Island ,44,"1,127",260,0.231
280,Georgia Tech ,55,"1,415",323,0.228
281,A&M-Corpus Christi ,48,"1,189",271,0.228
282,Sacred Heart ,49,"1,300",296,0.228
283,Holy Cross ,44,"1,125",255,0.227
284,N.C. Central ,49,"1,188",267,0.225
285,Colgate ,41,"1,018",226,0.222
286,Hartford ,51,"1,216",262,0.215
287,South Carolina St. ,30,630,133,0.211
288,Bryant ,48,"1,169",244,0.209
289,Grambling ,37,817,170,0.208
290,Saint Peter's ,43,980,195,0.199
