Rank,College,G,IP,R,ER,ERA
150,Ga. Southern ,51,341.1,222,179,3.67
151,Texas Southern ,52,339.0,245,178,3.68
152,Bowling Green ,51,336.0,238,177,3.69
153,Texas A&M ,55,361.2,236,191,3.70
154,Lehigh ,55,357.2,242,190,3.72
155,Yale ,43,283.1,198,152,3.76
156,Nevada ,56,362.2,234,195,3.76
157,Winthrop ,55,362.0,241,195,3.77
158,Bradley ,50,318.1,232,172,3.78
159,Northern Ill. ,52,341.1,231,186,3.81
160,Middle Tenn. ,59,399.2,263,218,3.82
161,South Dakota ,61,401.0,275,219,3.82
162,Creighton ,44,284.2,207,156,3.84
163,Fordham ,55,353.1,244,194,3.84
164,San Diego St. ,51,343.2,239,189,3.85
165,Quinnipiac ,50,328.1,223,181,3.86
166,Gardner-Webb ,54,342.1,251,192,3.93
167,Toledo ,57,377.2,267,213,3.95
168,Villanova ,53,341.0,238,193,3.96
169,Baylor ,49,326.2,237,185,3.96
170,Siena ,47,310.2,209,176,3.97
171,UNCW ,54,351.0,246,199,3.97
172,Harvard ,44,285.2,201,162,3.97
173,Elon ,54,354.0,249,201,3.97
174,Alcorn ,38,243.0,198,138,3.98
175,Brown ,39,258.2,170,147,3.98
176,Purdue ,63,412.1,281,235,3.99
177,Florida A&M ,53,336.0,241,192,4.00
178,Kent St. ,54,341.2,234,196,4.02
179,Iowa ,51,327.2,234,188,4.02
180,Wright St. ,55,356.2,320,205,4.02
180,Columbia ,45,285.1,215,164,4.02
182,Bryant ,45,295.0,216,170,4.03
183,Memphis ,55,351.1,254,203,4.04
184,Illinois ,58,380.2,296,220,4.05
185,UTSA ,52,332.0,253,192,4.05
186,Fairleigh Dickinson ,49,319.1,216,185,4.06
187,North Dakota ,56,368.1,286,214,4.07
188,Niagara ,50,320.0,228,186,4.07
189,East Carolina ,54,357.1,255,209,4.09
190,N.C. Central ,49,309.0,231,182,4.12
191,Green Bay ,41,266.1,215,157,4.13
192,Manhattan ,50,323.1,224,191,4.14
193,Montana ,56,369.2,283,219,4.15
194,Col. of Charleston ,56,371.2,259,222,4.18
195,Weber St. ,48,306.0,222,183,4.19
196,UIC ,55,339.2,249,205,4.22
197,Illinois St. ,51,321.1,246,194,4.23
198,Charleston So. ,55,361.0,267,218,4.23
199,Pacific ,49,314.0,263,190,4.24
200,Campbell ,54,350.1,285,212,4.24
201,Idaho St. ,47,310.0,245,188,4.25
202,Tennessee St. ,42,278.1,240,169,4.25
203,Hampton ,48,300.1,249,183,4.27
204,Tennessee Tech ,45,296.2,233,181,4.27
205,Seton Hall ,48,317.0,254,194,4.28
206,Cal Poly ,51,332.0,282,204,4.30
207,UC Riverside ,53,347.1,270,214,4.31
208,Drexel ,60,388.2,287,241,4.34
209,Maine ,41,268.2,212,167,4.35
210,UAB ,50,324.2,249,202,4.36
211,Portland St. ,51,343.2,259,214,4.36
212,Colgate ,52,336.2,249,211,4.39
213,St. John's ,48,317.0,260,199,4.39
214,Delaware ,51,334.1,247,210,4.40
215,UC Santa Barbara ,52,336.2,267,214,4.45
216,Central Conn. St. ,41,279.1,207,179,4.49
217,Purdue Fort Wayne ,49,315.2,279,203,4.50
218,Savannah St. ,36,236.1,201,153,4.53
219,Abilene Christian ,44,284.0,234,184,4.54
220,Mercer ,56,368.1,291,240,4.56
221,Evansville ,49,313.0,247,204,4.56
222,San Diego ,49,311.1,248,203,4.56
223,La Salle ,45,294.1,264,192,4.57
224,Georgia Tech ,58,371.1,308,244,4.60
225,Nebraska ,52,328.2,276,216,4.60
226,Eastern Ill. ,55,355.0,294,234,4.61
227,Arizona St. ,55,336.1,269,223,4.64
228,Western Caro. ,53,342.1,284,227,4.64
229,CSU Bakersfield ,47,311.2,258,207,4.65
230,Canisius ,45,289.1,253,193,4.67
231,Cleveland St. ,49,323.2,275,216,4.67
232,ETSU ,51,327.2,244,219,4.68
233,Syracuse ,53,322.2,280,216,4.69
234,Samford ,54,359.2,277,241,4.69
235,Morgan St. ,46,288.0,251,194,4.72
236,Central Mich. ,51,330.2,256,224,4.74
237,Saint Mary's ,51,332.2,271,226,4.76
238,Dayton ,51,325.0,279,222,4.78
239,South Alabama ,49,320.1,275,222,4.85
240,Kansas ,51,333.2,268,236,4.95
241,Buffalo ,43,270.1,261,192,4.97
242,Binghamton ,48,302.1,282,215,4.98
243,Indiana St. ,54,350.1,307,250,5.00
244,Lafayette ,49,309.2,266,221,5.00
245,Robert Morris ,51,319.2,292,229,5.01
246,Saint Louis ,52,325.1,314,235,5.06
247,Santa Clara ,50,330.1,292,239,5.06
248,Hofstra ,47,302.2,277,220,5.09
249,Oregon ,52,332.1,285,242,5.10
250,Boston College ,53,336.2,325,251,5.22
251,Princeton ,41,248.2,234,188,5.29
252,N.C. A&T ,40,242.0,241,184,5.32
253,Valparaiso ,47,296.0,259,227,5.37
254,Oakland ,51,338.0,327,260,5.38
254,Virginia ,53,325.0,299,250,5.38
256,Georgia St. ,54,341.1,334,263,5.39
257,Saint Francis ,60,391.2,372,302,5.40
258,Hartford ,51,323.1,284,251,5.43
259,Dartmouth ,40,251.2,241,197,5.48
260,Howard ,48,306.1,299,241,5.51
261,Delaware St. ,42,261.2,267,206,5.51
262,SIUE ,44,285.1,260,225,5.52
263,Jackson St. ,47,284.0,292,225,5.55
264,Utah Valley ,46,285.0,278,226,5.55
265,Presbyterian ,53,331.0,322,263,5.56
266,La.-Monroe ,56,353.1,343,282,5.59
267,Utah St. ,47,289.0,271,232,5.62
268,Mississippi Val. ,39,243.0,259,196,5.65
269,Northern Colo. ,53,340.0,339,277,5.70
270,IUPUI ,56,360.2,347,295,5.73
271,Michigan St. ,50,315.0,340,262,5.82
272,UIW ,48,299.2,306,250,5.84
273,Maryland ,51,324.2,347,271,5.84
274,Furman ,51,325.2,333,274,5.89
275,Akron ,46,289.2,306,246,5.94
276,Grambling ,39,238.2,246,204,5.98
277,A&M-Corpus Christi ,51,307.2,318,264,6.01
278,Pittsburgh ,54,345.1,384,305,6.18
279,Rider ,54,334.0,342,297,6.22
280,Coppin St. ,41,246.0,295,219,6.23
281,Utah ,54,332.2,348,298,6.27
282,Wagner ,44,271.1,298,247,6.37
283,Charlotte ,50,308.2,339,281,6.37
284,Saint Peter's ,56,343.1,409,316,6.44
285,St. Bonaventure ,45,274.2,326,260,6.63
286,New Mexico ,53,317.1,375,302,6.66
287,Georgetown ,49,313.1,346,300,6.70
288,Ark.-Pine Bluff ,38,217.0,269,208,6.71
289,Southern Utah ,40,255.0,304,247,6.78
290,Omaha ,47,295.1,357,287,6.80
291,UTEP ,50,300.0,337,300,7.00
292,UMES ,39,222.0,300,237,7.47
293,Cornell ,46,275.2,366,303,7.69
294,Morehead St. ,45,256.0,428,359,9.82
295,South Carolina St. ,36,182.1,358,286,10.98
