Rank,College,G,3B,PG
176,St. John's ,47,6,0.13
177,Missouri St. ,55,7,0.13
177,Pacific ,55,7,0.13
179,San Jose St. ,56,7,0.13
180,Virginia Tech ,57,7,0.12
181,Louisville ,49,6,0.12
181,Fairfield ,49,6,0.12
181,UC Davis ,49,6,0.12
181,A&M-Corpus Christi ,49,6,0.12
181,Appalachian St. ,49,6,0.12
181,Bryant ,49,6,0.12
187,Chattanooga ,50,6,0.12
188,Drexel ,42,5,0.12
189,Utah Valley ,59,7,0.12
189,Longwood ,59,7,0.12
189,Liberty ,59,7,0.12
192,SFA ,51,6,0.12
192,Yale ,34,4,0.12
192,Northwestern ,51,6,0.12
192,Western Mich. ,51,6,0.12
196,Dartmouth ,43,5,0.12
196,Massachusetts ,43,5,0.12
198,Saint Mary's ,53,6,0.11
198,Nevada ,53,6,0.11
198,Illinois ,53,6,0.11
198,Dayton ,53,6,0.11
198,UConn ,53,6,0.11
203,Prairie View ,36,4,0.11
203,Maryland ,54,6,0.11
203,Central Conn. St. ,45,5,0.11
203,USC Upstate ,54,6,0.11
203,South Carolina St. ,36,4,0.11
208,Michigan St. ,55,6,0.11
208,UT Arlington ,55,6,0.11
210,DePaul ,46,5,0.11
210,Syracuse ,46,5,0.11
210,Morehead St. ,46,5,0.11
213,Georgetown ,47,5,0.11
214,Florida A&M ,57,6,0.11
214,Weber St. ,57,6,0.11
214,Morgan St. ,38,4,0.11
217,Eastern Ill. ,48,5,0.10
217,Hampton ,48,5,0.10
219,Indiana St. ,58,6,0.10
220,Loyola Chicago ,50,5,0.10
220,Louisiana Tech ,50,5,0.10
220,NC State ,60,6,0.10
220,Ark.-Pine Bluff ,40,4,0.10
220,UNI ,50,5,0.10
225,Tennessee Tech ,61,6,0.10
226,Ga. Southern ,51,5,0.10
226,Portland St. ,51,5,0.10
228,Hofstra ,53,5,0.09
229,Texas Southern ,43,4,0.09
230,Wichita St. ,57,5,0.09
231,Kentucky ,58,5,0.09
231,San Diego St. ,58,5,0.09
233,UNC Greensboro ,47,4,0.09
234,Charleston So. ,59,5,0.08
235,Fairleigh Dickinson ,36,3,0.08
235,ETSU ,48,4,0.08
237,Eastern Mich. ,50,4,0.08
237,Quinnipiac ,50,4,0.08
237,Santa Clara ,50,4,0.08
237,Detroit Mercy ,50,4,0.08
241,Butler ,51,4,0.08
241,Army West Point ,51,4,0.08
243,Seattle U ,52,4,0.08
243,Long Beach St. ,52,4,0.08
245,Seton Hall ,53,4,0.08
246,Saint Louis ,54,4,0.07
246,Boise St. ,54,4,0.07
246,Marist ,54,4,0.07
246,UC Santa Barbara ,54,4,0.07
250,Lafayette ,41,3,0.07
250,Norfolk St. ,41,3,0.07
252,Jacksonville St. ,55,4,0.07
253,Illinois St. ,56,4,0.07
254,Coastal Carolina ,57,4,0.07
255,Howard ,43,3,0.07
256,Columbia ,44,3,0.07
257,Southern U. ,30,2,0.07
258,Rider ,47,3,0.06
258,Sam Houston St. ,47,3,0.06
260,Buffalo ,50,3,0.06
261,UAB ,51,3,0.06
262,Western Caro. ,53,3,0.06
263,Hawaii ,54,3,0.06
264,Bucknell ,55,3,0.05
264,Campbell ,55,3,0.05
266,La Salle ,37,2,0.05
267,Indiana ,56,3,0.05
268,Pittsburgh ,59,3,0.05
269,Cornell ,41,2,0.05
270,Niagara ,44,2,0.05
270,Sacred Heart ,44,2,0.05
270,Mount St. Mary's ,44,2,0.05
270,Iona ,44,2,0.05
274,Manhattan ,46,2,0.04
274,Austin Peay ,46,2,0.04
276,Siena ,49,2,0.04
277,Presbyterian ,50,2,0.04
277,Western Ky. ,50,2,0.04
277,Southern Utah ,50,2,0.04
280,LMU ,54,2,0.04
281,Kansas ,55,2,0.04
282,Arizona St. ,58,2,0.03
283,Texas A&M ,60,2,0.03
284,Wagner ,34,1,0.03
285,Saint Peter's ,42,1,0.02
286,UMBC ,49,1,0.02
287,North Dakota ,55,1,0.02
