Rank,College,W,L,T,PCT
249,UC Davis ,15,35,0,0.300
251,Oakland ,13,31,0,0.295
252,Ark.-Pine Bluff ,15,36,0,0.294
253,Colgate ,12,29,0,0.293
254,Lafayette ,13,32,0,0.289
255,Portland St. ,14,35,0,0.286
255,Sacred Heart ,13,34,2,0.286
257,South Dakota ,15,38,0,0.283
258,Iona ,13,33,0,0.283
259,Rhode Island ,12,32,0,0.273
260,Stanford ,13,35,0,0.271
261,Boise St. ,14,38,0,0.269
262,UMES ,11,30,0,0.268
263,Prairie View ,10,28,0,0.263
264,Fairleigh Dickinson ,12,34,0,0.261
265,Winthrop ,15,43,0,0.259
266,Alabama A&M ,12,35,0,0.255
267,Iowa ,13,39,0,0.250
267,Southern Utah ,13,39,0,0.250
267,Bryant ,12,36,0,0.250
270,Maryland ,12,40,0,0.231
271,Jackson St. ,8,28,0,0.222
272,Cornell ,9,32,0,0.220
272,Howard ,9,32,0,0.220
274,Purdue Fort Wayne ,11,40,0,0.216
275,Northern Colo. ,9,33,0,0.214
276,Niagara ,10,38,0,0.208
277,Georgetown ,9,35,0,0.205
278,Appalachian St. ,11,45,0,0.196
279,Santa Clara ,10,41,0,0.196
280,Austin Peay ,9,38,0,0.191
281,Tennessee St. ,10,45,0,0.182
281,Holy Cross ,8,36,0,0.182
283,Utah Valley ,9,43,0,0.173
284,South Carolina St. ,5,25,0,0.167
285,Rider ,8,42,0,0.160
286,N.C. Central ,7,42,0,0.143
287,Coppin St. ,5,31,0,0.139
288,Grambling ,5,32,0,0.135
289,Hartford ,6,45,0,0.118
290,Saint Peter's ,1,42,0,0.023
