Rank,College,G,W-L,PO,A,E,PCT
164,Kent St. ,45,25-20,914,307,55,0.957
165,Delaware St. ,52,35-17,991,407,63,0.957
166,CSUN ,57,31-26,"1,143",449,72,0.957
167,Towson ,54,29-25,"1,062",397,66,0.957
168,UNI ,48,28-20,961,386,61,0.957
169,Western Ill. ,48,19-28-1,908,438,61,0.957
170,Mercer ,56,37-19,"1,085",389,67,0.957
171,Drake ,52,19-33,"1,029",462,68,0.956
172,Purdue ,56,27-28-1,"1,084",398,68,0.956
173,Arkansas ,55,27-28,"1,006",473,68,0.956
174,Monmouth ,43,22-21,840,508,62,0.956
175,Saint Francis ,49,26-23,967,424,64,0.956
176,Delaware ,48,23-25,946,336,59,0.956
177,Ole Miss ,53,22-31,"1,017",321,62,0.956
178,Belmont ,49,13-36,941,460,65,0.956
179,Indiana ,57,17-39-1,"1,087",453,72,0.955
180,Morehead St. ,52,15-36-1,991,463,68,0.955
181,UNCW ,52,18-34,"1,046",425,69,0.955
182,UC Davis ,54,21-33,"1,073",419,70,0.955
183,Hawaii ,50,22-28,992,498,70,0.955
184,UNC Greensboro ,57,31-26,"1,110",506,76,0.955
185,Evansville ,51,19-32,993,409,66,0.955
186,UMBC ,53,31-22,"1,047",546,75,0.955
187,SFA ,53,26-27,"1,050",309,64,0.955
188,Santa Clara ,44,10-34,866,450,62,0.955
189,Massachusetts ,39,16-22-1,773,372,54,0.955
190,Appalachian St. ,51,19-32,"1,006",413,67,0.955
191,Mount St. Mary's ,44,19-24-1,886,359,59,0.955
192,Western Caro. ,53,19-34,"1,042",342,66,0.954
193,Sam Houston St. ,54,27-27,"1,095",582,80,0.954
194,Rider ,47,6-41,885,392,61,0.954
195,Maryland ,46,11-35,840,331,56,0.954
196,Rhode Island ,46,13-32-1,885,346,59,0.954
197,Northern Colo. ,54,20-34,"1,006",512,73,0.954
198,Murray St. ,55,32-23,"1,108",486,77,0.954
199,Chattanooga ,55,34-21,"1,086",425,73,0.954
200,UT Martin ,55,27-27-1,"1,116",534,80,0.954
201,Oakland ,39,16-23,794,314,54,0.954
202,Winthrop ,53,27-26,"1,022",414,70,0.954
203,Penn ,42,19-22-1,809,277,53,0.953
204,Louisiana Tech ,52,19-33,"1,007",406,69,0.953
205,Binghamton ,47,22-25,918,406,65,0.953
206,Northern Ill. ,57,26-31,"1,142",458,79,0.953
207,Troy ,54,22-30-2,"1,093",402,74,0.953
208,Dayton ,56,27-29,"1,129",383,75,0.953
209,Longwood ,56,40-16,"1,098",534,81,0.953
210,La.-Monroe ,52,25-27,"1,006",403,70,0.953
211,Gardner-Webb ,52,16-36,"1,045",343,69,0.953
212,Iona ,48,24-24,897,370,63,0.953
213,Weber St. ,47,22-25,932,355,64,0.953
214,Hampton ,49,29-20,932,395,66,0.953
215,Southeast Mo. St. ,45,11-34,843,396,62,0.952
216,Temple ,45,15-30,865,373,62,0.952
217,Southeastern La. ,48,19-29,898,337,62,0.952
218,Charleston So. ,61,27-33-1,"1,205",487,85,0.952
219,Hartford ,38,8-30,691,336,52,0.952
220,Texas Tech ,54,35-19,"1,065",470,78,0.952
221,UTEP ,51,17-34,958,396,69,0.952
222,Bethune-Cookman ,56,25-31,"1,122",442,80,0.951
223,George Washington ,50,18-31-1,965,357,68,0.951
224,North Florida ,49,26-23,980,477,75,0.951
225,Florida A&M ,53,24-29,"1,028",427,75,0.951
226,Memphis ,56,23-33,"1,088",345,74,0.951
227,Detroit Mercy ,49,7-42,876,410,67,0.950
228,Boise St. ,52,30-22,"1,024",492,79,0.950
229,San Jose St. ,54,30-24,"1,084",482,82,0.950
230,Austin Peay ,52,20-32,999,450,76,0.950
231,Canisius ,48,18-30,946,443,73,0.950
232,Bradley ,59,27-32,"1,140",509,87,0.950
233,Eastern Mich. ,50,13-37,989,431,75,0.950
234,UT Arlington ,54,21-33,"1,055",453,80,0.950
235,UMKC ,56,20-36,"1,108",431,82,0.949
236,A&M-Corpus Christi ,52,16-36,"1,002",497,80,0.949
237,Iowa ,47,16-30-1,917,450,73,0.949
238,ETSU ,52,20-32,999,451,78,0.949
239,UTSA ,54,24-30,"1,105",412,82,0.949
240,Virginia ,51,8-43,895,398,70,0.949
241,N.C. A&T ,44,16-28,857,362,66,0.949
242,CSU Bakersfield ,56,15-40-1,"1,117",448,85,0.948
243,Drexel ,44,17-27,840,329,64,0.948
244,Wright St. ,51,19-32,973,479,80,0.948
245,New Mexico St. ,54,31-23,"1,014",487,83,0.948
246,Savannah St. ,46,25-21,897,314,67,0.948
247,Lamar University ,50,20-30,928,406,74,0.947
248,La Salle ,42,18-24,806,413,68,0.947
249,Lafayette ,42,10-32,803,431,69,0.947
250,LMU ,47,20-27,949,445,78,0.947
251,Brown ,38,4-34,712,306,57,0.947
252,Central Ark. ,59,25-34,"1,124",372,84,0.947
253,Jackson St. ,57,28-29,"1,109",523,92,0.947
254,UMES ,47,7-40,838,367,68,0.947
255,Southern Miss. ,53,22-31,972,329,74,0.946
256,Wagner ,45,21-24,868,395,72,0.946
257,Nevada ,52,27-25,979,283,72,0.946
258,Seattle U ,52,18-34,"1,005",448,83,0.946
259,Niagara ,48,18-30,933,286,70,0.946
260,Middle Tenn. ,55,10-45,"1,086",543,94,0.945
261,South Dakota St. ,47,11-36,868,401,74,0.945
262,Saint Peter's ,52,10-42,945,397,80,0.944
263,Radford ,52,22-30,998,383,83,0.943
264,Providence ,35,6-29,653,328,59,0.943
265,Oregon St. ,49,18-31,903,427,83,0.941
266,Morgan St. ,29,8-21,511,208,45,0.941
267,Utah Valley ,60,18-42,"1,157",479,103,0.941
268,UIC ,44,16-28,857,341,76,0.940
269,Seton Hall ,49,15-34,912,375,84,0.939
270,Coppin St. ,40,13-27,718,318,69,0.938
271,Prairie View ,42,13-29,797,308,74,0.937
272,Toledo ,53,19-34,"1,028",366,94,0.937
273,Quinnipiac ,47,11-36,878,416,89,0.936
274,North Dakota ,45,6-39,747,365,77,0.935
275,Tennessee St. ,56,18-38,"1,144",466,113,0.934
276,Marshall ,59,28-31,"1,147",358,106,0.934
277,Alcorn ,47,8-39,807,321,80,0.934
278,Ark.-Pine Bluff ,46,9-37,818,290,80,0.933
279,Norfolk St. ,46,20-26,900,416,96,0.932
280,Alabama A&M ,44,11-33,818,344,85,0.932
281,Alabama St. ,42,17-25,778,393,88,0.930
282,Mississippi Val. ,49,14-35,846,335,89,0.930
283,Liberty ,57,11-46,"1,032",488,115,0.930
284,N.C. Central ,44,9-35,794,263,80,0.930
285,Colgate ,43,13-30,851,407,104,0.924
286,Southern U. ,48,11-37,832,374,103,0.921
287,South Carolina St. ,38,10-28,680,264,81,0.921
288,Grambling ,35,11-24,629,235,86,0.909
289,Howard ,41,4-37,689,400,110,0.908
