Rank,College,G,R,PG
252,Belmont ,45,158,3.51
253,Georgia Tech ,50,175,3.50
253,Brown ,34,119,3.50
255,Rider ,47,164,3.49
256,Quinnipiac ,50,174,3.48
257,East Carolina ,53,184,3.47
258,A&M-Corpus Christi ,49,170,3.47
259,Memphis ,53,182,3.43
260,Akron ,51,175,3.43
261,Houston Baptist ,45,154,3.42
262,Bowling Green ,48,163,3.40
263,Western Caro. ,53,179,3.38
264,Tennessee St. ,48,162,3.38
265,Morgan St. ,38,128,3.37
265,Grambling ,38,128,3.37
267,Holy Cross ,28,94,3.36
268,Villanova ,54,181,3.35
269,Georgetown ,47,155,3.30
270,UMES ,39,126,3.23
271,Coppin St. ,36,116,3.22
272,Pacific ,55,177,3.22
273,Florida A&M ,57,183,3.21
274,Santa Clara ,50,160,3.20
275,UNCW ,46,147,3.20
276,Columbia ,44,140,3.18
277,UConn ,53,164,3.09
278,Mount St. Mary's ,44,134,3.05
279,Yale ,34,103,3.03
280,Saint Peter's ,42,127,3.02
281,Cal Poly ,55,161,2.93
282,Wagner ,34,93,2.74
283,Rhode Island ,44,119,2.70
284,Sacred Heart ,44,106,2.41
285,Alcorn ,33,79,2.39
286,Hartford ,46,95,2.07
287,Niagara ,44,87,1.98
288,Lafayette ,41,77,1.88
289,Purdue Fort Wayne ,48,72,1.50
