Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
158,ETSU,Southern,20-22-0,8-9-0,4-4-0,8-9-0,0-0-0
159,Utah St.,Mountain West,26-25-0,6-10-0,9-8-0,11-7-0,0-0-0
160,Evansville,Missouri Valley,24-26-0,12-11-0,8-6-0,4-9-0,0-0-0
161,Central Mich.,Mid-American,24-27-1,5-12-0,10-12-0,9-3-1,0-0-0
162,Albany (NY),America East,34-18-0,16-6-0,12-9-0,6-3-0,0-0-0
163,Ill.-Chicago,Horizon,33-18-0,11-8-0,10-6-0,12-4-0,0-0-0
164,La.-Monroe,Sun Belt,24-34-0,6-21-0,8-5-0,10-8-0,0-0-0
165,Saint Louis,Atlantic 10,25-26-0,7-8-0,4-11-0,14-7-0,0-0-0
166,Monmouth,Metro Atlantic,29-21-0,14-13-0,8-4-0,7-4-0,0-0-0
167,Eastern Ill.,OVC,25-28-0,8-13-0,6-12-0,11-3-0,0-0-0
168,Presbyterian,Big South,25-28-0,9-15-0,8-6-0,8-7-0,0-0-0
169,Idaho St.,Big Sky,28-23-0,8-14-0,12-6-0,8-3-0,0-0-0
170,Ball St.,Mid-American,22-32-0,4-17-0,10-10-0,8-5-0,0-0-0
171,UConn,AAC,19-33-0,3-16-0,9-12-0,7-5-0,0-0-0
172,Omaha,Summit League,30-29-0,11-12-0,9-14-0,10-3-0,0-0-0
173,Stony Brook,America East,26-24-2,7-13-1,7-7-0,12-4-1,0-0-0
174,UT Martin,OVC,30-26-0,9-13-0,12-8-0,9-5-0,0-0-0
175,Georgia Tech,Atlantic Coast,22-33-0,6-14-0,6-3-0,10-16-0,0-0-0
176,Sacramento St.,Big Sky,28-22-0,9-12-0,6-7-0,13-3-0,0-0-0
177,Creighton,Big East,25-22-0,4-7-0,14-7-0,7-8-0,0-0-0
178,Youngstown St.,Horizon,30-21-0,15-10-0,5-7-0,10-4-0,0-0-0
179,Pacific,West Coast,20-28-0,6-6-0,6-6-0,8-16-0,0-0-0
180,Western Mich.,Mid-American,22-28-0,4-13-0,10-11-0,8-4-0,0-0-0
181,Tennessee Tech,OVC,23-33-0,5-18-0,5-8-0,13-7-0,0-0-0
182,Mercer,Southern,23-35-0,6-14-0,6-10-0,11-11-0,0-0-0
183,Maryland,Big Ten,12-40-0,1-17-0,6-12-0,5-11-0,0-0-0
184,Charleston So.,Big South,22-34-0,5-13-0,3-6-0,14-15-0,0-0-0
185,Princeton,Ivy League,23-28-0,12-12-0,2-12-0,9-4-0,0-0-0
186,St. Mary's (CA),West Coast,20-27-1,7-8-1,5-11-0,8-8-0,0-0-0
187,Montana,Big Sky,29-27-0,10-11-0,7-10-0,8-6-0,4-0-0
188,Iowa,Big Ten,13-39-0,1-20-0,7-8-0,5-11-0,0-0-0
189,Toledo,Mid-American,21-33-0,7-13-0,3-11-0,11-9-0,0-0-0
190,UMKC,Western Athletic,24-26-0,11-7-0,5-13-0,8-6-0,0-0-0
191,Western Ky.,Conference USA,17-30-0,2-10-0,4-3-0,11-17-0,0-0-0
192,Missouri St.,Missouri Valley,22-30-0,8-13-0,9-7-0,5-10-0,0-0-0
193,Providence,Big East,21-28-0,5-11-0,9-8-0,7-9-0,0-0-0
194,Robert Morris,Northeast,23-33-0,7-15-0,7-14-0,9-4-0,0-0-0
195,Southeastern La.,Southland,23-32-0,5-12-0,3-2-0,15-18-0,0-0-0
196,Delaware St.,Mid-Eastern,30-18-0,12-11-0,8-6-0,10-1-0,0-0-0
197,Sam Houston St.,Southland,21-33-0,7-14-0,2-10-0,12-9-0,0-0-0
198,Indiana St.,Missouri Valley,16-35-0,5-12-0,6-14-0,5-9-0,0-0-0
199,Penn,Ivy League,23-21-0,4-9-0,5-5-0,14-7-0,0-0-0
200,San Diego,West Coast,22-29-0,7-7-0,9-9-0,6-13-0,0-0-0
201,Bradley,Missouri Valley,18-30-0,6-14-0,4-9-0,8-7-0,0-0-0
202,Murray St.,OVC,24-31-0,7-16-0,8-6-0,9-9-0,0-0-0
203,Manhattan,Metro Atlantic,30-21-0,10-10-0,5-7-0,15-4-0,0-0-0
204,Campbell,Big South,28-31-0,7-13-0,6-6-0,15-12-0,0-0-0
205,UC Davis,Big West,15-35-0,1-14-0,1-7-0,13-14-0,0-0-0
206,Cleveland St.,Horizon,21-32-0,8-14-0,3-7-0,10-11-0,0-0-0
