Fielding_Percentage,Scoring,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings,Conf__ACC,Conf__ASUN,Conf__America East,Conf__Atlantic 10,Conf__Big 12,Conf__Big East,Conf__Big Sky,Conf__Big South,Conf__Big Ten,Conf__Big West,Conf__C-USA,Conf__CAA,Conf__Horizon,Conf__IVY,Conf__Ivy,Conf__MAAC,Conf__MAC,Conf__MEAC,Conf__MVC,Conf__MWC,Conf__NEC,Conf__OVC,Conf__Pac-12,Conf__Patriot,Conf__SEC,Conf__SWAC,Conf__SoCon,Conf__Southland,Conf__Summit,Conf__Sun Belt,Conf__WAC,Conf__WCC
0.966,6.53,20.0,2.57,0.29,1.24,0.553,0.47,0.393,0.73,1.51,0.321,2.02,13.0,6.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.967,5.09,28.0,2.29,0.21,1.08,0.48,0.55,0.374,1.19,1.37,0.296,1.42,14.0,7.906000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.967,5.14,18.0,2.79,0.19,0.57,0.419,0.19,0.384,1.83,2.28,0.281,1.57,13.0,6.872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.953,5.55,28.0,4.05,0.14,1.1,0.504,0.52,0.388,0.79,0.99,0.311,1.67,3.0,6.787999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.943,4.07,20.0,3.53,0.11,0.6,0.381,0.33,0.333,1.16,2.31,0.258,1.18,9.0,6.5120000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.979,5.41,22.0,2.8,0.08,0.9,0.458,0.24,0.402,0.9,2.33,0.302,1.16,10.0,6.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.971,6.07,66.0,2.88,0.15,0.75,0.457,0.21,0.395,1.97,2.29,0.305,1.36,12.0,6.730000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.979,5.14,33.0,2.39,0.24,0.7,0.455,0.52,0.38,1.1,2.53,0.314,1.26,14.0,7.396000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.975,4.71,22.0,2.62,0.2,0.86,0.445,0.34,0.364,0.91,1.83,0.284,1.14,6.0,7.256,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.975,5.16,32.0,2.57,0.16,0.83,0.451,0.09,0.368,1.02,2.2,0.304,1.07,20.0,7.114000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.968,4.0,34.0,3.25,0.16,0.77,0.428,0.52,0.336,0.6,1.39,0.268,1.63,9.0,6.845999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.961,4.34,18.0,2.59,0.25,0.38,0.393,0.49,0.363,0.21,2.16,0.276,1.51,10.0,6.962000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.965,4.42,31.0,3.7,0.11,0.58,0.39,0.49,0.351,0.75,1.19,0.273,0.98,7.0,6.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.964,3.47,27.0,1.88,0.18,0.29,0.363,0.22,0.339,1.16,2.24,0.26,1.4,10.0,7.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.966,4.32,9.0,2.22,0.14,0.65,0.401,0.14,0.352,2.47,2.3,0.263,1.18,8.0,8.072,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
