Rank,College,G,3B,PG
170,Towson ,54,7,0.13
174,Texas St. ,62,8,0.13
175,Siena ,47,6,0.13
176,Louisiana ,55,7,0.13
176,IUPUI ,55,7,0.13
176,Southeastern La. ,55,7,0.13
179,Pacific ,48,6,0.13
179,LIU ,56,7,0.13
179,Houston ,56,7,0.13
179,Columbia ,48,6,0.13
179,Stanford ,48,6,0.13
184,Western Caro. ,57,7,0.12
185,North Florida ,49,6,0.12
185,St. John's ,49,6,0.12
187,Monmouth ,50,6,0.12
187,Evansville ,50,6,0.12
187,Western Mich. ,50,6,0.12
187,Kansas City ,50,6,0.12
191,Coastal Carolina ,59,7,0.12
192,Purdue Fort Wayne ,51,6,0.12
193,Norfolk St. ,43,5,0.12
194,Saint Louis ,52,6,0.12
194,Utah Valley ,52,6,0.12
194,Central Mich. ,52,6,0.12
197,Georgia St. ,61,7,0.11
198,Georgetown ,44,5,0.11
199,Morehead St. ,53,6,0.11
200,Seton Hall ,54,6,0.11
200,Washington ,54,6,0.11
200,Bowling Green ,54,6,0.11
203,Tennessee St. ,55,6,0.11
204,Fairleigh Dickinson ,46,5,0.11
205,Arkansas ,56,6,0.11
205,Robert Morris ,56,6,0.11
207,Alabama A&M ,47,5,0.11
208,SFA ,57,6,0.11
208,Arizona St. ,57,6,0.11
208,Central Ark. ,57,6,0.11
211,Southern Miss. ,58,6,0.10
212,Army West Point ,59,6,0.10
212,UNC Greensboro ,59,6,0.10
214,Yale ,50,5,0.10
214,Mount St. Mary's ,50,5,0.10
214,Fairfield ,50,5,0.10
214,UNCW ,50,5,0.10
218,Eastern Mich. ,51,5,0.10
218,Virginia ,51,5,0.10
220,Brown ,41,4,0.10
221,Southern Ill. ,52,5,0.10
221,Iowa ,52,5,0.10
221,UConn ,52,5,0.10
224,Cleveland St. ,53,5,0.09
224,Boston College ,53,5,0.09
224,UTSA ,53,5,0.09
227,UTEP ,55,5,0.09
227,Northwestern ,55,5,0.09
227,North Texas ,55,5,0.09
227,Georgia Tech ,55,5,0.09
227,Houston Baptist ,44,4,0.09
232,Charleston So. ,56,5,0.09
232,UC Santa Barbara ,56,5,0.09
232,UMBC ,56,5,0.09
232,UT Martin ,56,5,0.09
236,Lafayette ,45,4,0.09
237,Rutgers ,57,5,0.09
238,Texas A&M ,59,5,0.08
238,Campbell ,59,5,0.08
240,Rider ,50,4,0.08
241,Northwestern St. ,52,4,0.08
241,Valparaiso ,52,4,0.08
243,North Dakota ,54,4,0.07
243,Hawaii ,54,4,0.07
243,Drake ,54,4,0.07
246,Iowa St. ,55,4,0.07
247,NC State ,56,4,0.07
247,ETSU ,42,3,0.07
247,Nebraska ,56,4,0.07
250,Saint Peter's ,43,3,0.07
251,Missouri ,58,4,0.07
251,Jacksonville ,58,4,0.07
253,Kent St. ,59,4,0.07
254,La Salle ,45,3,0.07
255,Austin Peay ,47,3,0.06
256,Dayton ,49,3,0.06
257,Princeton ,51,3,0.06
258,Stony Brook ,52,3,0.06
259,Illinois St. ,53,3,0.06
260,Long Beach St. ,55,3,0.05
261,Appalachian St. ,56,3,0.05
261,Tennessee Tech ,56,3,0.05
263,UNI ,57,3,0.05
263,Prairie View ,38,2,0.05
263,Wichita St. ,57,3,0.05
263,Virginia Tech ,57,3,0.05
267,Colgate ,41,2,0.05
268,Iona ,46,2,0.04
269,Western Ky. ,47,2,0.04
270,Bryant ,48,2,0.04
271,N.C. Central ,49,2,0.04
271,Portland St. ,49,2,0.04
271,Sacred Heart ,49,2,0.04
271,Wagner ,49,2,0.04
275,Hartford ,51,2,0.04
276,LMU ,53,2,0.04
276,Presbyterian ,53,2,0.04
276,South Dakota ,53,2,0.04
279,Indiana ,54,2,0.04
280,Drexel ,55,2,0.04
281,Memphis ,57,2,0.04
282,Chattanooga ,59,2,0.03
283,Ohio ,60,2,0.03
283,South Carolina St. ,30,1,0.03
285,Cornell ,41,1,0.02
286,A&M-Corpus Christi ,48,1,0.02
286,Niagara ,48,1,0.02
288,Kansas ,51,1,0.02
289,Saint Joseph's ,52,1,0.02
289,Pittsburgh ,52,1,0.02
