Rank,College,W,L,T,PCT
156,Canisius ,22,25,0,0.468
157,UIC ,21,24,0,0.467
158,Northern Ill. ,27,31,0,0.466
159,Columbia ,22,26,0,0.458
159,Nicholls St. ,22,26,0,0.458
161,Manhattan ,21,25,0,0.457
162,Georgia Tech ,25,30,0,0.455
162,Mississippi Val. ,25,30,0,0.455
162,Saint Francis ,25,30,0,0.455
165,San Diego ,24,29,0,0.453
165,Mercer ,24,29,0,0.453
167,Prairie View ,19,23,0,0.452
168,Providence ,23,28,1,0.452
169,Akron ,23,28,0,0.451
170,Illinois ,22,27,0,0.449
170,Cleveland St. ,22,27,0,0.449
172,Boston U. ,21,26,1,0.448
173,Siena ,21,26,0,0.447
174,CSUN ,25,31,0,0.446
174,Ole Miss ,25,31,0,0.446
174,Portland St. ,25,31,0,0.446
177,Utah ,24,30,1,0.445
178,Sacred Heart ,24,30,0,0.444
179,Bradley ,23,29,0,0.442
179,Syracuse ,23,29,0,0.442
181,Tennessee Tech ,22,28,0,0.440
182,Evansville ,23,30,0,0.434
183,Virginia ,21,28,0,0.429
184,Missouri St. ,22,30,0,0.423
185,Cornell ,21,29,0,0.420
186,Massachusetts ,18,25,0,0.419
186,Coppin St. ,18,25,0,0.419
188,Purdue ,23,32,0,0.418
189,Presbyterian ,22,31,0,0.415
190,Youngstown St. ,19,27,0,0.413
191,Seton Hall ,21,30,0,0.412
191,Bucknell ,21,30,0,0.412
193,Austin Peay ,18,26,0,0.409
194,Lamar University ,24,35,0,0.407
195,Houston Baptist ,17,25,0,0.405
196,East Carolina ,21,31,0,0.404
196,Elon ,21,31,0,0.404
196,UNLV ,21,31,0,0.404
196,Villanova ,21,31,0,0.404
200,Memphis ,24,36,0,0.400
200,UMKC ,18,27,0,0.400
202,Troy ,21,32,0,0.396
203,Pittsburgh ,19,29,0,0.396
204,Saint Mary's ,20,31,0,0.392
205,Georgetown ,21,33,0,0.389
206,Florida A&M ,20,32,0,0.385
207,Iowa St. ,21,34,0,0.382
207,Hartford ,21,34,0,0.382
209,Green Bay ,14,23,0,0.378
209,Western Ill. ,14,23,0,0.378
211,Seattle U ,20,33,0,0.377
212,New Mexico ,21,35,0,0.375
213,South Carolina St. ,16,27,0,0.372
214,Delaware St. ,20,34,0,0.370
214,Miami ,20,34,0,0.370
216,IUPUI ,18,31,0,0.367
217,Wichita St. ,19,33,0,0.365
218,UC Riverside ,20,35,0,0.364
219,Cal Poly ,19,34,1,0.361
220,Western Caro. ,20,36,0,0.357
220,Radford ,20,36,0,0.357
222,Indiana ,19,35,0,0.352
222,La.-Monroe ,19,35,0,0.352
224,Northern Colo. ,16,30,1,0.351
225,Liberty ,20,37,0,0.351
226,Niagara ,16,30,0,0.348
226,South Dakota St. ,16,30,0,0.348
226,Mount St. Mary's ,16,30,0,0.348
229,Southern Utah ,18,34,0,0.346
230,Eastern Mich. ,17,33,1,0.343
231,La Salle ,16,31,0,0.340
232,Belmont ,17,33,0,0.340
233,Bethune-Cookman ,18,35,0,0.340
234,Wright St. ,19,37,0,0.339
235,LIU ,19,38,0,0.333
235,SFA ,16,32,0,0.333
235,Buffalo ,16,32,0,0.333
235,Colgate ,16,32,0,0.333
235,Ark.-Pine Bluff ,14,28,0,0.333
240,St. John's ,17,35,1,0.330
241,George Mason ,18,37,0,0.327
242,Quinnipiac ,17,35,0,0.327
242,Samford ,17,35,0,0.327
244,Western Mich. ,16,33,0,0.327
245,Texas St. ,18,38,0,0.321
246,Toledo ,17,36,0,0.321
247,Penn St. ,16,34,0,0.320
247,Indiana St. ,16,34,0,0.320
249,CSU Bakersfield ,15,34,0,0.306
250,UNCW ,16,37,0,0.302
251,Alabama St. ,14,33,0,0.298
251,UMES ,14,33,0,0.298
253,Gardner-Webb ,13,31,0,0.295
253,Holy Cross ,13,31,0,0.295
255,Southeast Mo. St. ,14,34,0,0.292
256,Alabama A&M ,11,27,0,0.289
257,Tennessee St. ,14,35,0,0.286
258,Drexel ,14,36,0,0.280
259,ETSU ,13,34,0,0.277
260,Charleston So. ,15,40,0,0.273
261,UTEP ,13,35,0,0.271
262,Boston College ,14,38,0,0.269
263,Brown ,10,28,0,0.263
264,Iona ,13,37,0,0.260
265,Southern Miss. ,14,41,0,0.255
266,North Dakota ,10,30,0,0.250
267,Wagner ,12,37,0,0.245
268,Grambling ,11,34,0,0.244
269,Oakland ,7,23,1,0.242
270,A&M-Corpus Christi ,11,39,0,0.220
271,Rhode Island ,10,37,0,0.213
271,Yale ,10,37,0,0.213
273,UMBC ,11,41,0,0.212
274,Weber St. ,10,38,0,0.208
275,Lafayette ,11,42,0,0.208
276,N.C. A&T ,9,35,0,0.205
277,Utah St. ,11,43,0,0.204
278,Alcorn ,8,33,0,0.195
279,St. Bonaventure ,10,42,0,0.192
280,Morgan St. ,8,35,0,0.186
281,Maine ,8,39,0,0.170
282,Saint Peter's ,9,45,0,0.167
283,Rider ,8,41,0,0.163
284,Santa Clara ,8,46,0,0.148
285,Middle Tenn. ,7,47,0,0.130
286,Southern U. ,5,43,0,0.104
287,N.C. Central ,5,44,0,0.102
288,Detroit Mercy ,5,45,0,0.100
289,Howard ,3,33,0,0.083
