Rank,College,G,R,PG
85,NC State ,56,281,5.02
86,Wisconsin ,53,265,5.00
86,Delaware ,51,255,5.00
88,BYU ,57,283,4.96
88,Western Caro. ,57,283,4.96
90,Dartmouth ,42,208,4.95
91,Mississippi Val. ,44,217,4.93
92,Drake ,54,266,4.93
93,San Diego St. ,52,256,4.92
94,South Alabama ,51,250,4.90
95,FIU ,56,274,4.89
96,UNLV ,55,269,4.89
97,Campbell ,59,286,4.85
98,Lehigh ,52,251,4.83
99,Michigan St. ,55,265,4.82
100,Longwood ,60,289,4.82
101,St. John's ,49,236,4.82
102,Boise St. ,52,249,4.79
103,Furman ,61,292,4.79
103,Georgia St. ,61,292,4.79
105,Ark.-Pine Bluff ,51,243,4.76
106,Army West Point ,59,281,4.76
107,Eastern Ky. ,54,257,4.76
108,Elon ,51,242,4.75
109,UT Arlington ,49,232,4.73
110,DePaul ,52,246,4.73
111,South Dakota St. ,57,269,4.72
112,New Mexico ,50,235,4.70
113,Bradley ,48,225,4.69
114,Kentucky ,59,276,4.68
115,Hampton ,48,224,4.67
115,Jackson St. ,36,168,4.67
117,Mercer ,58,270,4.66
118,Stony Brook ,52,241,4.63
118,Southern Ill. ,52,241,4.63
120,Long Beach St. ,55,254,4.62
121,Northwestern St. ,52,240,4.62
122,Siena ,47,216,4.60
123,Chattanooga ,59,270,4.58
124,Seton Hall ,54,247,4.57
125,Cleveland St. ,53,242,4.57
126,Saint Louis ,52,237,4.56
127,South Carolina ,61,278,4.56
128,Florida A&M ,57,259,4.54
129,Kent St. ,59,268,4.54
130,Sacramento St. ,50,227,4.54
131,UTEP ,55,249,4.53
132,Boston U. ,52,235,4.52
133,Nicholls St. ,56,253,4.52
133,Marshall ,56,253,4.52
135,Charlotte ,55,247,4.49
136,UIC ,51,229,4.49
137,Providence ,49,219,4.47
138,Georgetown ,44,195,4.43
139,Prairie View ,38,168,4.42
140,Texas Tech ,55,243,4.42
141,California ,58,255,4.40
142,UC Santa Barbara ,56,246,4.39
143,San Diego ,51,224,4.39
144,Middle Tenn. ,54,237,4.39
145,Wright St. ,60,263,4.38
146,Boston College ,53,232,4.38
147,Memphis ,57,249,4.37
148,Indiana ,54,235,4.35
149,Ole Miss ,63,274,4.35
150,Houston ,56,242,4.32
151,Virginia ,51,218,4.27
152,Ga. Southern ,57,242,4.25
153,Iowa St. ,55,233,4.24
154,Liberty ,59,249,4.22
155,UC Riverside ,55,232,4.22
156,CSUN ,56,236,4.21
157,Radford ,61,257,4.21
158,Bucknell ,50,210,4.20
159,Virginia Tech ,57,239,4.19
160,Alabama A&M ,47,197,4.19
161,Butler ,52,216,4.15
162,Syracuse ,53,220,4.15
163,Sam Houston St. ,54,224,4.15
164,Texas St. ,62,257,4.15
165,N.C. A&T ,49,203,4.14
166,Col. of Charleston ,58,240,4.14
167,Buffalo ,54,223,4.13
168,UT Martin ,56,231,4.13
168,Appalachian St. ,56,231,4.13
170,Stanford ,48,196,4.08
171,Central Ark. ,57,232,4.07
172,FGCU ,59,240,4.07
173,Penn ,44,178,4.05
174,Green Bay ,54,218,4.04
175,Southeastern La. ,55,222,4.04
176,Charleston So. ,56,226,4.04
177,Creighton ,47,189,4.02
178,Princeton ,51,205,4.02
179,George Washington ,52,209,4.02
180,Mount St. Mary's ,50,200,4.00
180,Cornell ,41,164,4.00
182,Saint Joseph's ,52,207,3.98
183,Eastern Mich. ,51,203,3.98
184,ETSU ,42,167,3.98
185,Bethune-Cookman ,53,210,3.96
186,Indiana St. ,51,202,3.96
187,SFA ,57,225,3.95
188,North Texas ,55,217,3.95
189,Southern Miss. ,58,228,3.93
189,La.-Monroe ,58,228,3.93
189,Jacksonville ,58,228,3.93
192,Northern Colo. ,42,165,3.93
193,Arkansas ,56,219,3.91
194,Lipscomb ,55,215,3.91
195,LIU ,56,218,3.89
196,Brown ,41,159,3.88
197,UMBC ,56,217,3.88
198,Rutgers ,57,220,3.86
199,Utah Valley ,52,200,3.85
199,Southern Utah ,52,200,3.85
201,Southeast Mo. St. ,49,188,3.84
202,Morehead St. ,53,203,3.83
203,Wagner ,49,187,3.82
204,Iowa ,52,198,3.81
205,Coppin St. ,36,137,3.81
206,Loyola Chicago ,49,185,3.78
207,George Mason ,47,177,3.77
208,Alcorn ,46,173,3.76
209,Massachusetts ,50,188,3.76
210,Missouri St. ,52,195,3.75
211,Bowling Green ,54,202,3.74
212,South Dakota ,53,198,3.74
213,UCF ,60,224,3.73
214,Howard ,41,153,3.73
215,Pacific ,48,179,3.73
216,Ball St. ,54,201,3.72
217,La Salle ,45,167,3.71
218,Canisius ,55,204,3.71
218,Drexel ,55,204,3.71
220,Belmont ,54,200,3.70
221,St. Bonaventure ,47,174,3.70
222,Illinois St. ,53,196,3.70
223,Portland St. ,49,181,3.69
224,Central Conn. St. ,45,166,3.69
225,UMES ,41,151,3.68
226,Gardner-Webb ,54,198,3.67
227,IUPUI ,55,201,3.65
228,Purdue ,55,200,3.64
229,North Florida ,49,178,3.63
230,Eastern Ill. ,53,192,3.62
231,UConn ,52,188,3.62
232,Mississippi St. ,57,206,3.61
233,Stetson ,54,195,3.61
234,Morgan St. ,41,148,3.61
235,Central Mich. ,52,187,3.60
236,Tennessee Tech ,56,201,3.59
237,Iona ,46,164,3.57
238,Presbyterian ,53,188,3.55
239,Evansville ,50,176,3.52
240,Murray St. ,55,193,3.51
241,Akron ,56,196,3.50
241,Valparaiso ,52,182,3.50
243,Maryland ,52,181,3.48
244,UNCW ,50,174,3.48
245,Winthrop ,58,201,3.47
246,Ohio ,60,207,3.45
247,North Dakota ,54,186,3.44
248,UAB ,59,203,3.44
249,Purdue Fort Wayne ,51,174,3.41
250,Western Mich. ,50,170,3.40
251,Houston Baptist ,44,149,3.39
252,Western Ky. ,47,157,3.34
253,SIUE ,54,180,3.33
253,Western Ill. ,48,160,3.33
255,Columbia ,48,158,3.29
256,UTSA ,53,174,3.28
257,Kennesaw St. ,58,189,3.26
258,Fairleigh Dickinson ,46,149,3.24
259,Austin Peay ,47,152,3.23
260,Rhode Island ,44,142,3.23
261,East Carolina ,54,174,3.22
262,Toledo ,54,173,3.20
263,Robert Morris ,56,176,3.14
263,Detroit Mercy ,56,176,3.14
265,Cal Poly ,50,156,3.12
266,Seattle U ,52,160,3.08
267,Hawaii ,54,164,3.04
268,Saint Mary's ,48,145,3.02
269,Oakland ,44,131,2.98
270,Quinnipiac ,57,169,2.96
271,UC Davis ,50,148,2.96
271,Rider ,50,148,2.96
273,Georgia Tech ,55,162,2.95
274,Lafayette ,45,127,2.82
275,Tennessee St. ,55,155,2.82
276,N.C. Central ,49,137,2.80
277,Grambling ,37,103,2.78
278,CSU Bakersfield ,50,138,2.76
279,Holy Cross ,44,117,2.66
280,Yale ,50,132,2.64
281,Dayton ,49,129,2.63
282,Santa Clara ,51,134,2.63
283,Niagara ,48,126,2.63
284,Sacred Heart ,49,125,2.55
285,Colgate ,41,99,2.41
286,Bryant ,48,113,2.35
287,South Carolina St. ,30,67,2.23
288,A&M-Corpus Christi ,48,107,2.23
289,Hartford ,51,101,1.98
290,Saint Peter's ,43,84,1.95
