Rank,College,G,SB,CS,PG
158,Brown ,39,33,8,0.85
159,Baylor ,49,41,12,0.84
160,Tennessee St. ,42,35,9,0.83
160,Alabama A&M ,42,35,9,0.83
162,Providence ,52,43,7,0.83
163,Seton Hall ,48,39,10,0.81
164,Texas Southern ,52,42,12,0.81
165,Rhode Island ,46,37,13,0.80
166,Maryland ,51,41,11,0.80
167,Washington ,61,49,17,0.80
168,Ball St. ,54,43,11,0.80
169,Illinois ,58,46,16,0.79
170,South Dakota St. ,56,44,10,0.79
170,Appalachian St. ,56,44,11,0.79
172,Jacksonville ,50,39,24,0.78
172,Quinnipiac ,50,39,11,0.78
174,Stanford ,53,41,8,0.77
175,Weber St. ,48,37,11,0.77
176,Drexel ,60,46,5,0.77
176,Northwestern ,60,46,16,0.77
178,SFA ,59,45,7,0.76
179,Tennessee Tech ,45,34,12,0.76
180,Tulsa ,57,43,9,0.75
181,Texas A&M ,55,41,4,0.75
181,Winthrop ,55,41,6,0.75
183,LIU Brooklyn ,54,40,9,0.74
183,Samford ,54,40,9,0.74
185,South Carolina ,57,42,5,0.74
186,Saint Peter's ,56,41,10,0.73
187,Colorado St. ,51,37,1,0.73
188,Mississippi St. ,58,42,5,0.72
189,CSU Bakersfield ,47,34,10,0.72
190,Manhattan ,50,36,4,0.72
191,Troy ,57,41,7,0.72
192,BYU ,56,40,8,0.71
193,Northern Ky. ,55,39,4,0.71
194,Oakland ,51,36,10,0.71
195,Pittsburgh ,54,38,11,0.70
196,Penn St. ,56,39,14,0.70
197,Saint Mary's ,51,35,9,0.69
198,Minnesota ,60,41,9,0.68
199,Utah Valley ,46,31,11,0.67
200,Toledo ,57,38,12,0.67
201,North Dakota ,56,37,12,0.66
201,Nicholls St. ,56,37,12,0.66
203,Creighton ,44,29,11,0.66
204,Purdue Fort Wayne ,49,32,11,0.65
205,Grand Canyon ,57,37,6,0.65
206,Central Mich. ,51,33,13,0.65
206,Furman ,51,33,11,0.65
208,UAB ,50,32,6,0.64
209,Coastal Caro. ,60,38,10,0.63
210,Utah ,54,34,12,0.63
211,George Mason ,48,30,8,0.63
212,UC Riverside ,53,33,7,0.62
213,Charleston So. ,55,34,9,0.62
214,DePaul ,51,31,8,0.61
215,Wichita St. ,56,34,6,0.61
216,James Madison ,61,37,13,0.61
217,Northern Colo. ,53,32,16,0.60
218,Fordham ,55,33,11,0.60
218,UConn ,50,30,8,0.60
218,Southern Utah ,40,24,10,0.60
218,N.C. A&T ,40,24,13,0.60
222,Iowa St. ,62,37,5,0.60
223,UTSA ,52,31,1,0.60
224,CSUN ,54,32,13,0.59
225,South Dakota ,61,36,18,0.59
226,Columbia ,45,26,11,0.58
227,Georgia St. ,54,31,8,0.57
228,Stony Brook ,51,29,11,0.57
228,Hartford ,51,29,4,0.57
230,Saint Francis ,60,34,10,0.57
231,Massachusetts ,48,27,14,0.56
232,Maine ,41,23,7,0.56
232,Green Bay ,41,23,3,0.56
234,Boston U. ,57,31,10,0.54
235,UMass Lowell ,48,26,4,0.54
236,LMU ,61,33,12,0.54
237,Valparaiso ,47,25,10,0.53
238,Western Ill. ,40,21,4,0.53
239,Belmont ,54,28,9,0.52
239,Chattanooga ,54,28,7,0.52
241,Siena ,47,24,11,0.51
242,Hawaii ,49,25,6,0.51
242,Pacific ,49,25,6,0.51
244,Portland St. ,51,26,9,0.51
245,Purdue ,63,32,11,0.51
246,Ark.-Pine Bluff ,38,19,7,0.50
246,Long Beach St. ,50,25,8,0.50
246,IUPUI ,56,28,11,0.50
249,Sacred Heart ,55,27,1,0.49
250,Bradley ,50,24,4,0.48
251,Florida ,67,32,2,0.48
252,Fairleigh Dickinson ,49,23,18,0.47
253,La Salle ,45,21,4,0.47
254,Mississippi Val. ,39,18,4,0.46
255,Georgia Tech ,58,26,7,0.45
256,Virginia ,53,23,8,0.43
257,Illinois St. ,51,22,7,0.43
258,Lafayette ,49,21,11,0.43
259,Saint Louis ,52,22,11,0.42
260,South Carolina St. ,36,15,4,0.42
261,Coppin St. ,41,17,15,0.41
262,Robert Morris ,51,21,6,0.41
262,Miami ,51,21,5,0.41
264,Col. of Charleston ,56,23,8,0.41
265,Omaha ,47,19,6,0.40
266,Youngstown St. ,54,20,7,0.37
266,Elon ,54,20,3,0.37
268,San Diego ,49,18,8,0.37
268,Cleveland St. ,49,18,3,0.37
270,Niagara ,50,18,3,0.36
270,UTEP ,50,18,7,0.36
272,Nevada ,56,20,9,0.36
273,UIW ,48,17,6,0.35
274,Holy Cross ,49,17,13,0.35
275,Colgate ,52,18,9,0.35
276,Kent St. ,54,18,5,0.33
277,UC Santa Barbara ,52,17,8,0.33
278,Western Mich. ,46,15,2,0.33
279,Cal Poly ,51,16,6,0.31
280,South Alabama ,49,15,6,0.31
281,UNC Greensboro ,56,17,3,0.30
282,Kansas ,51,15,4,0.29
283,Ga. Southern ,51,14,6,0.27
284,Montana ,56,15,6,0.27
285,Western Caro. ,53,14,7,0.26
286,Iona ,46,11,1,0.24
287,Arizona ,62,14,6,0.23
288,Arkansas ,58,13,2,0.22
289,Rider ,54,12,4,0.22
290,Cornell ,46,10,1,0.22
291,Utah St. ,47,10,4,0.21
292,San Jose St. ,53,11,4,0.21
293,New Mexico ,53,10,3,0.19
294,Charlotte ,50,9,4,0.18
295,Houston Baptist ,46,8,3,0.17
