Rank,College,G,AB,TB,SLG PCT
260,Northern Colo. ,53,"1,335",436,0.327
261,Mississippi Val. ,39,996,325,0.326
262,Northern Ky. ,55,"1,522",496,0.326
263,Valparaiso ,47,"1,139",370,0.325
264,Delaware St. ,42,"1,067",346,0.324
265,Presbyterian ,53,"1,385",444,0.321
266,La.-Monroe ,56,"1,408",449,0.319
267,FIU ,51,"1,266",403,0.318
268,Purdue Fort Wayne ,49,"1,243",390,0.314
269,Omaha ,47,"1,157",360,0.311
270,Quinnipiac ,50,"1,273",395,0.310
271,George Mason ,48,"1,268",390,0.308
272,UC Santa Barbara ,52,"1,388",424,0.305
273,UMES ,39,891,272,0.305
274,Iowa ,51,"1,240",377,0.304
275,Bryant ,45,"1,147",347,0.303
276,Georgia St. ,54,"1,370",414,0.302
277,N.C. A&T ,40,984,297,0.302
278,Stetson ,47,"1,217",360,0.296
279,A&M-Corpus Christi ,51,"1,230",363,0.295
280,Cal Poly ,51,"1,288",379,0.294
281,Rider ,54,"1,343",395,0.294
282,Morehead St. ,45,"1,001",293,0.293
283,Bethune-Cookman ,57,"1,386",405,0.292
284,Lamar University ,57,"1,437",413,0.287
285,Saint Peter's ,56,"1,346",385,0.286
286,Holy Cross ,49,"1,280",365,0.285
287,UIW ,48,"1,199",341,0.284
288,Coppin St. ,41,958,268,0.280
289,Saint Mary's ,51,"1,265",350,0.277
290,Lafayette ,49,"1,217",333,0.274
291,Fairleigh Dickinson ,49,"1,247",339,0.272
292,Jackson St. ,47,"1,112",302,0.272
293,Southern U. ,35,858,231,0.269
294,Ark.-Pine Bluff ,38,866,229,0.264
295,South Carolina St. ,36,748,181,0.242
