Rank,College,G,SB,CS,PG
208,Ohio St. ,52,32,5,0.62
209,Stony Brook ,47,28,6,0.60
210,Coastal Caro. ,54,32,8,0.59
211,Massachusetts ,49,29,5,0.59
212,UNLV ,53,31,8,0.58
213,Wichita St. ,55,32,6,0.58
214,James Madison ,57,33,15,0.58
215,Kansas ,52,30,4,0.58
216,Nevada ,54,31,4,0.57
217,Hartford ,42,24,6,0.57
218,Florida ,67,38,10,0.57
219,Saint Louis ,57,32,7,0.56
220,Eastern Mich. ,50,28,8,0.56
221,UAB ,59,33,21,0.56
222,Mississippi Val. ,45,25,7,0.56
223,LIU Brooklyn ,51,28,8,0.55
223,UC Davis ,51,28,6,0.55
225,UC Riverside ,62,34,11,0.55
226,New Mexico ,53,29,10,0.55
227,Siena ,44,24,5,0.55
228,Southern Utah ,47,25,15,0.53
229,Arizona ,59,31,4,0.53
230,La Salle ,46,24,13,0.52
231,UTSA ,50,26,7,0.52
232,UTEP ,54,28,4,0.52
233,Evansville ,49,25,11,0.51
234,Rider ,50,25,4,0.50
234,Coppin St. ,40,20,8,0.50
234,South Alabama ,56,28,10,0.50
237,Oklahoma St. ,61,30,9,0.49
238,Montana ,55,27,11,0.49
238,South Dakota ,55,27,12,0.49
240,Creighton ,43,21,4,0.49
241,Presbyterian ,46,22,3,0.48
242,Arizona St. ,61,29,9,0.48
243,Maryland ,55,26,10,0.47
244,Tennessee Tech ,49,23,7,0.47
245,Buffalo ,47,22,9,0.47
246,Charlotte ,50,23,7,0.46
246,Oakland ,50,23,7,0.46
248,Northern Ky. ,46,21,4,0.46
249,Long Beach St. ,57,26,6,0.46
250,Hofstra ,55,25,8,0.45
251,Dartmouth ,40,18,5,0.45
252,Pacific ,47,21,5,0.45
252,Maine ,47,21,13,0.45
254,UC Santa Barbara ,54,24,6,0.44
255,Wagner ,43,19,6,0.44
256,South Dakota St. ,55,24,8,0.44
257,Virginia ,53,23,6,0.43
258,Drexel ,52,22,11,0.42
259,Fairleigh Dickinson ,43,18,3,0.42
260,UConn ,55,23,9,0.42
261,Robert Morris ,46,19,6,0.41
262,Quinnipiac ,51,21,8,0.41
263,Niagara ,49,20,5,0.41
264,Western Mich. ,54,22,1,0.41
265,Loyola Marymount ,59,24,13,0.41
266,Utah ,50,20,12,0.40
267,Ga. Southern ,53,21,7,0.40
268,Green Bay ,46,18,13,0.39
269,San Jose St. ,49,19,6,0.39
270,Brown ,39,15,6,0.38
271,Loyola Chicago ,50,19,8,0.38
272,Colgate ,43,16,6,0.37
273,Illinois St. ,54,20,7,0.37
274,Incarnate Word ,49,18,2,0.37
275,Elon ,52,19,4,0.37
276,SFA ,55,20,6,0.36
277,Houston ,59,21,6,0.36
278,N.C. A&T ,44,15,7,0.34
279,Bradley ,50,17,5,0.34
280,Arkansas ,59,20,2,0.34
281,Kent St. ,52,17,4,0.33
281,Western Caro. ,52,17,3,0.33
283,Purdue ,56,18,10,0.32
284,Cal Poly ,50,16,8,0.32
284,Hawaii ,50,16,8,0.32
286,Western Ill. ,48,15,5,0.31
287,Penn St. ,50,15,7,0.30
288,UMass Lowell ,49,14,4,0.29
289,UNC Greensboro ,59,16,3,0.27
290,Iona ,46,12,2,0.26
291,Chattanooga ,56,14,5,0.25
292,Holy Cross ,45,10,6,0.22
293,Sacred Heart ,56,10,5,0.18
294,Georgia Tech ,54,8,5,0.15
295,Houston Baptist ,43,3,0,0.07
296,Cornell ,40,1,3,0.03
