Rank,College,G,AB,H,BB,HBP,SF,SH,PCT
127,Fairfield ,50,"1,357",394,115,25,7,51,0.355
128,Santa Clara ,50,"1,274",343,140,33,7,56,0.355
129,Tulsa ,57,"1,521",411,168,38,12,13,0.355
130,Saint Louis ,52,"1,386",408,107,26,9,25,0.354
131,Seton Hall ,48,"1,264",350,136,21,11,7,0.354
132,LMU ,61,"1,592",436,170,35,14,49,0.354
133,UAB ,50,"1,361",395,99,42,13,11,0.354
134,Binghamton ,48,"1,244",341,133,25,9,11,0.354
135,Kennesaw St. ,55,"1,445",391,164,25,7,37,0.353
136,UMKC ,56,"1,521",426,150,26,7,15,0.353
137,Winthrop ,55,"1,456",383,154,58,17,24,0.353
138,UC Davis ,53,"1,375",382,149,18,15,32,0.353
139,Towson ,54,"1,435",392,164,21,17,18,0.352
140,BYU ,56,"1,470",409,143,33,14,33,0.352
141,Howard ,48,"1,300",376,105,23,3,25,0.352
142,Indiana ,57,"1,408",370,162,36,8,44,0.352
143,Texas A&M ,55,"1,390",380,148,33,26,31,0.351
144,Princeton ,41,992,273,98,23,9,32,0.351
145,Buffalo ,43,"1,107",267,160,30,5,11,0.351
146,Hawaii ,49,"1,228",322,136,37,10,16,0.351
147,Liberty ,62,"1,587",438,152,37,12,31,0.351
148,California ,55,"1,515",432,121,38,12,26,0.351
149,Bowling Green ,51,"1,368",362,156,29,8,33,0.350
150,Maryland ,51,"1,333",384,121,12,10,28,0.350
151,Northwestern St. ,57,"1,475",385,171,39,14,38,0.350
152,Central Conn. St. ,41,"1,145",313,122,17,10,20,0.349
153,Radford ,59,"1,612",455,143,26,10,24,0.348
154,Ga. Southern ,51,"1,335",349,150,33,9,13,0.348
155,Abilene Christian ,44,"1,141",300,121,33,11,32,0.348
156,Marist ,57,"1,527",410,148,42,9,32,0.348
157,SFA ,59,"1,600",438,130,54,6,72,0.347
158,UMass Lowell ,48,"1,310",351,144,24,16,13,0.347
159,UNCW ,54,"1,359",331,163,63,19,10,0.347
160,Wright St. ,55,"1,459",385,170,24,15,13,0.347
161,Illinois St. ,51,"1,301",335,152,30,7,35,0.347
162,Lehigh ,55,"1,496",433,124,11,6,24,0.347
163,South Dakota ,61,"1,653",473,143,20,17,20,0.347
164,Wagner ,44,"1,127",314,103,20,10,24,0.347
165,Dartmouth ,40,"1,064",303,77,26,4,21,0.347
166,Boston U. ,57,"1,478",399,137,42,13,30,0.346
167,ETSU ,51,"1,359",357,163,15,9,18,0.346
168,Coastal Caro. ,60,"1,482",365,189,39,8,19,0.345
169,Norfolk St. ,45,"1,206",326,114,29,10,17,0.345
170,Florida A&M ,53,"1,390",375,130,32,9,35,0.344
171,Murray St. ,53,"1,398",373,150,19,10,32,0.344
172,Delaware ,51,"1,336",349,136,36,9,21,0.343
173,Sacred Heart ,55,"1,494",411,144,16,10,43,0.343
174,North Florida ,54,"1,406",392,107,35,9,29,0.343
175,SIUE ,44,"1,179",320,100,33,11,21,0.342
176,Yale ,43,"1,146",322,102,9,8,26,0.342
177,Kent St. ,54,"1,418",397,100,36,6,29,0.342
178,Alabama A&M ,42,"1,145",311,102,23,7,31,0.341
179,East Carolina ,54,"1,404",350,160,41,9,22,0.341
180,Rutgers ,55,"1,371",345,144,46,7,37,0.341
181,Fla. Atlantic ,50,"1,277",332,147,17,13,24,0.341
182,Albany ,43,"1,187",319,118,16,8,14,0.341
183,Rhode Island ,46,"1,181",307,139,8,4,18,0.341
184,Indiana St. ,54,"1,487",414,127,19,12,24,0.340
185,Siena ,47,"1,219",323,112,33,11,29,0.340
186,Middle Tenn. ,59,"1,551",409,161,23,8,58,0.340
187,Army West Point ,56,"1,483",395,143,30,14,35,0.340
188,Penn St. ,56,"1,401",366,141,31,9,37,0.340
189,Savannah St. ,36,916,227,101,30,6,31,0.340
190,UTSA ,52,"1,308",303,189,29,8,6,0.340
191,Colgate ,52,"1,366",366,112,37,5,22,0.339
192,UCF ,55,"1,407",366,146,27,11,45,0.339
193,UT Martin ,56,"1,389",374,119,34,15,49,0.338
194,Longwood ,59,"1,555",420,141,25,14,25,0.338
195,IUPUI ,56,"1,488",383,151,35,11,26,0.338
196,NC State ,58,"1,426",328,189,45,5,18,0.338
197,Pittsburgh ,54,"1,362",332,163,33,7,28,0.337
198,Miami ,51,"1,386",381,109,27,11,35,0.337
199,UMBC ,54,"1,417",392,103,30,9,25,0.337
200,Southern Utah ,40,"1,066",293,70,31,4,38,0.336
201,Iowa St. ,62,"1,657",444,142,34,12,40,0.336
202,Hampton ,48,"1,139",297,112,21,8,31,0.336
203,Grand Canyon ,57,"1,492",419,98,36,22,34,0.336
204,Texas Southern ,52,"1,333",356,129,14,12,34,0.335
205,Saint Joseph's ,53,"1,412",378,131,20,17,14,0.335
206,Boston College ,53,"1,324",329,150,26,9,37,0.335
207,FIU ,51,"1,266",295,169,26,4,19,0.334
208,Georgetown ,49,"1,194",296,137,25,14,37,0.334
209,New Mexico ,53,"1,281",296,179,20,7,5,0.333
210,Nicholls St. ,56,"1,436",384,122,27,17,48,0.333
211,Monmouth ,54,"1,415",386,113,22,16,9,0.333
212,Oregon St. ,45,"1,165",300,109,26,8,13,0.333
213,Samford ,54,"1,424",368,135,28,11,38,0.332
214,Bethune-Cookman ,57,"1,386",333,151,44,9,35,0.332
215,CSUN ,54,"1,382",355,127,32,9,30,0.332
216,Virginia ,53,"1,344",361,119,16,18,7,0.331
217,Dayton ,51,"1,341",376,88,20,13,39,0.331
218,Central Mich. ,51,"1,286",326,124,27,7,34,0.330
219,Western Mich. ,46,"1,278",352,88,19,5,42,0.330
220,N.C. Central ,49,"1,247",328,100,28,9,16,0.329
221,North Dakota ,56,"1,517",380,146,38,11,17,0.329
222,Akron ,46,"1,150",312,81,24,12,37,0.329
223,Evansville ,49,"1,215",279,167,15,7,18,0.328
224,UConn ,50,"1,328",342,127,17,9,16,0.328
225,Cornell ,46,"1,139",291,102,24,10,15,0.327
226,Furman ,51,"1,303",318,134,30,8,11,0.327
227,Eastern Ill. ,55,"1,480",385,140,12,15,9,0.326
228,McNeese ,65,"1,732",453,137,34,13,44,0.326
229,Memphis ,55,"1,401",354,127,28,9,24,0.325
230,San Diego St. ,51,"1,372",363,109,16,5,26,0.325
231,Tennessee St. ,42,"1,088",271,102,24,8,21,0.325
232,Baylor ,49,"1,237",301,136,18,10,28,0.325
233,FGCU ,51,"1,337",339,112,31,5,31,0.325
234,La.-Monroe ,56,"1,408",328,157,38,9,32,0.324
235,Providence ,52,"1,403",355,132,22,13,18,0.324
236,Canisius ,45,"1,176",309,93,16,5,22,0.324
237,Duke ,56,"1,465",376,112,39,13,51,0.324
238,Northern Ky. ,55,"1,522",385,140,18,8,39,0.322
239,Appalachian St. ,56,"1,456",348,167,15,12,37,0.321
240,Quinnipiac ,50,"1,273",292,153,21,4,28,0.321
241,Stetson ,47,"1,217",294,119,27,10,29,0.320
242,Purdue Fort Wayne ,49,"1,243",298,119,30,3,40,0.320
243,Youngstown St. ,54,"1,421",335,150,31,9,32,0.320
244,Butler ,48,"1,289",325,107,26,9,28,0.320
244,George Mason ,48,"1,268",307,134,17,12,27,0.320
246,South Fla. ,60,"1,524",373,153,23,18,35,0.320
247,Charleston So. ,55,"1,386",345,110,39,11,49,0.320
248,Jackson St. ,47,"1,112",229,145,42,3,27,0.320
249,Houston Baptist ,46,"1,198",305,100,17,6,33,0.319
250,Western Caro. ,53,"1,350",320,133,35,14,36,0.319
251,Kansas ,51,"1,310",322,115,26,3,24,0.318
252,Pacific ,49,"1,194",291,117,19,11,20,0.318
253,UMES ,39,891,206,102,15,7,27,0.318
254,Presbyterian ,53,"1,385",351,125,13,15,26,0.318
255,Idaho St. ,47,"1,194",292,113,18,8,48,0.317
256,Niagara ,50,"1,264",298,134,19,6,37,0.317
257,Iona ,46,"1,244",307,111,17,3,11,0.316
258,St. Bonaventure ,45,"1,119",269,104,23,6,15,0.316
259,N.C. A&T ,40,984,238,76,29,4,14,0.314
260,Bryant ,45,"1,147",256,128,27,8,8,0.314
261,Jacksonville ,50,"1,306",307,121,31,8,29,0.313
262,Lamar University ,57,"1,437",339,136,32,15,46,0.313
263,Northern Colo. ,53,"1,335",313,126,26,6,40,0.311
264,Southern U. ,35,858,197,92,10,4,36,0.310
265,Georgia St. ,54,"1,370",305,158,22,15,17,0.310
266,Brown ,39,994,226,92,28,4,15,0.309
267,Tennessee Tech ,45,"1,188",287,96,23,6,6,0.309
268,UC Santa Barbara ,52,"1,388",357,89,19,9,29,0.309
269,Green Bay ,41,"1,091",262,83,25,6,13,0.307
270,La Salle ,45,"1,165",281,96,16,6,35,0.306
271,CSU Bakersfield ,47,"1,229",304,92,17,13,23,0.306
272,Mississippi Val. ,39,996,238,92,7,8,18,0.306
273,Valparaiso ,47,"1,139",249,125,22,11,29,0.305
274,Detroit Mercy ,59,"1,522",378,114,14,10,19,0.305
275,Hartford ,51,"1,316",325,101,11,9,15,0.304
276,Sam Houston St. ,58,"1,505",378,99,15,6,43,0.303
277,Delaware St. ,42,"1,067",270,66,13,8,36,0.302
278,Cleveland St. ,49,"1,307",307,111,17,5,36,0.302
279,Saint Mary's ,51,"1,265",282,108,35,6,17,0.301
280,Coppin St. ,41,958,205,98,21,6,24,0.299
281,Maine ,41,"1,070",247,100,7,10,13,0.298
282,Robert Morris ,51,"1,300",312,79,27,11,27,0.295
283,Rider ,54,"1,343",294,112,29,3,20,0.293
284,Omaha ,47,"1,157",249,101,27,6,21,0.292
285,Iowa ,51,"1,240",267,104,29,12,34,0.289
286,A&M-Corpus Christi ,51,"1,230",274,96,21,8,13,0.289
287,UIW ,48,"1,199",247,100,32,4,22,0.284
288,Cal Poly ,51,"1,288",277,99,21,5,41,0.281
289,Morehead St. ,45,"1,001",197,82,34,4,24,0.279
290,Fairleigh Dickinson ,49,"1,247",267,97,14,1,46,0.278
291,Holy Cross ,49,"1,280",269,88,26,6,45,0.274
292,Lafayette ,49,"1,217",253,88,23,3,20,0.273
293,Saint Peter's ,56,"1,346",265,117,13,7,17,0.266
294,South Carolina St. ,36,748,152,59,6,2,9,0.266
295,Ark.-Pine Bluff ,38,866,167,65,16,0,13,0.262
