Rank,College,G,AB,TB,SLG PCT
112,Dartmouth ,40,"1,010",409,0.405
113,Sacramento St. ,51,"1,371",554,0.404
114,Toledo ,58,"1,525",616,0.404
115,Buffalo ,47,"1,139",460,0.404
116,Norfolk St. ,50,"1,310",529,0.404
117,North Carolina ,56,"1,454",587,0.404
118,Eastern Ill. ,56,"1,569",633,0.403
119,Utah ,50,"1,271",512,0.403
120,Saint Louis ,57,"1,485",598,0.403
121,Lipscomb ,50,"1,356",546,0.403
122,Albany ,48,"1,231",495,0.402
123,Central Mich. ,48,"1,282",515,0.402
124,Chattanooga ,56,"1,467",589,0.401
125,Northern Colo. ,56,"1,458",584,0.401
126,California ,56,"1,513",606,0.401
127,Jacksonville St. ,60,"1,641",655,0.399
128,Iowa St. ,56,"1,524",608,0.399
129,Texas Southern ,43,"1,144",456,0.399
130,Oakland ,50,"1,355",540,0.399
131,LIU Brooklyn ,51,"1,391",554,0.398
132,UIC ,54,"1,440",573,0.398
133,Seattle U ,56,"1,593",631,0.396
134,Cornell ,40,"1,089",431,0.396
135,SFA ,55,"1,426",564,0.396
136,Georgia Tech ,54,"1,376",544,0.395
137,Tennessee Tech ,49,"1,270",502,0.395
138,Miami ,49,"1,308",517,0.395
139,Southeastern La. ,59,"1,547",610,0.394
140,Wisconsin ,52,"1,296",510,0.394
141,Tulsa ,59,"1,534",602,0.392
142,Bethune-Cookman ,57,"1,524",597,0.392
143,UMKC ,56,"1,481",580,0.392
144,Lamar University ,56,"1,495",585,0.391
145,Louisiana Tech ,57,"1,426",557,0.391
146,La.-Monroe ,53,"1,465",571,0.390
147,Omaha ,51,"1,321",514,0.389
148,Stetson ,51,"1,262",491,0.389
149,Samford ,57,"1,485",577,0.389
150,Appalachian St. ,52,"1,390",540,0.388
151,UAB ,59,"1,599",620,0.388
152,UC Riverside ,62,"1,568",607,0.387
153,Pacific ,47,"1,240",480,0.387
154,Col. of Charleston ,58,"1,553",600,0.386
155,Elon ,52,"1,354",522,0.386
156,Drake ,57,"1,471",565,0.384
157,LSU ,62,"1,657",636,0.384
158,Brown ,39,"1,031",395,0.383
159,Marshall ,55,"1,445",553,0.383
160,Indiana ,56,"1,402",534,0.381
161,Hartford ,42,"1,108",422,0.381
162,Troy ,60,"1,620",617,0.381
163,Cal St. Fullerton ,60,"1,554",591,0.380
164,Louisiana ,57,"1,601",608,0.380
165,NC State ,54,"1,346",511,0.380
166,Houston ,59,"1,600",606,0.379
167,UNI ,52,"1,424",539,0.379
168,Portland St. ,52,"1,354",512,0.378
169,UC Santa Barbara ,54,"1,455",549,0.377
170,UMass Lowell ,49,"1,299",490,0.377
171,Dayton ,56,"1,454",548,0.377
172,Central Ark. ,56,"1,425",537,0.377
173,Rider ,50,"1,352",509,0.376
174,Stony Brook ,47,"1,206",454,0.376
175,Texas ,59,"1,494",562,0.376
176,Virginia Tech ,53,"1,411",530,0.376
177,Seton Hall ,54,"1,405",527,0.375
178,Fla. Atlantic ,56,"1,543",578,0.375
179,Missouri St. ,52,"1,410",528,0.374
180,Syracuse ,50,"1,327",496,0.374
181,Central Conn. St. ,49,"1,285",480,0.374
182,Manhattan ,53,"1,431",534,0.373
183,Western Caro. ,52,"1,303",486,0.373
184,Western Ill. ,48,"1,269",473,0.373
185,UNLV ,53,"1,412",526,0.373
186,Rutgers ,50,"1,372",511,0.372
187,Coppin St. ,40,"1,062",395,0.372
188,New Mexico ,53,"1,285",477,0.371
189,UCF ,56,"1,399",519,0.371
190,Saint Joseph's ,49,"1,327",492,0.371
191,Sam Houston St. ,57,"1,505",557,0.370
192,Delaware St. ,48,"1,233",456,0.370
193,FGCU ,56,"1,462",540,0.369
194,Prairie View ,43,"1,089",401,0.368
195,Oregon St. ,58,"1,559",573,0.368
196,Princeton ,39,"1,024",376,0.367
197,UT Arlington ,58,"1,556",570,0.366
198,Morgan St. ,45,"1,170",428,0.366
199,South Alabama ,56,"1,487",543,0.365
200,Duke ,56,"1,512",552,0.365
201,Savannah St. ,36,943,344,0.365
202,Abilene Christian ,49,"1,270",463,0.365
203,North Dakota St. ,53,"1,335",485,0.363
204,Ole Miss ,57,"1,505",544,0.361
205,Fairfield ,53,"1,382",499,0.361
206,Sacred Heart ,56,"1,479",534,0.361
207,Charlotte ,50,"1,325",478,0.361
208,Marist ,59,"1,575",568,0.361
209,UTSA ,50,"1,298",468,0.361
210,Hawaii ,50,"1,247",449,0.360
211,ETSU ,46,"1,199",431,0.359
212,Army West Point ,54,"1,449",520,0.359
213,Murray St. ,52,"1,386",497,0.359
214,Delaware ,49,"1,236",442,0.358
215,Idaho St. ,47,"1,193",425,0.356
216,East Carolina ,55,"1,418",504,0.355
217,North Dakota ,53,"1,371",487,0.355
218,Northern Ky. ,46,"1,208",429,0.355
219,Southern Miss. ,55,"1,437",510,0.355
220,Boston College ,53,"1,405",498,0.354
221,Detroit Mercy ,44,"1,121",395,0.352
222,FIU ,55,"1,465",516,0.352
223,Jacksonville ,56,"1,386",488,0.352
224,Bryant ,45,"1,105",389,0.352
225,Purdue Fort Wayne ,54,"1,409",496,0.352
226,Belmont ,50,"1,283",450,0.351
227,La Salle ,46,"1,177",412,0.350
228,Georgetown ,52,"1,372",480,0.350
229,George Mason ,50,"1,344",469,0.349
230,Jackson St. ,40,945,329,0.348
231,Hampton ,52,"1,330",463,0.348
232,San Diego ,52,"1,385",479,0.346
233,Stanford ,55,"1,392",481,0.346
234,Providence ,45,"1,149",397,0.346
235,Wagner ,43,"1,115",385,0.345
236,Loyola Chicago ,50,"1,283",443,0.345
237,Alcorn ,49,"1,183",408,0.345
238,Cleveland St. ,49,"1,215",419,0.345
239,St. Bonaventure ,42,"1,049",360,0.343
240,UT Martin ,57,"1,460",501,0.343
241,Indiana St. ,54,"1,481",508,0.343
242,Evansville ,49,"1,341",458,0.342
243,Akron ,48,"1,098",372,0.339
244,Morehead St. ,51,"1,328",449,0.338
245,Lafayette ,49,"1,210",409,0.338
246,Robert Morris ,46,"1,157",391,0.338
247,Valparaiso ,51,"1,308",442,0.338
248,Mount St. Mary's ,44,"1,097",370,0.337
249,Houston Baptist ,43,"1,115",376,0.337
250,UMBC ,43,"1,125",379,0.337
251,Butler ,48,"1,266",426,0.336
252,Winthrop ,49,"1,246",419,0.336
253,Florida A&M ,52,"1,419",476,0.335
254,Siena ,44,"1,155",387,0.335
255,UC Davis ,51,"1,348",448,0.332
256,Maryland ,55,"1,391",462,0.332
257,UNCW ,49,"1,210",401,0.331
258,Purdue ,56,"1,439",475,0.330
259,Fairleigh Dickinson ,43,"1,076",355,0.330
260,Saint Peter's ,48,"1,160",380,0.328
261,Niagara ,49,"1,258",412,0.328
262,Yale ,40,"1,078",352,0.327
263,Cal Poly ,50,"1,267",410,0.324
264,Mississippi Val. ,45,"1,123",362,0.322
265,Montana ,55,"1,455",469,0.322
266,Green Bay ,46,"1,168",376,0.322
267,Lehigh ,51,"1,375",442,0.321
268,Saint Mary's ,49,"1,256",403,0.321
269,Howard ,45,"1,070",343,0.321
270,Grambling ,39,883,282,0.319
271,N.C. Central ,46,"1,172",373,0.318
272,Holy Cross ,45,"1,194",379,0.317
273,IUPUI ,49,"1,243",390,0.314
274,San Diego St. ,51,"1,342",420,0.313
275,Ark.-Pine Bluff ,46,"1,161",362,0.312
276,Eastern Mich. ,50,"1,274",397,0.312
277,Wright St. ,53,"1,361",423,0.311
278,A&M-Corpus Christi ,52,"1,323",411,0.311
279,Maine ,47,"1,214",377,0.311
280,Iona ,46,"1,206",373,0.309
281,N.C. A&T ,44,"1,160",358,0.309
282,Canisius ,47,"1,169",360,0.308
283,Illinois St. ,54,"1,390",425,0.306
284,Incarnate Word ,49,"1,212",369,0.304
285,Iowa ,53,"1,370",417,0.304
286,North Florida ,54,"1,308",398,0.304
287,Penn St. ,50,"1,215",368,0.303
288,Colgate ,43,"1,097",329,0.300
289,UConn ,55,"1,379",410,0.297
290,Rhode Island ,47,"1,212",350,0.289
291,CSU Bakersfield ,44,"1,098",310,0.282
292,UMES ,39,956,259,0.271
293,Santa Clara ,46,"1,196",315,0.263
294,Tennessee St. ,52,"1,189",312,0.262
295,Presbyterian ,46,"1,143",298,0.261
296,South Carolina St. ,33,759,168,0.221
