Rank,College,G,DP,PG
174,Brown ,39,10,0.26
175,Buffalo ,43,11,0.26
176,Siena ,47,12,0.26
176,Utah St. ,47,12,0.26
178,Eastern Ill. ,55,14,0.25
179,Middle Tenn. ,59,15,0.25
180,Oklahoma ,63,16,0.25
181,Duke ,56,14,0.25
181,UMKC ,56,14,0.25
181,Montana ,56,14,0.25
181,Massachusetts ,48,12,0.25
181,IUPUI ,56,14,0.25
181,South Fla. ,60,15,0.25
181,Howard ,48,12,0.25
181,UMass Lowell ,48,12,0.25
189,Troy ,57,14,0.25
190,Alabama St. ,49,12,0.24
190,Southern Ill. ,49,12,0.24
192,St. Bonaventure ,45,11,0.24
192,Canisius ,45,11,0.24
194,LSU ,62,15,0.24
195,Elon ,54,13,0.24
196,UConn ,50,12,0.24
196,Loyola Chicago ,50,12,0.24
198,Houston Baptist ,46,11,0.24
198,Iona ,46,11,0.24
200,DePaul ,51,12,0.24
201,Prairie View ,47,11,0.23
201,Stetson ,47,11,0.23
203,UC Santa Barbara ,52,12,0.23
203,Grambling ,39,9,0.23
205,Binghamton ,48,11,0.23
205,St. John's ,48,11,0.23
207,Syracuse ,53,12,0.23
208,UCLA ,62,14,0.23
209,N.C. Central ,49,11,0.22
210,Michigan ,58,13,0.22
210,Sam Houston St. ,58,13,0.22
212,Kent St. ,54,12,0.22
212,South Carolina St. ,36,8,0.22
214,Bradley ,50,11,0.22
214,Michigan St. ,50,11,0.22
216,California ,55,12,0.22
216,UCF ,55,12,0.22
218,ETSU ,51,11,0.22
218,Oakland ,51,11,0.22
220,UNC Greensboro ,56,12,0.21
220,Alabama ,70,15,0.21
222,Louisiana Tech ,61,13,0.21
222,James Madison ,61,13,0.21
222,Washington ,61,13,0.21
225,Southern Miss. ,52,11,0.21
225,Oregon ,52,11,0.21
227,Northwestern St. ,57,12,0.21
228,Presbyterian ,53,11,0.21
229,Penn ,39,8,0.21
230,Cleveland St. ,49,10,0.20
231,Campbell ,54,11,0.20
232,Marshall ,64,13,0.20
233,Lehigh ,55,11,0.20
233,Tennessee Tech ,45,9,0.20
233,Coastal Caro. ,60,12,0.20
233,Saint Francis ,60,12,0.20
233,Fordham ,55,11,0.20
238,Nevada ,56,11,0.20
238,Nicholls St. ,56,11,0.20
240,Miami ,51,10,0.20
240,Stony Brook ,51,10,0.20
240,Bowling Green ,51,10,0.20
243,Rhode Island ,46,9,0.20
243,Western Mich. ,46,9,0.20
245,Lipscomb ,58,11,0.19
246,Florida A&M ,53,10,0.19
247,Alcorn ,38,7,0.18
248,Fairleigh Dickinson ,49,9,0.18
249,Wright St. ,55,10,0.18
249,Winthrop ,55,10,0.18
251,Niagara ,50,9,0.18
252,Boston U. ,57,10,0.18
252,Toledo ,57,10,0.18
252,Bethune-Cookman ,57,10,0.18
255,Jackson St. ,47,8,0.17
256,Villanova ,53,9,0.17
257,Towson ,54,9,0.17
257,Alabama A&M ,42,7,0.17
257,Youngstown St. ,54,9,0.17
257,Minnesota ,60,10,0.17
257,Chattanooga ,54,9,0.17
257,Belmont ,54,9,0.17
263,Georgia ,61,10,0.16
264,Sacred Heart ,55,9,0.16
265,Mercer ,56,9,0.16
266,Jacksonville ,50,8,0.16
267,Ark.-Pine Bluff ,38,6,0.16
268,Hartford ,51,8,0.16
269,Tennessee ,60,9,0.15
269,Northwestern ,60,9,0.15
271,Idaho St. ,47,7,0.15
272,Gardner-Webb ,54,8,0.15
272,UMBC ,54,8,0.15
274,Princeton ,41,6,0.15
275,Ohio ,55,8,0.15
276,Saint Peter's ,56,8,0.14
276,Penn St. ,56,8,0.14
278,Indiana ,57,8,0.14
279,SIUE ,44,6,0.14
280,Drake ,59,8,0.14
281,Southern U. ,35,4,0.11
282,New Mexico ,53,6,0.11
283,Morehead St. ,45,5,0.11
284,Arkansas ,58,6,0.10
285,Western Ky. ,50,5,0.10
286,Texas Southern ,52,5,0.10
287,Bryant ,45,4,0.09
288,North Dakota St. ,58,5,0.09
289,SFA ,59,5,0.08
290,UIW ,48,4,0.08
290,Savannah St. ,36,3,0.08
292,Holy Cross ,49,4,0.08
292,Georgetown ,49,4,0.08
294,Dayton ,51,4,0.08
295,Western Ill. ,40,3,0.08
