Rank,College,G,AB,H,BA
123,Morgan St. ,46,"1,142",315,0.276
124,Stanford ,53,"1,338",369,0.276
125,San Jose St. ,53,"1,408",388,0.276
126,Western Mich. ,46,"1,278",352,0.275
127,Utah St. ,47,"1,239",341,0.275
128,Princeton ,41,992,273,0.275
129,Sacred Heart ,55,"1,494",411,0.275
130,Miami ,51,"1,386",381,0.275
131,Southern Utah ,40,"1,066",293,0.275
132,South Dakota St. ,56,"1,511",415,0.275
133,Villanova ,53,"1,391",382,0.275
134,Ole Miss ,61,"1,568",430,0.274
135,Binghamton ,48,"1,244",341,0.274
136,UC Riverside ,53,"1,350",370,0.274
137,LMU ,61,"1,592",436,0.274
138,SFA ,59,"1,600",438,0.274
139,Texas A&M ,55,"1,390",380,0.273
140,Central Conn. St. ,41,"1,145",313,0.273
141,Marshall ,64,"1,606",439,0.273
142,Towson ,54,"1,435",392,0.273
143,Manhattan ,50,"1,345",367,0.273
144,Monmouth ,54,"1,415",386,0.273
145,Col. of Charleston ,56,"1,465",399,0.272
146,Alabama A&M ,42,"1,145",311,0.272
147,SIUE ,44,"1,179",320,0.271
148,Akron ,46,"1,150",312,0.271
149,Michigan St. ,50,"1,280",347,0.271
150,Kennesaw St. ,55,"1,445",391,0.271
151,Norfolk St. ,45,"1,206",326,0.270
152,Tulsa ,57,"1,521",411,0.270
153,Longwood ,59,"1,555",420,0.270
154,Boston U. ,57,"1,478",399,0.270
155,Florida A&M ,53,"1,390",375,0.270
156,UT Martin ,56,"1,389",374,0.269
157,Santa Clara ,50,"1,274",343,0.269
158,Albany ,43,"1,187",319,0.269
159,Virginia ,53,"1,344",361,0.269
160,Marist ,57,"1,527",410,0.269
161,Iowa St. ,62,"1,657",444,0.268
162,UMass Lowell ,48,"1,310",351,0.268
163,Colgate ,52,"1,366",366,0.268
164,Saint Joseph's ,53,"1,412",378,0.268
165,Nicholls St. ,56,"1,436",384,0.267
166,Texas Southern ,52,"1,333",356,0.267
167,Murray St. ,53,"1,398",373,0.267
168,Nebraska ,52,"1,342",358,0.267
169,Army West Point ,56,"1,483",395,0.266
170,Grambling ,39,954,254,0.266
171,Northwestern ,60,"1,512",402,0.266
172,San Diego ,49,"1,204",320,0.266
173,Siena ,47,"1,219",323,0.265
174,UNC Greensboro ,56,"1,458",386,0.265
175,Oregon ,52,"1,311",347,0.265
176,Bowling Green ,51,"1,368",362,0.265
177,San Diego St. ,51,"1,372",363,0.265
178,Toledo ,57,"1,501",397,0.264
179,Florida ,67,"1,739",459,0.264
180,Wright St. ,55,"1,459",385,0.264
181,Middle Tenn. ,59,"1,551",409,0.264
182,Troy ,57,"1,466",386,0.263
183,Syracuse ,53,"1,284",338,0.263
184,Winthrop ,55,"1,456",383,0.263
185,N.C. Central ,49,"1,247",328,0.263
186,UNI ,51,"1,365",359,0.263
187,Abilene Christian ,44,"1,141",300,0.263
188,Indiana ,57,"1,408",370,0.263
189,Canisius ,45,"1,176",309,0.263
190,ETSU ,51,"1,359",357,0.263
191,Hawaii ,49,"1,228",322,0.262
192,McNeese ,65,"1,732",453,0.262
193,Ga. Southern ,51,"1,335",349,0.261
194,Penn St. ,56,"1,401",366,0.261
195,Delaware ,51,"1,336",349,0.261
196,Northwestern St. ,57,"1,475",385,0.261
197,Texas St. ,54,"1,357",354,0.261
198,Hampton ,48,"1,139",297,0.261
199,Eastern Ill. ,55,"1,480",385,0.260
200,UCF ,55,"1,407",366,0.260
201,Fla. Atlantic ,50,"1,277",332,0.260
202,Rhode Island ,46,"1,181",307,0.260
203,Samford ,54,"1,424",368,0.258
204,Elon ,54,"1,388",358,0.258
205,UConn ,50,"1,328",342,0.258
206,Oregon St. ,45,"1,165",300,0.258
207,Illinois St. ,51,"1,301",335,0.257
208,IUPUI ,56,"1,488",383,0.257
209,UC Santa Barbara ,52,"1,388",357,0.257
210,CSUN ,54,"1,382",355,0.257
211,Duke ,56,"1,465",376,0.257
212,Western Ill. ,40,"1,095",281,0.257
213,Cornell ,46,"1,139",291,0.255
214,Houston Baptist ,46,"1,198",305,0.255
215,FGCU ,51,"1,337",339,0.254
216,Central Mich. ,51,"1,286",326,0.253
217,Presbyterian ,53,"1,385",351,0.253
218,Delaware St. ,42,"1,067",270,0.253
219,Providence ,52,"1,403",355,0.253
220,Northern Ky. ,55,"1,522",385,0.253
221,Memphis ,55,"1,401",354,0.253
222,Butler ,48,"1,289",325,0.252
223,Rutgers ,55,"1,371",345,0.252
224,Sam Houston St. ,58,"1,505",378,0.251
225,North Dakota ,56,"1,517",380,0.250
226,East Carolina ,54,"1,404",350,0.249
227,Tennessee St. ,42,"1,088",271,0.249
228,Charleston So. ,55,"1,386",345,0.249
229,Boston College ,53,"1,324",329,0.248
230,Detroit Mercy ,59,"1,522",378,0.248
231,Georgetown ,49,"1,194",296,0.248
232,Savannah St. ,36,916,227,0.248
233,CSU Bakersfield ,47,"1,229",304,0.247
234,Hartford ,51,"1,316",325,0.247
235,Iona ,46,"1,244",307,0.247
236,Coastal Caro. ,60,"1,482",365,0.246
237,Kansas ,51,"1,310",322,0.246
238,South Fla. ,60,"1,524",373,0.245
239,Idaho St. ,47,"1,194",292,0.245
240,Furman ,51,"1,303",318,0.244
241,Pittsburgh ,54,"1,362",332,0.244
242,Pacific ,49,"1,194",291,0.244
243,UNCW ,54,"1,359",331,0.244
244,Ball St. ,54,"1,397",340,0.243
245,Baylor ,49,"1,237",301,0.243
246,George Mason ,48,"1,268",307,0.242
247,N.C. A&T ,40,984,238,0.242
248,Tennessee Tech ,45,"1,188",287,0.242
249,Stetson ,47,"1,217",294,0.242
250,La Salle ,45,"1,165",281,0.241
251,Buffalo ,43,"1,107",267,0.241
252,St. Bonaventure ,45,"1,119",269,0.240
253,Bethune-Cookman ,57,"1,386",333,0.240
254,Green Bay ,41,"1,091",262,0.240
255,Robert Morris ,51,"1,300",312,0.240
256,Purdue Fort Wayne ,49,"1,243",298,0.240
257,Appalachian St. ,56,"1,456",348,0.239
258,Mississippi Val. ,39,996,238,0.239
259,Western Caro. ,53,"1,350",320,0.237
260,Lamar University ,57,"1,437",339,0.236
261,Niagara ,50,"1,264",298,0.236
262,Youngstown St. ,54,"1,421",335,0.236
263,Jacksonville ,50,"1,306",307,0.235
264,Cleveland St. ,49,"1,307",307,0.235
265,Northern Colo. ,53,"1,335",313,0.234
266,FIU ,51,"1,266",295,0.233
267,La.-Monroe ,56,"1,408",328,0.233
268,UTSA ,52,"1,308",303,0.232
269,UMES ,39,891,206,0.231
270,New Mexico ,53,"1,281",296,0.231
271,Maine ,41,"1,070",247,0.231
272,NC State ,58,"1,426",328,0.230
273,Evansville ,49,"1,215",279,0.230
274,Southern U. ,35,858,197,0.230
275,Quinnipiac ,50,"1,273",292,0.229
276,Brown ,39,994,226,0.227
277,Bryant ,45,"1,147",256,0.223
278,Saint Mary's ,51,"1,265",282,0.223
279,A&M-Corpus Christi ,51,"1,230",274,0.223
280,Georgia St. ,54,"1,370",305,0.223
281,Rider ,54,"1,343",294,0.219
282,Valparaiso ,47,"1,139",249,0.219
283,Iowa ,51,"1,240",267,0.215
284,Omaha ,47,"1,157",249,0.215
285,Cal Poly ,51,"1,288",277,0.215
286,Fairleigh Dickinson ,49,"1,247",267,0.214
287,Coppin St. ,41,958,205,0.214
288,Holy Cross ,49,"1,280",269,0.210
289,Lafayette ,49,"1,217",253,0.208
290,UIW ,48,"1,199",247,0.206
291,Jackson St. ,47,"1,112",229,0.206
292,South Carolina St. ,36,748,152,0.203
293,Saint Peter's ,56,"1,346",265,0.197
294,Morehead St. ,45,"1,001",197,0.197
295,Ark.-Pine Bluff ,38,866,167,0.193
