Rank,College,GS,IP,HB
132,Alabama ,0,473,27
132,Central Conn. St. ,0,279,27
132,UCF ,0,380,27
132,Furman ,0,325,27
132,Howard ,0,306,27
132,UMES ,0,222,27
132,Michigan St. ,0,315,27
132,Minnesota ,0,398,27
132,Monmouth ,0,353,27
132,Nevada ,0,362,27
132,Yale ,0,283,27
143,Alcorn ,0,243,28
143,Central Mich. ,0,330,28
143,Colgate ,0,336,28
143,Georgia Tech ,0,371,28
143,Holy Cross ,0,340,28
143,Illinois ,0,380,28
143,Troy ,0,385,28
143,Ohio St. ,0,351,28
143,Rider ,0,334,28
143,Saint Joseph's ,0,344,28
143,Siena ,0,310,28
143,USC Upstate ,0,366,28
143,Stetson ,0,318,28
143,DePaul ,0,344,28
157,Abilene Christian ,0,284,29
157,Canisius ,0,289,29
157,Fordham ,0,353,29
157,Liberty ,0,410,29
157,Utah St. ,0,289,29
157,Virginia ,0,325,29
157,St. Bonaventure ,0,274,29
157,Saint Mary's ,0,332,29
157,UTEP ,0,300,29
157,Valparaiso ,0,296,29
167,Army West Point ,0,370,30
167,Binghamton ,0,302,30
167,Duke ,0,381,30
167,Southeast Mo. St. ,0,414,30
167,Northern Ky. ,0,381,30
167,South Carolina ,0,377,30
167,New Mexico ,0,317,30
174,FIU ,0,342,31
174,Gardner-Webb ,0,342,31
174,Kent St. ,0,341,31
174,Louisville ,0,380,31
174,Texas A&M ,0,361,31
174,Detroit Mercy ,0,393,31
174,Rutgers ,0,355,31
174,South Dakota ,0,401,31
174,Chattanooga ,0,362,31
174,Longwood ,0,391,31
184,UC Riverside ,0,347,32
184,Charleston So. ,0,361,32
184,Florida St. ,0,412,32
184,Hampton ,0,300,32
184,Southern Miss. ,0,343,32
184,North Dakota St. ,0,384,32
184,UIW ,0,299,32
184,Southern Utah ,0,255,32
184,Niagara ,0,320,32
193,Fresno St. ,0,373,33
193,Columbia ,0,285,33
193,Creighton ,0,284,33
193,Dartmouth ,0,251,33
193,Maryland ,0,324,33
193,Houston Baptist ,0,302,33
193,Charlotte ,0,308,33
193,North Dakota ,0,368,33
193,Northwestern St. ,0,374,33
193,Providence ,0,353,33
193,Stanford ,0,347,33
193,UNLV ,0,342,33
205,Alabama St. ,0,318,34
205,Campbell ,0,350,34
205,Harvard ,0,285,34
205,Hofstra ,0,302,34
205,San Diego St. ,0,343,34
205,Kentucky ,0,385,34
205,Wright St. ,0,356,34
205,Youngstown St. ,0,372,34
205,San Diego ,0,311,34
205,Iowa St. ,0,424,34
215,Florida A&M ,0,336,35
215,LSU ,0,401,35
215,East Carolina ,0,357,35
215,UT Arlington ,0,432,35
215,Omaha ,0,295,35
215,Santa Clara ,0,330,35
215,Mercer ,0,368,35
222,Boise St. ,0,337,36
222,Georgia ,0,400,36
222,James Madison ,0,389,36
222,Eastern Ky. ,0,373,36
222,Lehigh ,0,357,36
222,Long Beach St. ,0,335,36
222,Lafayette ,0,309,36
229,UC Davis ,0,357,37
229,Kansas ,0,333,37
229,Villanova ,0,341,37
229,Pacific ,0,314,37
229,N.C. Central ,0,309,37
229,Oklahoma St. ,0,404,37
229,North Carolina ,0,381,37
236,UAB ,0,324,38
236,Grand Canyon ,0,386,38
236,Virginia Tech ,0,368,38
236,Towson ,0,357,38
236,Morehead St. ,0,256,38
236,UT Martin ,0,360,38
236,Middle Tenn. ,0,399,38
243,Georgetown ,0,313,39
243,UIC ,0,339,39
243,La Salle ,0,294,39
243,Seattle U ,0,375,39
243,SIUE ,0,285,39
243,A&M-Corpus Christi ,0,307,39
243,Pittsburgh ,0,345,39
250,Akron ,0,289,40
250,Col. of Charleston ,0,371,40
250,Texas Tech ,0,379,40
250,Presbyterian ,0,331,40
250,Mississippi St. ,0,381,40
255,Bethune-Cookman ,0,367,41
255,Saint Peter's ,0,343,41
255,Oregon ,0,332,41
255,Ohio ,0,365,41
259,Indiana St. ,0,350,42
259,UCLA ,0,405,42
259,Michigan ,0,388,42
259,Evansville ,0,313,42
263,Arkansas ,0,375,43
263,Fairleigh Dickinson ,0,319,43
263,South Fla. ,0,426,43
263,New Mexico St. ,0,362,43
263,Florida ,0,456,43
268,UC Santa Barbara ,0,336,44
268,Syracuse ,0,322,44
268,Marshall ,0,411,44
271,Coastal Caro. ,0,392,45
271,Saint Francis ,0,391,45
271,LIU Brooklyn ,0,358,45
274,Western Caro. ,0,342,46
275,Dayton ,0,325,47
276,Bowling Green ,0,336,51
276,Ga. Southern ,0,341,51
276,Sacred Heart ,0,368,51
276,Radford ,0,391,51
276,CSUN ,0,358,51
281,Samford ,0,359,52
281,Ball St. ,0,360,52
283,Arizona St. ,0,336,53
283,Northwestern ,0,398,53
283,Jacksonville St. ,0,342,53
286,Kennesaw St. ,0,366,55
287,NC State ,0,379,56
288,Memphis ,0,351,59
288,Eastern Ill. ,0,355,59
290,North Florida ,0,356,60
291,CSU Bakersfield ,0,311,63
292,Toledo ,0,377,65
293,South Alabama ,0,320,66
293,Louisiana Tech ,0,394,66
295,Boston College ,0,336,87
