Rank,College,G,AB,TB,SLG PCT
150,Canisius ,53,"1,438",565,0.393
151,Furman ,54,"1,414",555,0.393
152,Mercer ,57,"1,494",585,0.392
153,Montana ,59,"1,608",628,0.391
154,Akron ,57,"1,411",551,0.391
155,Quinnipiac ,50,"1,310",511,0.390
156,Alabama ,64,"1,606",626,0.390
157,Central Mich. ,52,"1,395",543,0.389
158,Siena ,51,"1,252",487,0.389
159,South Dakota St. ,54,"1,438",559,0.389
160,UCF ,52,"1,354",526,0.388
161,UIC ,61,"1,612",626,0.388
162,UC Santa Barbara ,59,"1,584",615,0.388
163,Rutgers ,51,"1,304",506,0.388
164,Southern Ill. ,57,"1,449",562,0.388
165,Jackson St. ,48,"1,199",464,0.387
166,Kent St. ,63,"1,514",585,0.386
167,Prairie View ,48,"1,194",460,0.385
168,Drexel ,49,"1,291",497,0.385
169,UNCW ,56,"1,422",546,0.384
170,Wagner ,47,"1,241",476,0.384
171,Radford ,55,"1,359",521,0.383
172,Butler ,52,"1,320",506,0.383
173,Texas St. ,59,"1,466",561,0.383
174,North Dakota St. ,62,"1,548",592,0.382
175,Youngstown St. ,59,"1,539",588,0.382
176,South Alabama ,55,"1,407",537,0.382
177,Toledo ,58,"1,481",565,0.381
178,Jacksonville ,55,"1,436",547,0.381
179,Hampton ,45,"1,172",445,0.380
180,Lehigh ,56,"1,524",578,0.379
181,Samford ,61,"1,633",619,0.379
182,Indiana ,54,"1,343",509,0.379
183,Georgetown ,48,"1,272",482,0.379
184,Maine ,46,"1,117",423,0.379
185,Austin Peay ,48,"1,194",452,0.379
186,South Fla. ,56,"1,470",556,0.378
187,Stanford ,51,"1,338",506,0.378
188,San Diego ,46,"1,214",459,0.378
189,Florida A&M ,56,"1,476",555,0.376
190,Troy ,54,"1,374",516,0.376
191,Nicholls St. ,57,"1,492",560,0.375
192,Sam Houston St. ,51,"1,301",488,0.375
193,Northern Colo. ,55,"1,373",513,0.374
194,Eastern Ill. ,49,"1,300",485,0.373
195,Winthrop ,58,"1,520",567,0.373
196,Fla. Atlantic ,56,"1,456",543,0.373
197,Tulsa ,58,"1,571",585,0.372
198,Evansville ,53,"1,319",491,0.372
199,Southern Miss. ,53,"1,366",508,0.372
200,Northern Ky. ,52,"1,350",502,0.372
201,North Texas ,56,"1,414",525,0.371
202,Northwestern St. ,57,"1,501",557,0.371
203,Western Ky. ,62,"1,582",587,0.371
204,Manhattan ,55,"1,452",538,0.371
205,Missouri St. ,49,"1,249",462,0.370
206,Wright St. ,52,"1,306",483,0.370
207,Memphis ,56,"1,494",549,0.367
208,Elon ,53,"1,366",501,0.367
209,Niagara ,45,"1,248",457,0.366
210,Creighton ,50,"1,275",466,0.365
211,Houston Baptist ,43,"1,126",411,0.365
212,La Salle ,47,"1,148",419,0.365
213,Boston U. ,52,"1,444",527,0.365
214,Iowa St. ,58,"1,480",540,0.365
215,Delaware St. ,48,"1,240",452,0.365
216,LMU ,51,"1,298",472,0.364
216,Saint Joseph's ,53,"1,419",516,0.364
218,Lamar University ,65,"1,659",601,0.362
219,North Dakota ,55,"1,378",498,0.361
220,UNLV ,52,"1,373",496,0.361
221,Mississippi Val. ,46,"1,149",413,0.359
222,Norfolk St. ,36,911,327,0.359
223,Texas Southern ,46,"1,151",413,0.359
224,Saint Peter's ,40,945,339,0.359
225,Army West Point ,57,"1,502",538,0.358
226,Penn St. ,56,"1,417",507,0.358
227,Green Bay ,35,903,323,0.358
228,Grambling ,45,"1,053",376,0.357
229,Lipscomb ,56,"1,467",522,0.356
230,Eastern Mich. ,51,"1,282",454,0.354
231,Cal St. Fullerton ,58,"1,571",556,0.354
232,Fairfield ,54,"1,386",490,0.354
233,Rhode Island ,44,"1,108",391,0.353
234,Southeastern La. ,55,"1,365",481,0.352
235,Yale ,45,"1,143",402,0.352
236,Middle Tenn. ,49,"1,274",447,0.351
237,Drake ,55,"1,354",475,0.351
238,Oakland ,46,"1,212",425,0.351
239,Bucknell ,43,"1,172",409,0.349
240,Massachusetts ,53,"1,405",490,0.349
241,Detroit Mercy ,52,"1,358",472,0.348
242,FGCU ,60,"1,543",536,0.347
243,Indiana St. ,53,"1,423",493,0.346
244,Alabama A&M ,48,"1,232",426,0.346
245,Holy Cross ,43,"1,113",384,0.345
246,Cal Poly ,59,"1,551",534,0.344
247,Appalachian St. ,48,"1,208",415,0.344
248,UC Davis ,54,"1,474",506,0.343
249,CSU Bakersfield ,45,"1,145",393,0.343
250,Purdue Fort Wayne ,48,"1,211",415,0.343
251,California ,56,"1,426",488,0.342
252,Maryland ,51,"1,374",469,0.341
253,Gardner-Webb ,50,"1,276",432,0.339
254,Northwestern ,54,"1,350",457,0.339
255,Central Conn. St. ,39,996,337,0.338
256,N.C. A&T ,50,"1,340",453,0.338
257,Longwood ,61,"1,459",492,0.337
258,Bowling Green ,56,"1,466",491,0.335
259,UC Riverside ,52,"1,364",456,0.334
260,La.-Monroe ,63,"1,659",553,0.333
261,Purdue ,56,"1,412",467,0.331
262,Coppin St. ,52,"1,297",428,0.330
263,Sacred Heart ,51,"1,335",440,0.330
264,UAB ,54,"1,444",472,0.327
265,UMES ,38,987,318,0.322
266,Howard ,38,896,288,0.321
267,Central Ark. ,60,"1,507",484,0.321
268,SFA ,50,"1,279",410,0.321
269,Long Beach St. ,52,"1,357",433,0.319
270,UConn ,48,"1,189",379,0.319
271,Morgan St. ,46,"1,137",361,0.318
272,Savannah St. ,40,939,297,0.316
273,Portland St. ,45,"1,082",342,0.316
274,St. Bonaventure ,49,"1,239",391,0.316
275,Fairleigh Dickinson ,42,"1,051",330,0.314
276,Presbyterian ,50,"1,251",389,0.311
277,Santa Clara ,49,"1,230",382,0.311
278,Buffalo ,55,"1,411",437,0.310
279,George Mason ,56,"1,449",447,0.308
280,Hartford ,49,"1,147",351,0.306
281,Loyola Chicago ,53,"1,345",404,0.300
282,Cleveland St. ,52,"1,291",385,0.298
283,N.C. Central ,43,970,286,0.295
284,Saint Mary's ,48,"1,164",343,0.295
285,Iowa ,51,"1,246",358,0.287
286,South Carolina St. ,41,930,267,0.287
287,Tennessee St. ,49,"1,193",337,0.282
288,Lafayette ,41,983,274,0.279
289,Rider ,50,"1,195",332,0.278
290,Bryant ,48,"1,126",309,0.274
291,A&M-Corpus Christi ,48,"1,201",308,0.256
