Rank,College,G,AB,TB,SLG PCT
52,Arizona ,61,"1,573",741,0.471
53,Texas Tech ,55,"1,387",653,0.471
54,BYU ,57,"1,494",702,0.470
55,Troy ,56,"1,465",686,0.468
56,Colorado St. ,46,"1,268",593,0.468
57,Texas ,54,"1,407",657,0.467
58,Florida ,63,"1,599",746,0.467
59,Oklahoma St. ,58,"1,520",709,0.466
60,North Carolina ,57,"1,498",694,0.463
61,Weber St. ,56,"1,538",708,0.460
62,McNeese ,57,"1,526",702,0.460
63,Northwestern St. ,52,"1,372",628,0.458
64,Louisville ,52,"1,401",641,0.458
65,NC State ,56,"1,468",671,0.457
66,FIU ,56,"1,473",673,0.457
67,Campbell ,59,"1,563",713,0.456
68,Maine ,49,"1,364",621,0.455
69,Harvard ,46,"1,293",586,0.453
70,Miami ,58,"1,562",707,0.453
71,Savannah St. ,49,"1,291",584,0.452
72,Kansas ,51,"1,284",579,0.451
73,Illinois ,59,"1,573",709,0.451
74,Oregon St. ,51,"1,407",634,0.451
75,Penn St. ,54,"1,490",667,0.448
76,Utah ,56,"1,430",640,0.448
77,Bradley ,48,"1,323",592,0.447
78,ETSU ,42,"1,128",504,0.447
79,Longwood ,60,"1,552",692,0.446
80,Michigan St. ,55,"1,441",642,0.446
81,Monmouth ,50,"1,416",630,0.445
82,Montana ,56,"1,599",710,0.444
83,Boise St. ,52,"1,365",605,0.443
84,Villanova ,50,"1,394",611,0.438
85,Stony Brook ,52,"1,337",583,0.436
86,St. John's ,49,"1,254",546,0.435
87,South Dakota St. ,57,"1,468",639,0.435
88,Mount St. Mary's ,50,"1,278",556,0.435
89,DePaul ,52,"1,331",578,0.434
90,Cal St. Fullerton ,61,"1,614",699,0.433
91,Dartmouth ,42,"1,143",494,0.432
92,Western Caro. ,57,"1,511",652,0.432
93,New Mexico ,50,"1,361",587,0.431
94,Northwestern ,55,"1,455",626,0.430
95,Cornell ,41,"1,081",464,0.429
96,Idaho St. ,51,"1,415",607,0.429
97,Fordham ,60,"1,600",681,0.426
98,Virginia ,51,"1,361",578,0.425
99,CSUN ,56,"1,484",630,0.425
100,Delaware ,51,"1,365",579,0.424
101,Eastern Ky. ,54,"1,436",609,0.424
102,South Dakota ,53,"1,418",601,0.424
103,Chattanooga ,59,"1,572",665,0.423
104,Drake ,54,"1,419",599,0.422
105,Saint Louis ,52,"1,362",572,0.420
106,Kent St. ,59,"1,537",645,0.420
107,San Diego ,51,"1,418",594,0.419
108,Saint Joseph's ,52,"1,408",589,0.418
109,Siena ,47,"1,258",526,0.418
110,Marshall ,56,"1,470",614,0.418
111,Florida A&M ,57,"1,469",612,0.417
112,UNLV ,55,"1,460",608,0.416
113,Southern Ill. ,52,"1,321",550,0.416
114,Fairfield ,50,"1,330",553,0.416
115,North Texas ,55,"1,436",597,0.416
116,Southern U. ,32,791,328,0.415
117,South Carolina ,61,"1,569",650,0.414
118,Long Beach St. ,55,"1,479",612,0.414
119,Massachusetts ,50,"1,296",536,0.414
120,Charleston So. ,56,"1,467",606,0.413
121,Southeast Mo. St. ,49,"1,251",516,0.412
122,Kentucky ,59,"1,462",602,0.412
123,Tulsa ,56,"1,463",601,0.411
124,Northern Colo. ,42,"1,079",443,0.411
125,Arkansas ,56,"1,409",578,0.410
126,Cleveland St. ,53,"1,431",587,0.410
127,Central Mich. ,52,"1,341",550,0.410
128,Boston College ,53,"1,436",588,0.409
129,Houston ,56,"1,454",595,0.409
130,Seton Hall ,54,"1,490",609,0.409
131,Appalachian St. ,56,"1,414",577,0.408
132,Ga. Southern ,57,"1,506",614,0.408
133,San Diego St. ,52,"1,406",573,0.408
134,Hampton ,48,"1,276",519,0.407
135,Fla. Atlantic ,60,"1,570",637,0.406
136,Sam Houston St. ,54,"1,387",562,0.405
137,Penn ,44,"1,172",474,0.404
138,Texas Southern ,44,"1,218",492,0.404
139,Virginia Tech ,57,"1,405",567,0.404
140,Wisconsin ,53,"1,378",556,0.403
141,California ,58,"1,588",640,0.403
142,Ball St. ,54,"1,337",538,0.402
143,UC Riverside ,55,"1,430",575,0.402
144,Sacramento St. ,50,"1,355",543,0.401
145,Lamar University ,57,"1,482",592,0.399
146,IUPUI ,55,"1,498",598,0.399
147,Kansas City ,50,"1,382",551,0.399
148,Buffalo ,54,"1,453",579,0.398
149,Col. of Charleston ,58,"1,546",616,0.398
150,Radford ,61,"1,610",641,0.398
151,Syracuse ,53,"1,413",562,0.398
152,UMBC ,56,"1,417",563,0.397
153,Georgia St. ,61,"1,667",662,0.397
154,Elon ,51,"1,439",571,0.397
155,UC Santa Barbara ,56,"1,522",603,0.396
156,Providence ,49,"1,269",502,0.396
157,Western Mich. ,50,"1,302",515,0.396
158,Norfolk St. ,43,"1,128",446,0.395
159,Brown ,41,"1,136",449,0.395
160,La.-Monroe ,58,"1,450",573,0.395
161,Canisius ,55,"1,412",557,0.394
162,Mercer ,58,"1,538",606,0.394
163,Houston Baptist ,44,"1,101",433,0.393
164,Columbia ,48,"1,269",499,0.393
165,Lehigh ,52,"1,410",554,0.393
166,Howard ,41,"1,044",410,0.393
167,Southern Utah ,52,"1,337",525,0.393
168,Wright St. ,60,"1,619",634,0.392
169,Iona ,46,"1,249",489,0.392
170,Loyola Chicago ,49,"1,267",496,0.391
171,LIU ,56,"1,467",574,0.391
172,Morehead St. ,53,"1,356",530,0.391
173,Manhattan ,51,"1,328",519,0.391
174,Coppin St. ,36,909,355,0.391
175,Pacific ,48,"1,209",472,0.390
176,Mississippi Val. ,44,"1,147",445,0.388
177,George Washington ,52,"1,325",514,0.388
178,South Alabama ,51,"1,346",522,0.388
179,Prairie View ,38,962,373,0.388
180,Southern Miss. ,58,"1,515",587,0.387
181,East Carolina ,54,"1,412",547,0.387
182,Charlotte ,55,"1,453",562,0.387
183,Liberty ,59,"1,495",578,0.387
184,UAB ,59,"1,490",576,0.387
185,Evansville ,50,"1,301",501,0.385
186,UT Arlington ,49,"1,268",488,0.385
187,Bucknell ,50,"1,366",525,0.384
188,Georgetown ,44,"1,145",439,0.383
189,Stanford ,48,"1,212",464,0.383
190,Iowa St. ,55,"1,427",546,0.383
191,UIC ,51,"1,391",532,0.382
192,Nicholls St. ,56,"1,561",596,0.382
193,St. Bonaventure ,47,"1,266",483,0.382
194,Belmont ,54,"1,382",525,0.380
195,FGCU ,59,"1,540",585,0.380
196,Green Bay ,54,"1,361",517,0.380
197,Princeton ,51,"1,386",526,0.380
198,Indiana ,54,"1,408",534,0.379
199,Maryland ,52,"1,303",494,0.379
200,Akron ,56,"1,414",536,0.379
201,UT Martin ,56,"1,441",546,0.379
202,Illinois St. ,53,"1,357",514,0.379
203,Ole Miss ,63,"1,592",603,0.379
204,Central Ark. ,57,"1,411",534,0.378
205,Central Conn. St. ,45,"1,186",448,0.378
206,Wagner ,49,"1,326",500,0.377
207,Texas St. ,62,"1,499",564,0.376
208,Eastern Mich. ,51,"1,343",504,0.375
209,UTSA ,53,"1,391",522,0.375
210,Ark.-Pine Bluff ,51,"1,290",484,0.375
211,N.C. A&T ,49,"1,252",469,0.375
212,Army West Point ,59,"1,636",612,0.374
213,Lipscomb ,55,"1,423",532,0.374
214,Jacksonville ,58,"1,465",547,0.373
215,Presbyterian ,53,"1,353",505,0.373
216,Valparaiso ,52,"1,346",500,0.371
217,Missouri St. ,52,"1,350",501,0.371
218,Tennessee Tech ,56,"1,410",523,0.371
219,Portland St. ,49,"1,267",469,0.370
220,Alabama A&M ,47,"1,173",434,0.370
221,Gardner-Webb ,54,"1,363",504,0.370
222,Utah Valley ,52,"1,335",493,0.369
223,Murray St. ,55,"1,485",547,0.368
224,Austin Peay ,47,"1,238",456,0.368
225,La Salle ,45,"1,115",410,0.368
226,Fairleigh Dickinson ,46,"1,159",426,0.368
227,Jackson St. ,36,986,362,0.367
228,Boston U. ,52,"1,445",530,0.367
229,Robert Morris ,56,"1,484",543,0.366
230,Western Ky. ,47,"1,200",436,0.363
231,Seattle U ,52,"1,343",486,0.362
232,Eastern Ill. ,53,"1,341",484,0.361
233,Western Ill. ,48,"1,287",464,0.361
234,Alcorn ,46,"1,163",419,0.360
235,North Florida ,49,"1,272",458,0.360
236,SFA ,57,"1,460",525,0.360
237,Iowa ,52,"1,375",494,0.359
238,Butler ,52,"1,340",481,0.359
239,North Dakota ,54,"1,405",503,0.358
240,Cal Poly ,50,"1,259",448,0.356
241,Creighton ,47,"1,167",415,0.356
242,UCF ,60,"1,497",530,0.354
243,Purdue ,55,"1,416",501,0.354
244,Bowling Green ,54,"1,426",503,0.353
245,Memphis ,57,"1,465",516,0.352
246,Rhode Island ,44,"1,127",396,0.351
247,Stetson ,54,"1,373",481,0.350
248,Middle Tenn. ,54,"1,462",512,0.350
249,Rutgers ,57,"1,497",522,0.349
250,UConn ,52,"1,320",456,0.345
251,Toledo ,54,"1,332",458,0.344
252,Rider ,50,"1,283",441,0.344
253,Indiana St. ,51,"1,288",442,0.343
254,Southeastern La. ,55,"1,396",476,0.341
255,Purdue Fort Wayne ,51,"1,253",427,0.341
256,Saint Mary's ,48,"1,239",422,0.341
257,Bethune-Cookman ,53,"1,353",460,0.340
258,Oakland ,44,"1,169",397,0.340
259,Kennesaw St. ,58,"1,464",497,0.339
260,Santa Clara ,51,"1,237",419,0.339
261,Georgia Tech ,55,"1,415",479,0.339
262,George Mason ,47,"1,262",424,0.336
263,Mississippi St. ,57,"1,476",495,0.335
264,Ohio ,60,"1,619",542,0.335
265,UNCW ,50,"1,347",449,0.333
266,Hawaii ,54,"1,394",464,0.333
267,Winthrop ,58,"1,456",483,0.332
268,Niagara ,48,"1,230",408,0.332
269,UMES ,41,"1,091",360,0.330
270,SIUE ,54,"1,363",448,0.329
271,Lafayette ,45,"1,194",389,0.326
272,Drexel ,55,"1,421",461,0.324
273,Tennessee St. ,55,"1,322",428,0.324
274,Morgan St. ,41,"1,003",324,0.323
275,Detroit Mercy ,56,"1,403",453,0.323
276,Quinnipiac ,57,"1,506",478,0.317
277,Sacred Heart ,49,"1,300",412,0.317
278,Colgate ,41,"1,018",318,0.312
279,UC Davis ,50,"1,266",393,0.310
280,Dayton ,49,"1,278",393,0.308
281,CSU Bakersfield ,50,"1,275",391,0.307
282,N.C. Central ,49,"1,188",361,0.304
283,Holy Cross ,44,"1,125",333,0.296
284,Saint Peter's ,43,980,284,0.290
285,Yale ,50,"1,354",390,0.288
286,Bryant ,48,"1,169",334,0.286
287,A&M-Corpus Christi ,48,"1,189",328,0.276
288,South Carolina St. ,30,630,170,0.270
289,Hartford ,51,"1,216",328,0.270
290,Grambling ,37,817,217,0.266
