Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
52,Cal St. Fullerton,Big West,34-22-0,6-8-0,7-5-0,21-9-0,0-0-0
53,Marshall,Conference USA,35-15-0,14-5-0,10-5-0,11-5-0,0-0-0
54,South Fla.,AAC,36-20-0,3-7-0,3-1-0,30-12-0,0-0-0
55,Lehigh,Patriot,40-9-0,14-2-0,14-4-0,12-3-0,0-0-0
56,BYU,West Coast,40-14-0,12-3-0,16-8-0,12-3-0,0-0-0
57,Long Beach St.,Big West,28-24-0,6-4-0,7-12-0,15-8-0,0-0-0
58,Lipscomb,Atlantic Sun,31-25-0,10-7-0,4-11-0,17-7-0,0-0-0
59,Kent St.,Mid-American,41-13-0,13-8-0,16-4-0,12-1-0,0-0-0
60,Oregon St.,Pac-12,26-26-0,5-13-0,18-4-0,3-9-0,0-0-0
61,Troy,Sun Belt,32-23-0,11-13-0,4-3-0,17-7-0,0-0-0
62,Ohio St.,Big Ten,30-22-0,7-9-0,12-3-0,11-10-0,0-0-0
63,San Jose St.,Mountain West,37-19-0,8-7-0,19-8-0,10-4-0,0-0-0
64,Dayton,Atlantic 10,39-14-0,12-6-0,13-8-0,14-0-0,0-0-0
65,McNeese St.,Southland,36-20-0,14-5-0,8-7-0,14-8-0,0-0-0
66,Hawaii,Big West,32-22-0,6-3-0,4-2-0,22-17-0,0-0-0
67,Texas St.,Sun Belt,32-21-0,7-4-0,6-4-0,19-13-0,0-0-0
68,UTSA,Conference USA,36-18-0,12-9-0,9-5-0,15-4-0,0-0-0
69,Northwestern St.,Southland,36-18-0,14-9-0,6-4-0,16-5-0,0-0-0
70,UC Riverside,Big West,39-17-0,4-8-0,13-4-0,22-5-0,0-0-0
71,Ole Miss,Southeastern,30-25-0,7-10-0,10-5-0,13-10-0,0-0-0
72,Longwood,Big South,34-25-0,14-12-0,10-11-0,10-2-0,0-0-0
73,Tulsa,AAC,36-18-0,12-10-0,14-3-0,10-5-0,0-0-0
74,Elon,Colonial,31-22-0,6-13-0,5-3-0,20-6-0,0-0-0
75,Ball St.,Mid-American,34-25-0,13-9-0,13-10-0,8-6-0,0-0-0
76,Penn St.,Big Ten,29-28-0,8-15-0,10-6-0,11-7-0,0-0-0
77,La.-Monroe,Sun Belt,30-22-0,7-10-0,10-5-0,13-7-0,0-0-0
78,Mercer,Southern,37-22-0,5-12-0,11-3-0,21-7-0,0-0-0
79,Texas Tech,Big 12,25-26-0,9-11-0,6-7-0,10-8-0,0-0-0
80,Towson,Colonial,35-22-0,11-13-0,6-6-0,18-3-0,0-0-0
81,North Florida,Atlantic Sun,31-28-0,5-11-0,9-7-0,17-10-0,0-0-0
82,Purdue,Big Ten,31-25-0,6-12-0,16-7-0,9-6-0,0-0-0
83,Kennesaw St.,Atlantic Sun,32-19-0,10-6-0,6-4-0,16-9-0,0-0-0
84,Jacksonville St.,OVC,38-17-0,8-9-0,12-6-0,18-2-0,0-0-0
85,Weber St.,Big Sky,38-19-0,12-9-0,13-8-0,13-2-0,0-0-0
86,Stony Brook,America East,30-17-0,10-6-0,6-5-0,14-6-0,0-0-0
87,St. John's (NY),Big East,28-19-0,10-9-0,8-8-0,10-2-0,0-0-0
88,Georgia Tech,Atlantic Coast,16-34-0,7-15-0,2-7-0,7-12-0,0-0-0
89,Arkansas,Southeastern,16-37-0,4-14-0,11-6-0,1-17-0,0-0-0
90,Furman,Southern,31-25-0,13-5-0,9-5-0,9-15-0,0-0-0
91,Samford,Southern,33-22-0,9-9-0,8-6-0,16-7-0,0-0-0
92,Iowa,Big Ten,19-40-0,9-16-0,7-14-0,3-10-0,0-0-0
93,Idaho St.,Big Sky,34-18-0,14-11-0,10-4-0,10-3-0,0-0-0
94,Stanford,Pac-12,17-37-0,2-13-0,7-8-0,8-16-0,0-0-0
95,Dartmouth,Ivy,25-18-0,11-9-0,4-7-0,10-2-0,0-0-0
96,Murray St.,OVC,38-19-0,11-12-0,13-4-0,14-3-0,0-0-0
97,Stetson,Atlantic Sun,30-20-0,3-6-0,3-2-0,24-12-0,0-0-0
98,Boston College,Atlantic Coast,27-24-0,8-14-0,12-5-0,7-5-0,0-0-0
99,Rutgers,Big Ten,29-20-0,11-10-0,8-5-0,10-5-0,0-0-0
100,Saint Louis,Atlantic 10,36-18-0,15-7-0,12-8-0,9-3-0,0-0-0
101,Charlotte,Conference USA,24-27-0,7-14-0,4-4-0,13-9-0,0-0-0
102,Illinois,Big Ten,26-27-0,10-11-0,6-10-0,10-6-0,0-0-0
103,Grand Canyon,Western Athletic,28-22-0,8-6-0,9-4-0,11-12-0,0-0-0
104,Wichita St.,Missouri Valley,34-23-0,10-10-0,9-7-0,15-6-0,0-0-0
105,FIU,Conference USA,30-24-0,8-7-0,8-3-0,14-14-0,0-0-0
106,Maryland,Big Ten,27-27-0,7-9-0,12-7-0,8-11-0,0-0-0
107,Central Ark.,Southland,35-21-0,9-11-0,10-5-0,14-5-0,2-0-0
108,Binghamton,America East,24-21-0,9-11-0,11-6-0,4-4-0,0-0-0
109,UNLV,Mountain West,25-30-0,6-11-0,2-7-0,17-12-0,0-0-0
110,Louisiana Tech,Conference USA,31-19-0,8-10-0,5-1-0,16-8-0,2-0-0
111,Houston,AAC,28-27-0,5-11-0,7-6-0,16-10-0,0-0-0
112,Iowa St.,Big 12,26-28-0,4-12-0,11-5-0,11-11-0,0-0-0
113,Illinois St.,Missouri Valley,25-31-0,7-17-0,10-8-0,8-6-0,0-0-0
114,Drake,Missouri Valley,32-21-0,12-11-0,8-6-0,12-4-0,0-0-0
115,Central Conn. St.,Northeast,31-14-0,10-7-0,10-4-0,11-3-0,0-0-0
116,Missouri St.,Missouri Valley,30-25-0,9-13-0,9-5-0,12-7-0,0-0-0
117,Coastal Caro.,Big South,33-24-0,9-7-0,1-6-0,23-11-0,0-0-0
118,Saint Francis (PA),Northeast,31-19-0,12-11-0,13-6-0,6-2-0,0-0-0
119,Col. of Charleston,Colonial,24-29-0,4-11-0,1-5-0,19-13-0,0-0-0
120,Bucknell,Patriot,35-20-0,6-9-0,17-9-0,12-2-0,0-0-0
121,Jacksonville,Atlantic Sun,28-28-0,6-9-0,8-6-0,14-13-0,0-0-0
122,Tennessee Tech,OVC,33-28-0,15-14-0,8-6-0,10-8-0,0-0-0
123,North Texas,Conference USA,19-31-0,4-14-0,4-6-0,11-11-0,0-0-0
124,IUPUI,Summit,33-18-0,10-10-0,12-4-0,11-4-0,0-0-0
125,Central Mich.,Mid-American,27-23-0,11-3-0,9-14-0,7-6-0,0-0-0
126,Syracuse,Atlantic Coast,20-26-0,2-13-0,12-9-0,6-4-0,0-0-0
127,FGCU,Atlantic Sun,23-30-0,2-9-0,6-6-0,15-15-0,0-0-0
128,UNCG,Southern,25-22-0,6-10-0,8-5-0,11-7-0,0-0-0
129,New Mexico,Mountain West,29-25-0,7-8-0,10-10-0,12-7-0,0-0-0
130,Winthrop,Big South,26-25-0,3-8-0,6-9-0,17-8-0,0-0-0
131,East Carolina,AAC,16-37-0,5-11-0,2-9-0,9-17-0,0-0-0
132,Cal Poly,Big West,22-33-0,4-14-0,10-10-0,8-9-0,0-0-0
133,South Dakota,Summit,28-25-1,10-13-1,8-11-0,10-1-0,0-0-0
134,Northern Ill.,Mid-American,28-25-0,6-12-0,10-9-0,12-4-0,0-0-0
135,Eastern Ky.,OVC,24-28-0,7-12-0,9-12-0,8-4-0,0-0-0
136,San Diego,West Coast,29-23-0,4-11-0,8-7-0,17-5-0,0-0-0
137,Indiana St.,Missouri Valley,27-31-0,11-16-0,7-9-0,9-6-0,0-0-0
138,CSU Bakersfield,Western Athletic,21-25-0,10-11-0,3-8-0,8-6-0,0-0-0
139,Texas-Arlington,Sun Belt,27-28-0,7-9-0,8-4-0,12-15-0,0-0-0
140,UC Davis,Big West,18-31-0,5-16-0,7-8-0,6-7-0,0-0-0
141,Colorado St.,Mountain West,27-29-0,7-12-0,12-7-0,8-10-0,0-0-0
142,Pacific,West Coast,19-36-0,5-12-0,5-11-0,9-13-0,0-0-0
143,DePaul,Big East,22-24-0,9-6-0,6-11-0,7-7-0,0-0-0
144,Wisconsin,Big Ten,21-31-0,6-9-0,10-12-0,5-10-0,0-0-0
145,Maine,America East,22-22-0,4-5-0,13-11-0,5-6-0,0-0-0
146,Eastern Ill.,OVC,21-27-0,6-16-0,6-7-0,9-4-0,0-0-0
147,Sacramento St.,Big Sky,28-26-0,9-7-0,7-7-0,12-12-0,0-0-0
148,Oklahoma St.,Big 12,21-31-0,5-11-0,5-7-0,11-13-0,0-0-0
149,UC Santa Barbara,Big West,19-35-0,4-8-0,7-14-0,8-13-0,0-0-0
150,Western Mich.,Mid-American,25-26-0,7-9-0,10-13-0,8-4-0,0-0-0
150,Delaware,Colonial,30-23-0,10-11-0,8-2-0,12-10-0,0-0-0
152,Western Caro.,Southern,22-31-0,7-18-0,7-9-0,8-4-0,0-0-0
153,Loyola Marymount,West Coast,26-28-0,4-5-0,5-12-0,17-11-0,0-0-0
154,Seton Hall,Big East,25-28-0,9-5-0,8-14-0,8-9-0,0-0-0
155,Michigan St.,Big Ten,19-36-0,3-17-0,13-5-0,3-14-0,0-0-0
156,UNI,Missouri Valley,22-28-0,7-10-0,3-10-0,12-8-0,0-0-0
157,Lamar,Southland,26-28-0,7-16-0,7-7-0,12-5-0,0-0-0
158,Butler,Big East,24-27-0,9-11-0,9-7-0,6-9-0,0-0-0
159,Miami (OH),Mid-American,32-24-0,16-8-0,6-6-0,10-10-0,0-0-0
160,Charleston So.,Big South,31-28-0,4-12-0,5-5-0,22-11-0,0-0-0
161,Ga. Southern,Sun Belt,12-39-0,6-14-0,4-4-0,2-21-0,0-0-0
162,Saint Joseph's,Atlantic 10,23-18-0,5-6-0,11-6-0,7-6-0,0-0-0
163,Presbyterian,Big South,25-25-0,4-11-0,10-8-0,11-6-0,0-0-0
164,Liberty,Big South,29-30-0,8-9-0,8-11-0,13-10-0,0-0-0
165,Albany (NY),America East,30-18-0,6-7-0,12-7-0,12-4-0,0-0-0
166,Nicholls St.,Southland,26-22-0,8-12-0,8-4-0,10-6-0,0-0-0
167,Akron,Mid-American,25-26-0,11-7-0,9-9-0,5-10-0,0-0-0
168,LIU Brooklyn,Northeast,23-30-0,5-13-0,9-16-0,9-1-0,0-0-0
169,Southern Ill.,Missouri Valley,21-26-1,6-12-0,5-9-1,10-5-0,0-0-0
170,Creighton,Big East,22-21-0,5-9-0,13-3-0,4-9-0,0-0-0
171,Middle Tenn.,Conference USA,22-29-0,8-12-0,9-5-0,5-12-0,0-0-0
172,UNCW,Colonial,19-27-0,3-15-0,1-1-0,15-11-0,0-0-0
173,Bradley,Missouri Valley,22-32-0,6-10-0,4-16-0,12-6-0,0-0-0
174,La Salle,Atlantic 10,15-22-0,5-10-0,2-5-0,8-7-0,0-0-0
175,Indiana,Big Ten,17-39-0,3-16-0,5-16-0,9-7-0,0-0-0
176,Robert Morris,Northeast,26-23-0,6-7-0,11-11-0,9-5-0,0-0-0
177,Harvard,Ivy,23-21-0,6-8-0,6-10-0,11-3-0,0-0-0
178,UConn,AAC,18-35-0,7-11-0,7-16-0,4-8-0,0-0-0
179,UMKC,Western Athletic,27-28-0,9-16-0,14-9-0,4-3-0,0-0-0
180,Boston U.,Patriot,17-27-0,6-13-0,6-11-0,5-3-0,0-0-0
181,Memphis,AAC,19-34-0,5-16-0,5-9-0,9-9-0,0-0-0
182,Drexel,Colonial,19-23-0,11-10-0,3-5-0,5-8-0,0-0-0
183,Western Ill.,Summit,18-23-0,8-5-0,7-8-0,3-10-0,0-0-0
184,Campbell,Big South,28-27-0,7-8-0,7-4-0,14-15-0,0-0-0
185,Penn,Ivy,22-20-0,5-8-0,6-5-0,9-7-0,2-0-0
186,George Washington,Atlantic 10,25-23-0,5-12-0,7-5-0,13-6-0,0-0-0
187,Ill.-Chicago,Horizon,24-22-0,9-8-0,9-12-0,6-2-0,0-0-0
188,Omaha,Summit,22-28-0,2-13-0,10-9-0,10-6-0,0-0-0
189,A&M-Corpus Christi,Southland,20-28-1,9-11-0,1-6-0,8-11-1,2-0-0
190,Utah St.,Mountain West,19-36-0,9-12-0,7-12-0,3-12-0,0-0-0
191,Villanova,Big East,24-30-0,10-13-0,5-12-0,9-5-0,0-0-0
192,UT Martin,OVC,24-26-0,11-11-0,5-7-0,7-8-0,1-0-0
193,Appalachian St.,Sun Belt,14-35-0,3-17-0,8-6-0,3-12-0,0-0-0
194,Southern Utah,Big Sky,20-30-0,8-14-0,5-11-0,6-5-0,1-0-0
195,Oakland,Horizon,27-24-0,9-9-0,9-9-0,7-6-0,2-0-0
196,Utah Valley,Western Athletic,18-41-0,3-17-0,12-13-0,3-11-0,0-0-0
197,Providence,Big East,16-23-0,5-14-0,4-6-0,7-3-0,0-0-0
198,Stephen F. Austin,Southland,19-32-0,8-20-0,4-6-0,7-6-0,0-0-0
199,George Mason,Atlantic 10,23-29-0,7-12-0,2-7-0,14-10-0,0-0-0
200,UTEP,Conference USA,14-39-0,0-19-0,3-13-0,11-7-0,0-0-0
201,Wright St.,Horizon,23-33-0,5-14-0,6-13-0,12-6-0,0-0-0
202,Southeast Mo. St.,OVC,19-27-0,11-11-0,2-7-0,6-9-0,0-0-0
203,Virginia,Atlantic Coast,16-40-0,2-16-0,4-14-0,10-10-0,0-0-0
204,St. Mary's (CA),West Coast,21-32-0,7-10-0,5-12-0,9-10-0,0-0-0
205,Army West Point,Patriot,23-27-1,7-7-1,7-12-0,9-8-0,0-0-0
206,Ohio,Mid-American,15-32-0,4-19-0,5-6-0,6-7-0,0-0-0
207,Colgate,Patriot,17-21-0,9-9-0,5-7-0,3-5-0,0-0-0
208,Fairfield,Metro Atlantic,25-24-0,10-10-0,6-9-0,9-5-0,0-0-0
209,Sam Houston St.,Southland,19-28-0,6-13-0,4-8-0,7-7-0,2-0-0
210,Bethune-Cookman,Mid-Eastern,22-29-0,5-10-0,4-15-0,13-4-0,0-0-0
211,Toledo,Mid-American,24-32-0,10-13-0,9-12-0,5-7-0,0-0-0
212,Bowling Green,Mid-American,20-28-0,3-10-0,7-9-0,10-9-0,0-0-0
212,Southeastern La.,Southland,22-30-0,7-11-0,1-2-0,14-17-0,0-0-0
214,Princeton,Ivy,18-24-0,5-18-0,6-5-0,7-1-0,0-0-0
215,Nevada,Mountain West,16-37-0,4-10-0,4-16-0,8-11-0,0-0-0
216,Massachusetts,Atlantic 10,15-28-0,4-11-0,4-8-0,7-9-0,0-0-0
217,Southern Miss.,Conference USA,18-34-0,1-16-0,7-4-0,10-14-0,0-0-0
