Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
131,UAB,C-USA,26-32-1,9-13-0,7-12-0,10-7-1,0-0-0
132,UNI,MVC,26-26-0,8-11-0,9-7-0,9-8-0,0-0-0
133,Abilene Christian,Southland,23-26-0,9-11-0,4-7-0,10-8-0,0-0-0
134,Albany (NY),America East,32-16-0,16-6-0,9-8-0,7-2-0,0-0-0
135,UConn,AAC,20-35-0,5-20-0,10-6-0,5-9-0,0-0-0
136,Valparaiso,MVC,27-24-0,9-11-0,10-6-0,8-7-0,0-0-0
137,UIC,Horizon,33-21-0,8-11-0,10-5-0,15-5-0,0-0-0
138,Dartmouth,Ivy League,22-18-0,8-9-0,3-6-0,11-3-0,0-0-0
139,Central Ark.,Southland,29-27-0,4-11-0,5-7-0,19-9-0,1-0-0
140,Northwestern St.,Southland,28-25-0,10-17-0,1-1-0,17-7-0,0-0-0
141,Central Mich.,MAC,22-26-0,4-11-0,8-11-0,10-4-0,0-0-0
142,Northern Ill.,MAC,24-32-0,5-8-0,10-15-0,9-9-0,0-0-0
143,SFA,Southland,31-24-0,11-12-0,8-5-0,12-7-0,0-0-0
144,Elon,CAA,24-28-0,5-12-0,3-4-0,16-12-0,0-0-0
145,St. John's (NY),Big East,24-26-0,10-10-0,3-13-0,11-3-0,0-0-0
146,Western Mich.,MAC,29-25-0,10-7-0,14-12-0,5-6-0,0-0-0
147,Campbell,Big South,29-27-0,12-13-0,5-3-0,12-11-0,0-0-0
148,Grand Canyon,WAC,31-28-0,5-10-0,5-7-0,21-11-0,0-0-0
149,Rutgers,Big Ten,19-31-0,6-11-0,9-12-0,4-8-0,0-0-0
150,Western Ky.,C-USA,28-26-0,6-12-0,6-3-0,16-11-0,0-0-0
151,Weber St.,Big Sky,28-26-0,6-11-0,12-10-0,10-5-0,0-0-0
152,Delaware,CAA,18-31-0,3-10-0,4-12-0,11-9-0,0-0-0
153,Bucknell,Patriot,27-23-1,12-10-1,7-10-0,8-3-0,0-0-0
154,Bradley,MVC,20-30-0,3-14-0,7-6-0,10-10-0,0-0-0
155,UNCW,CAA,20-29-0,5-7-0,4-8-0,11-14-0,0-0-0
156,La.-Monroe,Sun Belt,24-29-0,5-16-0,7-3-0,12-10-0,0-0-0
