Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
160,Saint Joseph's,Atlantic 10,28-25-0,9-8-0,9-11-0,10-6-0,0-0-0
161,Utah St.,MWC,17-30-0,5-16-0,6-8-0,6-6-0,0-0-0
162,Sacramento St.,Big Sky,31-25-0,10-8-0,2-7-0,19-10-0,0-0-0
163,New Mexico,MWC,12-41-0,3-18-0,6-10-0,3-13-0,0-0-0
164,Kennesaw St.,ASUN,26-29-0,7-12-0,3-4-0,16-13-0,0-0-0
165,Michigan St.,Big Ten,16-34-0,4-14-0,8-10-0,4-10-0,0-0-0
166,UTSA,C-USA,21-31-0,5-13-0,7-9-0,9-9-0,0-0-0
167,Bucknell,Patriot,28-24-0,9-15-0,9-7-0,10-2-0,0-0-0
168,Western Ill.,Summit League,20-20-0,10-8-0,6-6-0,4-6-0,0-0-0
169,Saint Francis (PA),NEC,29-31-0,12-12-0,10-14-0,7-5-0,0-0-0
170,Radford,Big South,25-34-0,7-15-0,5-12-0,13-7-0,0-0-0
171,Mercer,SoCon,27-29-0,8-6-0,7-10-0,12-13-0,0-0-0
172,Delaware,CAA,22-29-0,8-11-0,5-9-0,9-9-0,0-0-0
173,Ga. Southern,Sun Belt,23-28-0,3-8-0,2-4-0,18-16-0,0-0-0
174,UTEP,C-USA,17-33-0,4-19-0,4-9-0,9-5-0,0-0-0
175,Gardner-Webb,Big South,30-24-0,12-10-0,2-0-0,16-14-0,0-0-0
176,Creighton,Big East,20-24-0,9-13-0,5-5-0,6-6-0,0-0-0
177,Seton Hall,Big East,24-24-0,5-5-0,7-10-0,12-9-0,0-0-0
178,UT Martin,OVC,29-27-0,11-10-0,9-6-0,9-11-0,0-0-0
179,Lamar University,Southland,23-34-0,6-17-0,2-10-0,15-7-0,0-0-0
180,Pittsburgh,ACC,13-41-0,6-17-0,3-12-0,4-12-0,0-0-0
181,Houston Baptist,Southland,23-23-0,9-18-0,5-1-0,9-4-0,0-0-0
182,Western Mich.,MAC,18-28-0,6-10-0,7-11-0,5-7-0,0-0-0
183,Marist,MAAC,35-22-0,20-12-0,4-5-0,11-5-0,0-0-0
184,ETSU,SoCon,22-27-2,9-12-1,9-5-1,4-10-0,0-0-0
185,Tennessee Tech,OVC,18-27-0,8-11-0,4-4-0,6-12-0,0-0-0
186,UMBC,America East,30-24-0,5-13-0,9-5-0,16-6-0,0-0-0
187,SIUE,OVC,16-28-0,7-10-0,6-8-0,3-10-0,0-0-0
188,Florida A&M,MEAC,26-27-0,7-10-0,10-15-0,9-2-0,0-0-0
189,Colgate,Patriot,25-27-0,8-14-0,9-9-0,8-4-0,0-0-0
190,Cal Poly,Big West,11-40-0,4-14-0,4-15-0,3-11-0,0-0-0
191,Columbia,Ivy League,24-21-0,7-12-0,6-6-0,11-3-0,0-0-0
192,Charlotte,C-USA,15-35-0,3-16-0,1-3-0,11-16-0,0-0-0
193,Detroit Mercy,Horizon,31-28-0,11-10-0,10-14-0,10-4-0,0-0-0
194,Jacksonville,ASUN,15-35-0,2-17-0,1-1-0,12-17-0,0-0-0
195,Stetson,ASUN,16-31-0,3-8-0,2-5-0,11-18-0,0-0-0
196,Central Ark.,Southland,26-28-0,9-11-0,6-3-0,11-13-0,0-1-0
197,Idaho St.,Big Sky,20-27-0,5-13-0,6-12-0,9-2-0,0-0-0
198,Dayton,Atlantic 10,24-27-0,10-13-0,7-10-0,7-4-0,0-0-0
199,Furman,SoCon,13-38-0,6-14-0,5-11-0,2-13-0,0-0-0
200,Bethune-Cookman,MEAC,26-31-0,5-9-0,5-18-0,16-4-0,0-0-0
201,Binghamton,America East,19-29-0,7-13-0,5-8-0,7-8-0,0-0-0
202,California Baptist,WAC,21-33-0,3-19-0,7-8-0,11-6-0,0-0-0
203,Bowling Green,MAC,22-29-0,10-14-0,4-9-0,8-6-0,0-0-0
204,Indiana St.,MVC,19-35-0,7-21-0,8-4-0,4-10-0,0-0-0
205,Saint Louis,Atlantic 10,19-33-0,6-15-0,2-11-0,11-7-0,0-0-0
206,UMKC,WAC,27-29-0,7-14-0,13-6-0,7-9-0,0-0-0
207,La.-Monroe,Sun Belt,14-42-0,5-18-0,6-12-0,3-12-0,0-0-0
207,Portland St.,Big Sky,20-31-0,5-11-0,9-13-0,6-7-0,0-0-0
209,Charleston So.,Big South,18-37-0,7-12-0,1-5-0,10-20-0,0-0-0
210,Drexel,CAA,32-27-1,8-10-0,10-11-0,14-6-1,0-0-0
211,Army West Point,Patriot,26-30-0,9-11-0,9-12-0,8-7-0,0-0-0
212,George Mason,Atlantic 10,22-26-0,4-8-0,3-4-0,15-14-0,0-0-0
213,Penn,Ivy League,22-17-0,8-7-0,5-4-0,9-6-0,0-0-0
214,Evansville,MVC,19-30-0,6-12-0,7-9-0,6-9-0,0-0-0
215,Valparaiso,MVC,16-31-0,5-15-0,6-7-0,5-9-0,0-0-0
216,Western Caro.,SoCon,21-32-0,13-15-0,2-7-0,6-10-0,0-0-0
217,Prairie View,SWAC,30-17-0,9-8-0,10-5-0,11-4-0,0-0-0
218,Texas Southern,SWAC,25-27-0,10-11-0,3-7-0,10-7-0,2-2-0
219,Montana,Big Sky,25-31-0,4-14-0,5-13-0,12-4-0,4-0-0
220,Pacific,WCC,17-32-0,1-14-0,3-5-0,13-13-0,0-0-0
221,Fairfield,MAAC,26-24-0,12-11-0,6-7-0,8-6-0,0-0-0
222,Utah Valley,WAC,15-31-0,5-17-0,4-7-0,6-7-0,0-0-0
223,Eastern Ill.,OVC,16-39-0,5-12-0,7-16-0,4-11-0,0-0-0
224,Butler,Big East,16-32-0,4-13-0,9-12-0,3-7-0,0-0-0
225,Georgetown,Big East,14-35-0,4-10-0,5-15-0,5-10-0,0-0-0
226,North Dakota,Summit League,22-34-0,10-20-0,10-10-0,2-4-0,0-0-0
227,Tennessee St.,OVC,13-29-0,3-9-0,4-5-0,6-15-0,0-0-0
228,Georgia St.,Sun Belt,8-46-0,1-23-0,1-9-0,6-14-0,0-0-0
229,Abilene Christian,Southland,13-31-0,1-12-0,4-8-0,8-11-0,0-0-0
230,Sacred Heart,NEC,28-27-0,11-12-0,10-5-0,7-10-0,0-0-0
231,Siena,MAAC,22-25-0,7-7-0,4-11-0,11-7-0,0-0-0
232,Dartmouth,Ivy League,13-27-0,8-13-0,1-9-0,4-5-0,0-0-0
233,Youngstown St.,Horizon,25-29-0,11-12-0,2-11-0,12-6-0,0-0-0
234,Northern Colo.,Big Sky,14-39-0,4-17-0,6-16-0,3-6-0,1-0-0
235,Northern Ky.,Horizon,22-33-0,6-11-0,10-13-0,6-9-0,0-0-0
236,Hampton,Big South,23-25-0,4-11-0,1-1-0,18-13-0,0-0-0
237,Saint Mary's (CA),WCC,14-37-0,2-15-0,2-9-0,10-13-0,0-0-0
238,UC Santa Barbara,Big West,10-42-0,4-14-0,4-14-0,2-14-0,0-0-0
239,Alabama St.,SWAC,24-25-0,7-10-0,4-2-0,13-13-0,0-0-0
240,Iona,MAAC,19-27-0,6-14-0,2-8-0,11-5-0,0-0-0
241,San Diego,WCC,20-29-0,1-13-0,3-6-0,16-10-0,0-0-0
242,Santa Clara,WCC,16-34-0,5-11-0,4-9-0,7-14-0,0-0-0
243,Bryant,NEC,13-32-0,5-15-0,3-13-0,5-4-0,0-0-0
244,Mt. St. Mary's,NEC,26-28-0,9-19-0,4-4-0,13-5-0,0-0-0
245,Princeton,Ivy League,14-27-0,6-12-0,2-7-0,6-8-0,0-0-0
246,Manhattan,MAAC,21-30-0,7-19-0,5-5-0,9-6-0,0-0-0
247,Norfolk St.,MEAC,25-20-0,7-9-0,3-4-0,15-7-0,0-0-0
248,Wright St.,Horizon,22-33-0,7-18-0,8-4-0,7-11-0,0-0-0
249,Hartford,America East,20-31-0,10-17-0,0-3-0,10-11-0,0-0-0
250,A&M-Corpus Christi,Southland,8-43-0,2-22-0,1-7-0,5-14-0,0-0-0
251,IUPUI,Horizon,18-38-0,7-17-0,6-15-0,5-6-0,0-0-0
252,Purdue Fort Wayne,Summit League,10-39-0,1-15-0,5-14-0,4-10-0,0-0-0
253,Maine,America East,12-29-0,5-15-0,4-7-0,3-7-0,0-0-0
254,Yale,Ivy League,16-27-0,7-9-0,2-5-0,7-13-0,0-0-0
255,Oakland,Horizon,18-33-0,6-19-0,6-7-0,6-7-0,0-0-0
256,CSU Bakersfield,WAC,15-32-0,3-16-0,9-7-0,3-9-0,0-0-0
257,Canisius,MAAC,15-31-0,4-16-0,1-9-0,10-6-0,0-0-0
258,Buffalo,MAC,10-32-1,4-14-0,3-13-0,3-5-1,0-0-0
259,Rhode Island,Atlantic 10,17-29-0,1-16-0,10-4-0,6-9-0,0-0-0
260,Akron,MAC,13-31-2,4-15-1,6-8-1,3-8-0,0-0-0
261,Robert Morris,NEC,14-37-0,5-17-0,4-10-0,5-10-0,0-0-0
262,Alabama A&M,SWAC,23-19-0,7-11-0,4-6-0,9-1-0,3-1-0
263,Incarnate Word,Southland,8-40-0,6-16-0,1-9-0,1-15-0,0-0-0
264,Presbyterian,Big South,11-40-2,5-17-0,3-10-0,3-13-2,0-0-0
265,N.C. Central,MEAC,23-26-0,7-10-0,5-7-0,11-9-0,0-0-0
266,Niagara,MAAC,18-32-0,7-17-0,4-8-0,7-7-0,0-0-0
267,Central Conn. St.,NEC,17-24-0,8-11-0,4-3-0,5-10-0,0-0-0
268,Wagner,NEC,15-29-0,4-15-0,4-7-0,7-7-0,0-0-0
269,Alcorn,SWAC,14-24-0,4-10-0,1-5-0,5-8-0,4-1-0
270,Holy Cross,Patriot,14-35-0,8-13-0,1-11-0,5-11-0,0-0-0
271,Cleveland St.,Horizon,15-34-0,4-17-0,5-11-0,6-6-0,0-0-0
272,Omaha,Summit League,4-43-0,1-17-0,2-16-0,1-10-0,0-0-0
273,Morgan St.,MEAC,22-24-0,9-10-0,4-10-0,9-4-0,0-0-0
274,Green Bay,Horizon,12-29-0,2-16-0,5-6-0,5-7-0,0-0-0
275,Mississippi Val.,SWAC,9-30-0,3-16-0,0-9-0,6-5-0,0-0-0
276,Quinnipiac,MAAC,17-33-0,5-14-0,4-13-0,8-6-0,0-0-0
277,Lafayette,Patriot,8-40-1,2-18-1,1-9-0,5-13-0,0-0-0
278,Jackson St.,SWAC,12-35-0,3-14-0,2-15-0,5-4-0,2-2-0
279,Brown,Ivy League,12-27-0,5-12-0,4-6-0,3-9-0,0-0-0
280,Howard,MEAC,19-29-0,7-14-0,4-10-0,7-5-0,1-0-0
281,Fairleigh Dickinson,NEC,14-35-0,6-21-0,4-8-0,4-6-0,0-0-0
282,La Salle,Atlantic 10,12-33-0,4-15-0,5-8-0,3-10-0,0-0-0
283,Morehead St.,OVC,3-42-0,1-19-0,0-7-0,2-16-0,0-0-0
284,Cornell,Ivy League,10-36-0,2-12-0,1-12-0,6-11-0,1-1-0
285,N.C. A&T,MEAC,9-31-0,3-16-0,2-7-0,4-8-0,0-0-0
286,Delaware St.,MEAC,10-32-0,1-15-0,2-11-0,7-6-0,0-0-0
287,Rider,MAAC,10-44-0,4-26-0,0-8-0,6-10-0,0-0-0
288,Southern Utah,Big Sky,6-34-0,1-17-0,2-6-0,3-11-0,0-0-0
289,Coppin St.,MEAC,9-32-0,1-19-0,1-4-0,7-9-0,0-0-0
290,Savannah St.,MEAC,9-27-0,1-6-0,2-9-0,6-12-0,0-0-0
291,St. Bonaventure,Atlantic 10,9-36-0,5-13-0,2-9-0,2-14-0,0-0-0
292,Grambling,SWAC,16-23-0,3-10-0,1-4-0,2-9-0,10-0-0
293,Ark.-Pine Bluff,SWAC,4-34-0,0-17-0,0-9-0,3-5-0,1-3-0
294,UMES,MEAC,8-31-0,3-20-0,1-4-0,4-7-0,0-0-0
295,Southern U.,SWAC,8-27-0,2-10-0,1-8-0,5-9-0,0-0-0
296,Saint Peter's,MAAC,9-47-0,7-25-0,1-9-0,1-13-0,0-0-0
297,South Carolina St.,MEAC,0-36-0,0-18-0,0-6-0,0-12-0,0-0-0
